x,y,species cloglog values
1.0,1.0,0.025350679
2.0,2.0,2.0348503E-7
3.0,3.0,0.006880726
4.0,4.0,1.8069694E-4
5.0,5.0,1.5851145E-5
6.0,6.0,1.8492342E-7
7.0,7.0,8.301443E-10
8.0,8.0,9.758656E-6
9.0,9.0,2.2056338E-5
10.0,10.0,3.192887E-10
11.0,11.0,7.98281E-5
12.0,12.0,1.7791496E-4
13.0,13.0,9.555945E-7
14.0,14.0,0.0029469156
15.0,15.0,4.902667E-4
16.0,16.0,8.923493E-8
17.0,17.0,2.1221416E-9
18.0,18.0,0.0011321949
19.0,19.0,7.17431E-4
20.0,20.0,3.8702416E-5
21.0,21.0,2.0283153E-6
22.0,22.0,3.3476E-5
23.0,23.0,2.078819E-4
24.0,24.0,3.460738E-4
25.0,25.0,0.009495096
26.0,26.0,1.896847E-7
27.0,27.0,0.011519348
28.0,28.0,1.481095E-5
29.0,29.0,5.257312E-7
30.0,30.0,1.246204E-6
31.0,31.0,8.8365334E-7
32.0,32.0,3.8667076E-5
33.0,33.0,1.2317303E-5
34.0,34.0,0.042162213
35.0,35.0,1.4094833E-6
36.0,36.0,5.6902994E-5
37.0,37.0,3.837745E-6
38.0,38.0,0.060041748
39.0,39.0,7.483535E-9
40.0,40.0,5.493196E-4
41.0,41.0,6.0140406E-5
42.0,42.0,8.521182E-9
43.0,43.0,2.3453962E-5
44.0,44.0,0.031555764
45.0,45.0,2.5341237E-6
46.0,46.0,0.11442151
47.0,47.0,4.440187E-7
48.0,48.0,1.0399335E-4
49.0,49.0,2.9563591E-5
50.0,50.0,2.113784E-5
51.0,51.0,8.4368657E-10
52.0,52.0,2.965818E-6
53.0,53.0,3.4212553E-7
54.0,54.0,8.271233E-7
55.0,55.0,0.003163075
56.0,56.0,0.004332735
57.0,57.0,5.882894E-6
58.0,58.0,0.0027738782
59.0,59.0,4.4313638E-5
60.0,60.0,2.6751632E-5
61.0,61.0,5.3072068E-5
62.0,62.0,2.1610425E-10
63.0,63.0,0.0020261677
64.0,64.0,0.0034842652
65.0,65.0,3.9420857E-7
66.0,66.0,7.70147E-4
67.0,67.0,2.3268578E-8
68.0,68.0,7.2640264E-6
69.0,69.0,5.907983E-6
70.0,70.0,0.0011962482
71.0,71.0,5.904942E-6
72.0,72.0,5.3268057E-9
73.0,73.0,0.020894364
74.0,74.0,1.7624012E-9
75.0,75.0,6.610035E-4
76.0,76.0,1.3604598E-7
77.0,77.0,2.9578355E-6
78.0,78.0,2.6330317E-4
79.0,79.0,4.3429216E-5
80.0,80.0,0.09855397
81.0,81.0,2.039557E-4
82.0,82.0,0.78022814
83.0,83.0,0.12851728
84.0,84.0,1.7627544E-7
85.0,85.0,2.3377144E-7
86.0,86.0,6.241468E-5
87.0,87.0,0.5181524
88.0,88.0,0.36942554
89.0,89.0,2.175393E-8
90.0,90.0,6.246763E-8
91.0,91.0,0.6765068
92.0,92.0,7.315265E-10
93.0,93.0,2.2629551E-6
94.0,94.0,2.0484494E-9
95.0,95.0,9.133316E-11
96.0,96.0,1.265131E-9
97.0,97.0,0.002571431
98.0,98.0,0.038983103
99.0,99.0,2.2555061E-4
100.0,100.0,3.881881E-8
101.0,101.0,3.0711998E-4
102.0,102.0,0.0046696775
103.0,103.0,8.830178E-5
104.0,104.0,9.435477E-6
105.0,105.0,0.0021950293
106.0,106.0,0.0049394136
107.0,107.0,3.4329057E-7
108.0,108.0,0.0012148023
109.0,109.0,3.2192315E-10
110.0,110.0,0.00446297
111.0,111.0,1.1074264E-6
112.0,112.0,1.6579253E-6
113.0,113.0,0.0048517413
114.0,114.0,1.7223661E-5
115.0,115.0,0.021729382
116.0,116.0,0.0019901628
117.0,117.0,0.6942826
118.0,118.0,0.57850474
119.0,119.0,0.4193191
120.0,120.0,4.893969E-4
121.0,121.0,8.027847E-6
122.0,122.0,1.7803206E-6
123.0,123.0,2.820949E-4
124.0,124.0,2.1171118E-5
125.0,125.0,0.016750317
126.0,126.0,2.7827955E-5
127.0,127.0,7.244561E-8
128.0,128.0,3.9339336E-4
129.0,129.0,4.9817E-4
130.0,130.0,9.2517986E-8
131.0,131.0,3.565116E-6
132.0,132.0,7.7014783E-10
133.0,133.0,3.1340113E-9
134.0,134.0,0.28214443
135.0,135.0,1.5075118E-7
136.0,136.0,0.018737586
137.0,137.0,0.67989314
138.0,138.0,5.347435E-8
139.0,139.0,5.2485837E-5
140.0,140.0,1.0429586E-6
141.0,141.0,1.971938E-8
142.0,142.0,1.761543E-7
143.0,143.0,1.3855137E-5
144.0,144.0,1.1270401E-4
145.0,145.0,0.51717836
146.0,146.0,1.9276541E-7
147.0,147.0,4.2754444E-8
148.0,148.0,1.5676565E-6
149.0,149.0,4.926568E-7
150.0,150.0,1.3672306E-7
151.0,151.0,3.019191E-4
152.0,152.0,0.0011631652
153.0,153.0,1.941169E-4
154.0,154.0,1.5202227E-7
155.0,155.0,1.1193808E-9
156.0,156.0,5.383328E-5
157.0,157.0,5.6803124E-8
158.0,158.0,7.924928E-7
159.0,159.0,3.2731212E-5
160.0,160.0,0.4758978
161.0,161.0,1.018334E-7
162.0,162.0,3.9167542E-4
163.0,163.0,4.313038E-4
164.0,164.0,2.1695223E-6
165.0,165.0,0.0072580045
166.0,166.0,0.004381667
167.0,167.0,1.0856593E-4
168.0,168.0,0.024291988
169.0,169.0,4.901636E-7
170.0,170.0,1.2605179E-8
171.0,171.0,2.7337956E-6
172.0,172.0,4.5455737E-9
173.0,173.0,1.218009E-9
174.0,174.0,6.357955E-5
175.0,175.0,0.008348731
176.0,176.0,9.318314E-5
177.0,177.0,5.747048E-9
178.0,178.0,2.1062752E-10
179.0,179.0,0.007324096
180.0,180.0,2.1611215E-5
181.0,181.0,5.0441233E-8
182.0,182.0,3.1534673E-5
183.0,183.0,2.978817E-4
184.0,184.0,2.1093405E-5
185.0,185.0,2.1684786E-8
186.0,186.0,3.321037E-5
187.0,187.0,2.685283E-10
188.0,188.0,1.0917072E-5
189.0,189.0,3.3044284E-6
190.0,190.0,1.5996318E-7
191.0,191.0,2.2012127E-6
192.0,192.0,1.718709E-7
193.0,193.0,1.502523E-6
194.0,194.0,1.3454892E-6
195.0,195.0,2.9931183E-4
196.0,196.0,6.023867E-6
197.0,197.0,0.52902776
198.0,198.0,3.3212977E-10
199.0,199.0,0.012736234
200.0,200.0,8.936948E-9
201.0,201.0,7.2955975E-10
202.0,202.0,9.607731E-5
203.0,203.0,1.6149387E-7
204.0,204.0,5.6571973E-4
205.0,205.0,0.46752828
206.0,206.0,7.174963E-4
207.0,207.0,0.008167431
208.0,208.0,4.120517E-5
209.0,209.0,2.2138354E-4
210.0,210.0,4.301004E-8
211.0,211.0,3.2679015E-6
212.0,212.0,2.6222126E-4
213.0,213.0,2.1073518E-5
214.0,214.0,0.0075038387
215.0,215.0,3.3566987E-4
216.0,216.0,3.352866E-5
217.0,217.0,0.01099388
218.0,218.0,3.0846968E-5
219.0,219.0,8.2012133E-7
220.0,220.0,7.7410434E-5
221.0,221.0,3.368472E-5
222.0,222.0,1.1828281E-4
223.0,223.0,9.787955E-4
224.0,224.0,9.1813796E-5
225.0,225.0,6.286338E-10
226.0,226.0,5.5672804E-6
227.0,227.0,2.1613766E-7
228.0,228.0,5.7234784E-4
229.0,229.0,7.2313924E-5
230.0,230.0,7.715395E-8
231.0,231.0,5.7846294E-10
232.0,232.0,1.4613304E-8
233.0,233.0,0.442577
234.0,234.0,4.893164E-6
235.0,235.0,0.5448752
236.0,236.0,1.2920509E-4
237.0,237.0,0.078047544
238.0,238.0,3.4218601E-9
239.0,239.0,0.0013864622
240.0,240.0,0.0010334405
241.0,241.0,8.762356E-7
242.0,242.0,0.83290195
243.0,243.0,0.001347998
244.0,244.0,2.4404626E-4
245.0,245.0,1.5387178E-4
246.0,246.0,4.210103E-7
247.0,247.0,2.0202648E-7
248.0,248.0,0.1480545
249.0,249.0,1.9163055E-5
250.0,250.0,1.3872843E-4
251.0,251.0,9.2761263E-7
252.0,252.0,0.04082873
253.0,253.0,3.577162E-10
254.0,254.0,5.776291E-7
255.0,255.0,5.232459E-11
256.0,256.0,1.0389276E-7
257.0,257.0,1.4923074E-10
258.0,258.0,1.4707872E-9
259.0,259.0,6.2404654E-4
260.0,260.0,5.5713326E-6
261.0,261.0,0.24355586
262.0,262.0,4.9440667E-5
263.0,263.0,7.45511E-5
264.0,264.0,2.555201E-4
265.0,265.0,4.697431E-4
266.0,266.0,5.767936E-7
267.0,267.0,2.0100724E-5
268.0,268.0,7.0499973E-6
269.0,269.0,0.5033351
270.0,270.0,7.130301E-5
271.0,271.0,1.3906372E-4
272.0,272.0,0.14731665
273.0,273.0,2.9411698E-9
274.0,274.0,1.3200847E-7
275.0,275.0,4.6011988E-7
276.0,276.0,3.353405E-5
277.0,277.0,0.007640451
278.0,278.0,1.7410271E-4
279.0,279.0,2.728064E-5
280.0,280.0,1.2505591E-5
281.0,281.0,0.13299681
282.0,282.0,4.1801315E-5
283.0,283.0,0.15809686
284.0,284.0,0.033735167
285.0,285.0,2.090718E-7
286.0,286.0,9.9417275E-6
287.0,287.0,7.07937E-8
288.0,288.0,4.4981208E-10
289.0,289.0,0.4263106
290.0,290.0,1.2113136E-7
291.0,291.0,2.8146644E-5
292.0,292.0,3.537678E-6
293.0,293.0,3.446776E-7
294.0,294.0,5.128798E-9
295.0,295.0,2.1877238E-6
296.0,296.0,2.8057439E-9
297.0,297.0,0.057025395
298.0,298.0,0.006729504
299.0,299.0,2.0150792E-9
300.0,300.0,5.4791427E-10
301.0,301.0,7.7853923E-10
302.0,302.0,2.4225248E-4
303.0,303.0,5.70852E-4
304.0,304.0,0.2007017
305.0,305.0,0.035343874
306.0,306.0,3.3624272E-7
307.0,307.0,2.3774079E-5
308.0,308.0,0.7328005
309.0,309.0,6.160198E-5
310.0,310.0,0.003626668
311.0,311.0,3.3484498E-6
312.0,312.0,0.0032014467
313.0,313.0,2.8049666E-8
314.0,314.0,6.335853E-8
315.0,315.0,1.6059936E-6
316.0,316.0,0.0014066326
317.0,317.0,8.2159957E-10
318.0,318.0,9.415544E-9
319.0,319.0,5.9849754E-7
320.0,320.0,1.8908948E-5
321.0,321.0,8.764863E-5
322.0,322.0,1.569268E-8
323.0,323.0,9.531759E-4
324.0,324.0,0.6135337
325.0,325.0,0.016447738
326.0,326.0,3.5387397E-4
327.0,327.0,0.0061689126
328.0,328.0,1.6154737E-4
329.0,329.0,7.483055E-5
330.0,330.0,1.355167E-9
331.0,331.0,1.9210706E-6
332.0,332.0,0.00225297
333.0,333.0,2.1530382E-6
334.0,334.0,7.5309425E-11
335.0,335.0,6.621783E-9
336.0,336.0,7.312797E-5
337.0,337.0,2.2522305E-5
338.0,338.0,0.019806933
339.0,339.0,2.0149788E-5
340.0,340.0,9.2861615E-7
341.0,341.0,6.86743E-5
342.0,342.0,6.116672E-5
343.0,343.0,1.635413E-5
344.0,344.0,0.01227756
345.0,345.0,3.3806036E-6
346.0,346.0,7.975371E-4
347.0,347.0,1.4767171E-8
348.0,348.0,3.139721E-5
349.0,349.0,7.351494E-4
350.0,350.0,6.7446244E-6
351.0,351.0,0.059753135
352.0,352.0,9.558089E-5
353.0,353.0,4.4467056E-4
354.0,354.0,3.1037806E-10
355.0,355.0,1.170387E-9
356.0,356.0,0.016843284
357.0,357.0,4.3554206E-7
358.0,358.0,2.1108829E-7
359.0,359.0,1.7275085E-4
360.0,360.0,3.6337482E-8
361.0,361.0,3.421703E-9
362.0,362.0,0.10789203
363.0,363.0,1.5268608E-8
364.0,364.0,0.4989864
365.0,365.0,6.0495006E-7
366.0,366.0,2.7711635E-6
367.0,367.0,1.2331241E-6
368.0,368.0,4.0671325E-4
369.0,369.0,3.7990008E-6
370.0,370.0,0.101472065
371.0,371.0,0.6087679
372.0,372.0,0.5284592
373.0,373.0,0.009190513
374.0,374.0,7.970199E-9
375.0,375.0,7.809764E-5
376.0,376.0,4.7774906E-10
377.0,377.0,1.6144984E-5
378.0,378.0,6.5273506E-4
379.0,379.0,0.0074696946
380.0,380.0,6.8799363E-7
381.0,381.0,2.3594868E-8
382.0,382.0,0.0045058443
383.0,383.0,2.3554853E-7
384.0,384.0,0.008849318
385.0,385.0,9.543742E-8
386.0,386.0,6.284911E-7
387.0,387.0,1.3999746E-10
388.0,388.0,0.014241419
389.0,389.0,2.2894735E-6
390.0,390.0,2.4547573E-5
391.0,391.0,4.791656E-6
392.0,392.0,1.0571887E-4
393.0,393.0,2.8602035E-5
394.0,394.0,5.3033233E-7
395.0,395.0,5.210791E-5
396.0,396.0,6.0980325E-4
397.0,397.0,1.332309E-4
398.0,398.0,9.1552814E-5
399.0,399.0,2.573492E-5
400.0,400.0,7.406223E-4
401.0,401.0,1.0667005E-4
402.0,402.0,0.0016686919
403.0,403.0,1.2284566E-5
404.0,404.0,8.393473E-5
405.0,405.0,4.1944038E-8
406.0,406.0,0.6362914
407.0,407.0,7.414996E-8
408.0,408.0,6.818865E-7
409.0,409.0,9.317554E-4
410.0,410.0,0.0015714887
411.0,411.0,4.0828174E-5
412.0,412.0,2.4672094E-5
413.0,413.0,1.6246291E-7
414.0,414.0,3.6747483E-7
415.0,415.0,4.886853E-4
416.0,416.0,0.0031422887
417.0,417.0,6.6307693E-4
418.0,418.0,5.502539E-5
419.0,419.0,0.003294853
420.0,420.0,3.239291E-6
421.0,421.0,1.04583705E-4
422.0,422.0,0.38877538
423.0,423.0,1.9860917E-9
424.0,424.0,5.1106053E-7
425.0,425.0,0.022123931
426.0,426.0,3.513639E-7
427.0,427.0,1.3470463E-4
428.0,428.0,0.008072379
429.0,429.0,4.0807686E-6
430.0,430.0,2.5426712E-6
431.0,431.0,0.58309734
432.0,432.0,0.036074135
433.0,433.0,1.1126112E-5
434.0,434.0,7.4666384E-11
435.0,435.0,1.3261725E-4
436.0,436.0,2.416069E-9
437.0,437.0,8.2440016E-7
438.0,438.0,5.8939932E-8
439.0,439.0,3.9397775E-5
440.0,440.0,1.2937517E-9
441.0,441.0,0.4880585
442.0,442.0,8.25116E-6
443.0,443.0,3.0502146E-5
444.0,444.0,0.2458977
445.0,445.0,2.3874176E-7
446.0,446.0,1.0108409E-8
447.0,447.0,5.483378E-6
448.0,448.0,0.0042815567
449.0,449.0,0.050047867
450.0,450.0,1.7294932E-4
451.0,451.0,1.5692167E-4
452.0,452.0,0.7793601
453.0,453.0,3.8939956E-7
454.0,454.0,0.1137966
455.0,455.0,2.5057662E-7
456.0,456.0,0.017537896
457.0,457.0,4.205987E-8
458.0,458.0,0.4589613
459.0,459.0,1.4970007E-5
460.0,460.0,0.61715215
461.0,461.0,5.2469222E-6
462.0,462.0,0.5310279
463.0,463.0,1.760461E-6
464.0,464.0,3.177221E-8
465.0,465.0,0.3911815
466.0,466.0,1.872578E-8
467.0,467.0,9.903051E-7
468.0,468.0,1.6435916E-6
469.0,469.0,0.56629527
470.0,470.0,3.6298738E-7
471.0,471.0,5.8797855E-6
472.0,472.0,9.345554E-8
473.0,473.0,1.991839E-6
474.0,474.0,0.18374947
475.0,475.0,3.969721E-7
476.0,476.0,3.537311E-5
477.0,477.0,0.0039986107
478.0,478.0,3.4736586E-5
479.0,479.0,8.912485E-6
480.0,480.0,0.24962288
481.0,481.0,1.3348054E-4
482.0,482.0,1.1157768E-4
483.0,483.0,1.7971204E-6
484.0,484.0,2.0154524E-5
485.0,485.0,5.5841225E-9
486.0,486.0,9.590664E-8
487.0,487.0,3.996253E-6
488.0,488.0,6.6632747E-6
489.0,489.0,9.410527E-8
490.0,490.0,1.2217474E-9
491.0,491.0,7.169709E-11
492.0,492.0,1.1249686E-8
493.0,493.0,4.1948778E-10
494.0,494.0,8.225353E-7
495.0,495.0,0.32929283
496.0,496.0,0.002460377
497.0,497.0,3.6317746E-5
498.0,498.0,3.0282267E-6
499.0,499.0,1.1403508E-6
500.0,500.0,2.2123466E-4
501.0,501.0,0.001771819
502.0,502.0,2.8108387E-5
503.0,503.0,0.041257814
504.0,504.0,2.1674507E-9
505.0,505.0,2.3184592E-5
506.0,506.0,3.587599E-5
507.0,507.0,4.3220457E-4
508.0,508.0,4.5530464E-6
509.0,509.0,6.155429E-4
510.0,510.0,4.900172E-9
511.0,511.0,2.244449E-7
512.0,512.0,2.2219226E-10
513.0,513.0,0.34093553
514.0,514.0,3.9065516E-4
515.0,515.0,4.196622E-6
516.0,516.0,4.0007164E-4
517.0,517.0,1.00158E-8
518.0,518.0,1.0683934E-6
519.0,519.0,4.7930247E-5
520.0,520.0,7.4308937E-6
521.0,521.0,0.016370136
522.0,522.0,5.1961655E-5
523.0,523.0,0.002131561
524.0,524.0,0.017779185
525.0,525.0,9.0675235E-7
526.0,526.0,0.013123456
527.0,527.0,7.3497233E-7
528.0,528.0,1.5718108E-5
529.0,529.0,2.9647293E-7
