Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.42368E-13,0.000000001,0,0.987792183,0,0
2.576E-13,0.000000003,0,0.980883884,0,0
5.69076E-13,0.00000001,0.000000001,0.963849721,0,0
1.00255E-12,0.000000025,0.000000001,0.94530141,0,0
4.067E-12,0.0000001,0.000000005,0.910381376,0,0
1.09222E-11,0.00000025,0.000000014,0.88994038,0,0
3.18146E-11,0.000001001,0.00000004,0.855398883,0,0
6.77247E-11,0.000002505,0.000000085,0.825210561,0,0
2.14525E-10,0.000010011,0.000000268,0.771269045,0,0
5.209E-10,0.000025041,0.000000651,0.729346077,0,0
1.03853E-9,0.000050094,0.000001298,0.697075802,0,0
1.9749E-9,0.000100036,0.000002468,0.665089429,0,0
4.45489E-9,0.000250255,0.000005567,0.61843475,0,0
7.99072E-9,0.000500428,0.000009986,0.579350809,0,0
1.51773E-8,0.001001072,0.000018967,0.536670767,0,0
3.35902E-8,0.002501417,0.000041977,0.476294123,0,0
6.58037E-8,0.005004476,0.000082232,0.426516514,0.001763668,0
1.30668E-7,0.010000497,0.000163283,0.376076464,0.001763668,0
3.88504E-7,0.025026602,0.000485398,0.316740797,0.001763668,0
8.32433E-7,0.050003146,0.001039753,0.27595344,0.001763668,0
1.94657E-6,0.100085879,0.002429676,0.240844137,0.001763668,0
4.34715E-6,0.200319799,0.005417916,0.209047033,0.001763668,0
6.64596E-6,0.300296607,0.008271079,0.191728968,0.001763668,0
9.25666E-6,0.400838991,0.011501429,0.179615785,0.003527337,0
1.30393E-5,0.500796464,0.016163176,0.171004069,0.003527337,0
1.63829E-5,0.60042036,0.020265566,0.164568941,0.003527337,0
2.05469E-5,0.701274858,0.025350679,0.159364058,0.003527337,0
2.18487E-5,0.750055264,0.026935023,0.15718747,0.003527337,0
2.38121E-5,0.800141834,0.029319685,0.155105517,0.003527337,0
2.89878E-5,0.902448884,0.035577855,0.151509416,0.003527337,0
3.31112E-5,1.002159164,0.040534713,0.14848112,0.003527337,0
3.91654E-5,1.102602002,0.047766674,0.145831362,0.003527337,0
4.42714E-5,1.203204655,0.053823461,0.14356014,0.003527337,0
4.79618E-5,1.304689001,0.058177125,0.141478187,0.003527337,0
5.45428E-5,1.401910606,0.065891175,0.139680136,0.003527337,0
5.85986E-5,1.503611059,0.070613762,0.13797672,0.003527337,0
7.07042E-5,1.750827781,0.084568087,0.134380619,0.003527337,0
8.33286E-5,2.000471157,0.098897312,0.131257689,0.003527337,0
9.91359E-5,2.257089248,0.116523457,0.12860793,0.003527337,0
1.13777E-4,2.502161994,0.13254091,0.126431343,0.003527337,0
1.28217E-4,2.75527759,0.148054493,0.124444024,0.005291005,0
1.46999E-4,3.004274572,0.167818588,0.122740608,0.005291005,0
1.74662E-4,3.259345172,0.196095805,0.12122646,0.007054674,0
1.9055E-4,3.51555182,0.211900519,0.11990158,0.014109347,0
2.03634E-4,3.753472264,0.224681692,0.11876597,0.015873016,0
2.10963E-4,4.003404698,0.231750501,0.117630359,0.019400353,0
2.21651E-4,4.264024099,0.241944425,0.116494748,0.02292769,0
2.25822E-4,4.510613106,0.24588487,0.115453771,0.02292769,0
2.29596E-4,4.761685483,0.249433443,0.114412795,0.026455026,0
2.40965E-4,5.022395622,0.260021911,0.113371818,0.026455026,0
2.45809E-4,5.265787,0.26448752,0.112425476,0.028218695,0
2.5374E-4,5.517094167,0.271741721,0.111479133,0.035273369,0
2.56555E-4,5.772483438,0.274299175,0.110532791,0.037037037,0
2.60443E-4,6.005921447,0.277817024,0.109681083,0.038800705,0
2.65252E-4,6.268579081,0.282144415,0.10873474,0.045855379,0
2.70238E-4,6.510427266,0.286603376,0.107883032,0.049382716,0
2.74317E-4,6.755458379,0.290230634,0.107031324,0.05643739,0
2.79703E-4,7.004581242,0.294991461,0.106179616,0.059964727,0
2.86027E-4,7.258684827,0.300541982,0.105327908,0.061728395,0
2.9312E-4,7.518147107,0.306714201,0.104476199,0.063492063,0
2.99621E-4,7.755392672,0.312324103,0.103719126,0.065255732,0
