Landcover	Description	ChangeTo	Description2
1	CoastalStrand	11	Coastalwetland
2	Sand	11	Coastalwetland
23	saltmarsh	11	Coastalwetland
24	mangroveswamp	11	Coastalwetland
25	scrubmangrove	11	Coastalwetland
26	tidalflat	11	Coastalwetland
34	citrus	9	Cropland/Orchard
27	openwater	10	OpenWater
33	sugarcane	9	Cropland/Orchard
35	rowcrops	9	Cropland/Orchard
36	otheragriculture	9	Cropland/Orchard
29	grassland	7	Grassland
31	improvedpasture	7	Grassland
41	highimpacturban	8	Urban
42	lowimpacturban	8	Urban
43	extractive	8	Urban
32	unimprovedpasture	7	Grassland
30	baresoil	6	Barren
6	Dryprairie	7	Grassland
12	Freshwatermarsh	5	Freshwatermarsh
13	Sawgrassmarsh	5	Freshwatermarsh
14	cattailmarsh	5	Freshwatermarsh
28	shrubandbrush	4	Scrub/Shrub
17	cypressswamp	3	CypressSwamp
18	cypress/pine/palm	3	CypressSwamp
3	XericOakScrub	4	Scrub/Shrub
4	SandPineScrub	4	Scrub/Shrub
5	Sandhill	2	Pineland
9	Pinelands	2	Pineland
38	australianpine	2	Pineland
15	shrubswamp	4	Scrub/Shrub
16	bayswamp	1	HardwoodSwamp
19	mixedwetlandforest	1	HardwoodSwamp
20	hardwoodswamp	1	HardwoodSwamp
21	hydrichammock	1	HardwoodSwamp
22	bottomlandhardwoodforest	1	HardwoodSwamp 
7	MixedHardwood	1	HardwoodSwamp 
8	HardwoodHammock	1	HardwoodSwamp 
10	CabbagePalm/LiveOak	1	HardwoodSwamp 
11	TropicalHardwoodHammock	1	HardwoodSwamp 
37	exoticplants	9	Cropland/Orchard
39	melaleuca	9	Cropland/Orchard
40	brazilianpepper	9	Cropland/Orchard
