spcode,x,y
lasmin,-73.19,43.92
forulk,-67.4,44.66
forsub3,-66.97083333,44.81603936
aphrud,-72.1803,42.6114
lasumb,-72.1803,42.6114
myrscu,-72.1803,42.6114
forsub3,-72.1803,42.6114
lasali,-72.1803,42.6114
camnov,-72.1803,42.6114
campen,-72.1803,42.6114
lasfla,-72.1803,42.6114
tapses,-72.1803,42.6114
lasnea,-72.1803,42.6114
dolpus,-72.1803,42.6114
myrpun,-72.1803,42.6114
crecer,-72.1803,42.6114
lasspe,-72.1803,42.6114
camnea,-72.1803,42.6114
aphrud,-72.4801,42.7126
lasnea,-72.4801,42.7126
campen,-72.4801,42.7126
lasali,-72.4801,42.7126
ponpen,-72.4801,42.7126
forsub3,-72.4801,42.7126
camnov,-68.82083333,44.18270602
forsub3,-68.82083333,44.18270602
forsub1,-68.82083333,44.18270602
forlas,-68.82083333,44.18270602
lasali,-68.82083333,44.18270602
lasneo,-68.82083333,44.18270602
lepcan,-68.82083333,44.18270602
forase,-72.0985,42.8579
lasnea,-72.0985,42.8579
myrame1,-72.0985,42.8579
camher,-72.0998,42.8584
forneo2,-72.1063,42.8614
myrdet,-72.104,42.8617
forneo2,-72.104,42.8617
lepcan,-72.1029,42.8618
forneo2,-72.1029,42.8618
forinc,-72.0672,42.8613
forsub1,-72.11,42.86
myrdet,-72.1076,42.8616
forneo2,-72.1076,42.8616
lepcan,-72.1076,42.8616
lasneo,-72.9769,42.4664
aphrud,-72.9769,42.4664
temlon,-72.9769,42.4664
myrame1,-72.9769,42.4664
lasnea,-72.9769,42.4664
tetcae,-72.9769,42.4664
lasali,-71.9442,42.5875
lasnea,-71.9442,42.5875
camnov,-72.2731,42.5518
forase,-72.2713,42.5347
forsub3,-72.2713,42.5347
forinc,-72.1623,42.71
aphrud,-72.511,41.3065
camnov,-72.511,41.3065
myrpun,-72.511,41.3065
campen,-72.511,41.3065
forase,-72.511,41.3065
forneo2,-72.511,41.3065
forsub3,-72.511,41.3065
myrame1,-72.511,41.3065
steimp,-72.511,41.3065
aphrud,-72.25,41.9646
campen,-72.25,41.9646
steimp,-72.25,41.9646
myrpun,-72.25,41.9646
myrame1,-72.25,41.9646
myrame1,-72.731,41.2949
stesch,-72.731,41.2949
temcur,-72.731,41.2949
aphrud,-72.731,41.2949
temlon,-72.731,41.2949
campen,-72.731,41.2949
myrpun,-72.731,41.2949
steimp,-72.731,41.2949
camnov,-72.731,41.2949
forsub3,-72.731,41.2949
crelin,-72.731,41.2949
temlon,-72.729,41.2868
crelin,-72.729,41.2868
aphrud,-72.729,41.2868
campen,-72.729,41.2868
forsub3,-72.729,41.2868
myrame1,-72.729,41.2868
temcur,-72.729,41.2868
forase,-72.729,41.2868
myrpun,-72.729,41.2868
aphrud,-72.5516,41.4768
myrpun,-72.5516,41.4768
camnov,-72.5516,41.4768
campen,-72.5516,41.4768
steimp,-72.5516,41.4768
ponpen,-72.5516,41.4768
lasali,-72.5516,41.4768
stesch,-72.252,41.9529
campen,-72.252,41.9529
aphrud,-72.252,41.9529
myrame1,-72.252,41.9529
aphrud,-72.2561,41.962
campen,-72.2561,41.962
steimp,-72.2561,41.962
camnov,-72.2561,41.962
myrpun,-72.2561,41.962
stesch,-72.2561,41.962
temlon,-72.2561,41.962
steimp,-72.26,41.9278
aphrud,-72.26,41.9278
myrame1,-72.26,41.9278
stesch,-72.26,41.9278
temcur,-72.26,41.9278
temlon,-72.26,41.9278
tetcae,-70.8201,42.5803
forneo2,-70.8201,42.5803
forsub3,-70.8201,42.5803
myrrub,-70.8201,42.5803
myrrub,-70.87,42.59
tetcae,-70.871,42.5474
laslat,-70.00416667,41.89937269
tapses,-71.3164,42.1069
aphrud,-71.3164,42.1069
preimp,-71.3175,42.1078
lassub1,-71.3175,42.1078
forpal,-71.3175,42.1078
tetcae,-71.3175,42.1078
lasnea,-71.3164,42.1069
forsub1,-71.3175,42.1078
myrscu,-71.3175,42.1078
lasfla,-71.3164,42.1069
lasint,-71.3164,42.1069
forase,-69.49583333,43.85770602
lasneo,-69.49583333,43.85770602
forsub3,-69.49583333,43.85770602
forase,-69.49583333,43.85770602
camnea,-69.49583333,43.85770602
forsub3,-69.49583333,43.85770602
lasneo,-69.6275,43.8944
lasneo,-69.7875,43.74937269
camnov,-69.7875,43.74937269
lasneo,-67.89583333,44.40770602
myrfra,-67.89583333,44.40770602
lasneo,-70.3125,43.54103936
forsub3,-70.3125,43.54103936
