x,y,species cloglog values
1.0,1.0,1.6754979E-4
2.0,2.0,0.33368358
3.0,3.0,6.32173E-7
4.0,4.0,0.04658795
5.0,5.0,6.119522E-5
6.0,6.0,0.061449174
7.0,7.0,0.12962742
8.0,8.0,0.2378672
9.0,9.0,0.007944768
10.0,10.0,0.01634753
11.0,11.0,0.09159144
12.0,12.0,7.857165E-6
13.0,13.0,9.281089E-7
14.0,14.0,2.4194537E-6
15.0,15.0,2.3809348E-6
16.0,16.0,0.15059571
17.0,17.0,0.07260701
18.0,18.0,0.9301781
19.0,19.0,0.35479715
20.0,20.0,0.578287
21.0,21.0,3.678445E-6
22.0,22.0,3.791392E-6
23.0,23.0,0.014317953
24.0,24.0,0.58675253
25.0,25.0,2.1437654E-6
26.0,26.0,0.037333257
27.0,27.0,0.0012476938
28.0,28.0,1.5151799E-5
29.0,29.0,0.51599544
30.0,30.0,2.1717565E-4
31.0,31.0,0.5029316
32.0,32.0,0.019799456
33.0,33.0,4.789756E-7
34.0,34.0,2.9747385E-5
35.0,35.0,0.22155528
36.0,36.0,7.127297E-9
37.0,37.0,1.2821282E-4
38.0,38.0,0.0010478642
39.0,39.0,0.003414625
40.0,40.0,0.64827
41.0,41.0,0.04117564
42.0,42.0,2.3740767E-4
43.0,43.0,0.0073675956
44.0,44.0,0.47509438
45.0,45.0,2.1467755E-4
46.0,46.0,0.02005339
47.0,47.0,0.031718638
48.0,48.0,0.10080308
49.0,49.0,0.060062528
50.0,50.0,6.1104464E-4
51.0,51.0,0.0010044285
52.0,52.0,5.5740304E-5
53.0,53.0,0.5648762
54.0,54.0,3.396256E-5
55.0,55.0,4.0084554E-4
56.0,56.0,4.348228E-5
57.0,57.0,0.13110091
58.0,58.0,0.48152265
59.0,59.0,0.23414269
60.0,60.0,3.0688377E-4
61.0,61.0,0.05500412
62.0,62.0,0.021476382
63.0,63.0,4.215536E-7
64.0,64.0,0.07294851
65.0,65.0,0.014495959
66.0,66.0,0.59090984
67.0,67.0,0.607574
68.0,68.0,0.02751395
69.0,69.0,0.11420678
70.0,70.0,3.9026284E-4
71.0,71.0,3.8522674E-5
72.0,72.0,0.042874113
73.0,73.0,1.1571923E-5
74.0,74.0,3.713619E-6
75.0,75.0,0.5514835
76.0,76.0,0.23668443
77.0,77.0,3.608348E-5
78.0,78.0,4.1462173E-4
79.0,79.0,0.0026273602
80.0,80.0,1.2639308E-4
81.0,81.0,6.008495E-4
82.0,82.0,1.5694999E-4
83.0,83.0,0.5989538
84.0,84.0,9.233123E-6
85.0,85.0,3.0832016E-5
86.0,86.0,0.0013246615
87.0,87.0,0.022538813
88.0,88.0,0.16446443
89.0,89.0,0.19935015
90.0,90.0,1.1475805E-5
91.0,91.0,0.1226181
92.0,92.0,1.4854912E-7
93.0,93.0,0.14541402
94.0,94.0,0.029997375
95.0,95.0,0.4753895
96.0,96.0,0.0019277292
97.0,97.0,0.4413865
98.0,98.0,0.010469411
99.0,99.0,9.764161E-7
100.0,100.0,1.1850864E-4
101.0,101.0,2.0785817E-6
102.0,102.0,0.017322505
103.0,103.0,9.787454E-6
104.0,104.0,0.042027216
105.0,105.0,0.17416003
106.0,106.0,0.7028174
107.0,107.0,0.013709566
108.0,108.0,0.14962293
109.0,109.0,0.16176558
110.0,110.0,0.021581355
111.0,111.0,0.5804914
112.0,112.0,1.142063E-4
113.0,113.0,4.518126E-6
114.0,114.0,1.6322029E-4
115.0,115.0,0.071963765
116.0,116.0,0.0015600477
117.0,117.0,0.4094278
118.0,118.0,0.6122545
119.0,119.0,3.499658E-5
120.0,120.0,4.2048524E-7
121.0,121.0,0.07774554
122.0,122.0,5.8187372E-5
123.0,123.0,0.46845734
124.0,124.0,9.91194E-4
125.0,125.0,0.37814692
126.0,126.0,0.017179495
127.0,127.0,0.455848
128.0,128.0,0.15243587
129.0,129.0,0.02285622
130.0,130.0,0.33361584
131.0,131.0,0.083999574
132.0,132.0,0.06297247
133.0,133.0,1.2645506E-5
134.0,134.0,3.4127304E-5
135.0,135.0,1.6234483E-4
136.0,136.0,0.011608694
137.0,137.0,9.2541273E-7
138.0,138.0,0.30128762
139.0,139.0,1.3155014E-7
140.0,140.0,0.65298736
141.0,141.0,0.087998405
142.0,142.0,0.37526378
143.0,143.0,0.16479677
144.0,144.0,4.3564573E-6
145.0,145.0,0.8410775
146.0,146.0,3.5463981E-6
147.0,147.0,0.004264752
148.0,148.0,9.9442095E-6
149.0,149.0,0.007121199
150.0,150.0,2.6281873E-6
151.0,151.0,5.5503555E-5
152.0,152.0,0.010169408
153.0,153.0,1.0318969E-5
154.0,154.0,0.6875984
155.0,155.0,6.7475125E-6
156.0,156.0,0.00832466
157.0,157.0,0.17969936
158.0,158.0,0.011289754
159.0,159.0,0.79977345
160.0,160.0,3.361333E-5
161.0,161.0,6.3893053E-4
162.0,162.0,0.008903722
163.0,163.0,2.2631823E-4
164.0,164.0,0.08915087
165.0,165.0,0.0012349293
166.0,166.0,0.018290875
167.0,167.0,2.6384727E-4
168.0,168.0,1.745265E-4
169.0,169.0,2.773546E-5
