Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.25541E-12,0.000000002,0.000000013,0.999692812,0,0
5.96292E-12,0.000000003,0.000000015,0.99948802,0,0
1.11893E-11,0.000000011,0.000000028,0.998464059,0,0
1.75373E-11,0.000000025,0.000000043,0.997440098,0,0
2.8632E-11,0.000000102,0.000000071,0.994163424,0,0
5.27578E-11,0.000000255,0.00000013,0.990272374,0,0
1.0979E-10,0.000001004,0.000000271,0.980954331,0,0
1.96414E-10,0.000002512,0.000000484,0.970612328,0,0
4.64118E-10,0.000010019,0.000001145,0.946958837,0,0
8.56914E-10,0.00002502,0.000002114,0.923612533,0,0
1.50299E-9,0.000050132,0.000003707,0.901494983,0,0
2.55021E-9,0.000100172,0.00000629,0.87579357,0,0
5.24394E-9,0.000250126,0.000012934,0.834937538,0,0
9.59758E-9,0.000500723,0.000023672,0.798894122,0,0
2.02489E-8,0.001001725,0.000049942,0.761621954,0,0
5.2449E-8,0.002505067,0.000129354,0.716465288,0,0
1.03919E-7,0.005003225,0.000256278,0.682572189,0,0
2.02988E-7,0.010017228,0.000500533,0.646631169,0,0
5.94391E-7,0.025027771,0.001464959,0.60495597,0,0
1.23451E-6,0.050094079,0.003040214,0.576080279,0,0
2.15109E-6,0.100142287,0.005291501,0.54505427,0,0
3.85243E-6,0.200207572,0.009456802,0.510751587,0,0
5.389E-6,0.300352245,0.013203726,0.488429244,0,0
6.74901E-6,0.400050513,0.016508281,0.471636289,0,0
8.31781E-6,0.50045543,0.020306421,0.458017612,0,0
9.47308E-6,0.600749458,0.023093989,0.446446856,0,0
1.04554E-5,0.700893821,0.025457981,0.43620725,0,0
1.10705E-5,0.750194759,0.026935358,0.431497031,0,0
1.15368E-5,0.80000813,0.028053865,0.426991604,0,0
1.24932E-5,0.900914611,0.030343833,0.418390334,0,0
1.37496E-5,1.000450969,0.033344,0.410608233,0,0
1.50318E-5,1.101036644,0.036396349,0.403440508,0,0
1.65345E-5,1.200313694,0.039961132,0.396989556,0,0
1.77666E-5,1.301133675,0.042874111,0.390948188,0,0
1.88706E-5,1.401618065,0.045476777,0.385316404,0,0
2.01691E-5,1.501515066,0.048528967,0.380094204,0,0
2.41486E-5,1.751157687,0.057822045,0.368523449,0,0
2.75356E-5,2.000446115,0.065660253,0.358693426,0,0
3.12131E-5,2.251303434,0.074096601,0.34998976,0,0
3.47957E-5,2.503191642,0.082242232,0.342207659,0,0
3.8277E-5,2.753745323,0.090088767,0.335142331,0,0
4.07383E-5,3.002617807,0.095595787,0.328691378,0.012048193,0
4.40743E-5,3.253130885,0.103006613,0.32265001,0.012048193,0
4.69809E-5,3.502588136,0.109414287,0.317018227,0.012048193,0
5.00826E-5,3.750209074,0.116201353,0.311796027,0.012048193,0
5.37987E-5,4.004824675,0.124264927,0.30677862,0.012048193,0
5.71526E-5,4.254494973,0.131479191,0.302170797,0.012048193,0
6.00558E-5,4.501239602,0.137676066,0.297870162,0.012048193,0
6.30505E-5,4.753472684,0.144022101,0.293671923,0.012048193,0
6.5759E-5,5.004787939,0.149721162,0.289678476,0.024096386,0
6.82946E-5,5.252954119,0.15502214,0.285889822,0.024096386,0
7.15432E-5,5.504144281,0.161765571,0.282203563,0.024096386,0
7.42124E-5,5.751930479,0.167265965,0.278722097,0.024096386,0
7.73246E-5,6.002474703,0.173633524,0.275343027,0.024096386,0
7.97829E-5,6.253943707,0.17862879,0.272066353,0.036144578,0
8.27192E-5,6.506046448,0.184556004,0.268892075,0.048192771,0
8.56768E-5,6.750888451,0.190482699,0.265922589,0.048192771,0
8.85793E-5,7.004994193,0.196257245,0.262953103,0.048192771,0
9.09344E-5,7.256129658,0.200912567,0.260086013,0.048192771,0
9.52098E-5,7.507191496,0.209294693,0.257321319,0.048192771,0
9.82242E-5,7.758492188,0.21515151,0.254659021,0.048192771,0
1.01676E-4,8.007867354,0.221805202,0.252099119,0.048192771,0
1.04237E-4,8.255073881,0.226704797,0.249641614,0.060240964,0
1.06481E-4,8.507954997,0.230973126,0.247184108,0.072289157,0
1.10162E-4,8.75825876,0.237923521,0.244828999,0.084337349,0
1.12322E-4,9.003052693,0.241973173,0.242576285,0.084337349,0
1.1559E-4,9.25507241,0.24805784,0.240323572,0.084337349,0
1.18801E-4,9.501286034,0.253990421,0.238173254,0.084337349,0
1.21156E-4,9.753515062,0.258311142,0.236022937,0.084337349,0
1.23371E-4,10.010402407,0.262351502,0.233872619,0.084337349,0
1.27266E-4,10.261446067,0.269404159,0.231824698,0.084337349,0
1.2943E-4,10.505495169,0.273293599,0.229879173,0.084337349,0
1.32753E-4,10.75488734,0.279224403,0.227933647,0.084337349,0
1.35019E-4,11.009604957,0.283241799,0.225988122,0.084337349,0
1.38395E-4,11.255482191,0.289185183,0.224144993,0.096385542,0
1.42716E-4,11.508479337,0.296719958,0.222301864,0.096385542,0
1.46285E-4,11.754222672,0.302884228,0.22056113,0.096385542,0
1.49031E-4,12.005195294,0.307589309,0.218820397,0.096385542,0
1.5161E-4,12.260847984,0.311980624,0.217079664,0.108433735,0
1.53471E-4,12.504667909,0.315131645,0.215441327,0.108433735,0
