species,lon,lat
krill,-165.1483,54.4223
krill,-164.116,55.067
krill,-166.5348,54.568
krill,-167.3747,54.4605
krill,-168.7347,56.7708
krill,-166.4228,56.9257
krill,-164.7832,56.2857
krill,-169.7893,55.8518
krill,-169.0452,56.0862
krill,-171.5778,59.0647
krill,-171.6802,57.2703
krill,-170.8003,56.3905
krill,-163.0072,55.4994
krill,-166.9937,55.4963
krill,-166.0093,56.4968
krill,-173.4502,63.0289
krill,-170.9952,56.9972
krill,-172.5857,63.6009
krill,-170.324,58.9495
krill,-173.0098,58.4952
krill,-168.0063,65.404
krill,-171.9848,59.497
krill,-173.007,59.0051
krill,-175.0645,62.005
krill,-171.9993,58.5065
krill,-172.9956,58.0074
krill,-170.0003,60.5022
krill,-167.9948,64.0022
krill,-167.4967,65.0037
krill,-164.5055,63.787
krill,-171.041,58.0042
krill,-174.7002,62.4236
krill,-171.011,62.0033
krill,-168.0075,63.5018
krill,-171.003,62.4989
krill,-170.9135,59.4387
krill,-167.0333,57.5227
krill,-169.9793,58.5047
krill,-169.0011,61.0016
krill,-168.9875,57.5015
krill,-172.995,59.5023
krill,-163.8285,56.9448
krill,-165.7488,57.2635
krill,-169.0092,62.4963
krill,-166.991,58.4937
krill,-166.0102,55.9983
krill,-167.0068,56.4928
krill,-169.1482,64.9888
krill,-166.0037,57.9957
krill,-164.0205,56.4972
krill,-167.995,56.4952
krill,-173.7375,61.4128
krill,-169.0025,60.4954
krill,-168.0032,54.9838
krill,-163.8987,57.4207
krill,-169.673,58.0442
krill,-162.2428,56.7797
krill,-172.4233,59.9155
krill,-166.0122,58.5042
krill,-163.0248,56.5407
krill,-168.7075,58.0602
krill,-159.5407,58.1978
krill,-160.3288,57.9505
krill,-163.9675,55.965
krill,-166.9448,59.3828
krill,-165.0762,55.0495
krill,-161.8883,57.4608
krill,-173.1315,56.7967
krill,-169.9197,56.9692
krill,-170.9457,57.5072
krill,-167.9885,57.003
krill,-172.4037,57.0298
krill,-164.9855,57.5022
krill,-162.9875,56.0132
krill,-170.001,59.4962
krill,-167.0168,62.51
krill,-167.0223,55.9948
krill,-165.0273,57.002
krill,-169.9974,56.5097
krill,-169.0073,59.4997
krill,-166.9887,62.9907
krill,-165.8565,54.8145
krill,-166.6265,54.0737
krill,-167.984,57.5018
krill,-173.551,62.5578
krill,-168.0022,62.0012
krill,-170.002,61.499
krill,-168.9988,61.5
krill,-166.0008,63.9995
krill,-164.7453,55.7268
krill,-166.2787,55.25
krill,-162.3412,57.8983
krill,-159.8547,57.4933
krill,-161.9872,56.0015
krill,-163.1233,57.6613
krill,-161.1092,57.6992
krill,-168.6232,55.6503
krill,-172.8427,57.4718
krill,-159.4195,57.058
krill,-173.8153,60.9083
krill,-171.9775,58.0487
krill,-163.573,58.1007
krill,-167.6932,59.1427
krill,-161.5512,58.137
krill,-159.066,57.7412
krill,-160.225,56.8168
krill,-160.6655,57.2583
krill,-164.345,57.8612
krill,-162.6817,57.2202
krill,-167.0365,55.0103
krill,-167.526,58.0245
krill,-174.086,61.8662
krill,-167.878,55.888
krill,-164.0238,58.5392
krill,-161.4537,57.0198
krill,-171.9633,56.5927
krill,-173.3543,60.2523
krill,-169.0468,59.0038
krill,-165.514,55.4882
krill,-164.7978,58.3027
krill,-161.1995,56.2393
krill,-168.6734,66.418
krill,-174.99,59.009
krill,-175.6292,59.4398
krill,-176.892,61.095
krill,-176.5305,59.5262
krill,-170.003,62.501
krill,-169.0001,58.4964
krill,-170.994,58.5058
krill,-169.9973,64.4993
krill,-168.0003,64.5178
krill,-171.0022,64.0007
krill,-168.0038,58.4997
krill,-170.001,62
krill,-169.998,57.501
krill,-166.9992,63.5013
krill,-163.9946,55.5119
krill,-171.2565,59.8948
