x,y,species cloglog values
1.0,1.0,0.12497956
2.0,2.0,0.040580574
3.0,3.0,0.0011287993
4.0,4.0,0.004145688
5.0,5.0,0.11262903
6.0,6.0,0.52495646
7.0,7.0,1.1242697E-6
8.0,8.0,0.95353913
9.0,9.0,3.3873238E-4
10.0,10.0,0.008850242
11.0,11.0,6.5550885E-6
12.0,12.0,1.878182E-5
13.0,13.0,2.4136698E-6
14.0,14.0,6.7667774E-5
15.0,15.0,0.47508028
16.0,16.0,1.9575296E-5
17.0,17.0,2.4811097E-5
18.0,18.0,0.36286804
19.0,19.0,0.0010273252
20.0,20.0,0.039326675
21.0,21.0,2.3761566E-4
22.0,22.0,0.026051173
23.0,23.0,3.6899473E-7
24.0,24.0,9.2494665E-6
25.0,25.0,0.0367871
26.0,26.0,0.019855391
27.0,27.0,0.026626917
28.0,28.0,1.9310695E-5
29.0,29.0,0.59327143
30.0,30.0,8.0773665E-5
31.0,31.0,0.3303144
32.0,32.0,0.2617453
33.0,33.0,0.08360317
34.0,34.0,5.3644962E-5
35.0,35.0,4.885626E-5
36.0,36.0,0.026913723
37.0,37.0,1.3934715E-4
38.0,38.0,1.4491446E-4
39.0,39.0,0.12983982
40.0,40.0,0.0012572954
41.0,41.0,0.0010325051
42.0,42.0,0.2440723
43.0,43.0,0.24291278
44.0,44.0,3.9178114E-5
45.0,45.0,1.2324246E-5
46.0,46.0,0.45414776
47.0,47.0,1.2850211E-4
48.0,48.0,0.004734525
49.0,49.0,2.2745726E-5
50.0,50.0,4.4231114E-5
51.0,51.0,0.008855
52.0,52.0,0.88036954
53.0,53.0,0.016040195
54.0,54.0,0.460985
55.0,55.0,3.93309E-6
56.0,56.0,0.018197134
57.0,57.0,3.4260656E-6
58.0,58.0,0.0323633
59.0,59.0,8.552315E-7
60.0,60.0,4.4076744E-4
61.0,61.0,8.486925E-5
62.0,62.0,0.15896572
63.0,63.0,0.29474697
64.0,64.0,0.005899513
65.0,65.0,0.107492045
66.0,66.0,0.0031240126
67.0,67.0,0.43113306
68.0,68.0,9.524368E-5
69.0,69.0,2.5465354E-4
70.0,70.0,0.028482564
71.0,71.0,0.52454007
72.0,72.0,0.0163824
73.0,73.0,0.10441524
74.0,74.0,1.3008788E-4
75.0,75.0,0.23982392
76.0,76.0,8.733017E-5
77.0,77.0,0.016746249
78.0,78.0,0.004266375
79.0,79.0,0.014897766
80.0,80.0,7.3127158E-6
81.0,81.0,0.18253645
82.0,82.0,0.8641514
83.0,83.0,0.41546082
84.0,84.0,6.4553675E-4
85.0,85.0,1.1737359E-6
86.0,86.0,0.00203916
87.0,87.0,0.0011986417
88.0,88.0,0.04256162
89.0,89.0,0.22984356
90.0,90.0,1.7114064E-4
91.0,91.0,0.0037204844
92.0,92.0,0.38175774
93.0,93.0,7.3267904E-5
94.0,94.0,0.014316736
95.0,95.0,0.0070448946
96.0,96.0,1.4518933E-7
97.0,97.0,0.42058802
98.0,98.0,1.6343579E-4
99.0,99.0,8.066665E-5
100.0,100.0,0.33635888
101.0,101.0,3.850116E-5
102.0,102.0,1.0326649E-4
103.0,103.0,0.55565864
104.0,104.0,0.3464726
105.0,105.0,0.27085334
106.0,106.0,0.44013485
107.0,107.0,0.4778507
108.0,108.0,3.0512779E-6
109.0,109.0,0.038982466
110.0,110.0,1.412511E-6
111.0,111.0,0.49736014
112.0,112.0,0.069294706
113.0,113.0,0.2589879
114.0,114.0,0.30237386
115.0,115.0,0.0042998013
116.0,116.0,0.012105111
117.0,117.0,0.40029377
118.0,118.0,0.1483956
119.0,119.0,0.28883296
120.0,120.0,0.30696145
121.0,121.0,0.32810146
122.0,122.0,0.0046093473
123.0,123.0,1.6983706E-5
124.0,124.0,2.2545073E-6
125.0,125.0,0.28208363
126.0,126.0,0.4971899
127.0,127.0,2.3832418E-4
128.0,128.0,0.008287894
129.0,129.0,0.041273855
130.0,130.0,2.6499738E-6
131.0,131.0,9.2817354E-5
132.0,132.0,3.2234047E-6
133.0,133.0,0.29248175
134.0,134.0,0.0846641
135.0,135.0,0.0172019
136.0,136.0,2.3163711E-6
137.0,137.0,0.16471745
138.0,138.0,9.442837E-7
139.0,139.0,0.28776002
140.0,140.0,2.0677439E-4
141.0,141.0,0.6089696
142.0,142.0,0.0038440612
143.0,143.0,1.25257E-4
144.0,144.0,2.2259352E-4
145.0,145.0,0.27344075
146.0,146.0,2.7246745E-7
147.0,147.0,0.058654025
148.0,148.0,0.016874084
149.0,149.0,0.01273922
150.0,150.0,2.0607937E-5
151.0,151.0,2.3889272E-4
152.0,152.0,0.48257774
153.0,153.0,1.851071E-5
154.0,154.0,0.7993708
155.0,155.0,2.9271262E-4
156.0,156.0,0.004795665
157.0,157.0,0.0023629242
158.0,158.0,0.48786974
159.0,159.0,0.44720396
160.0,160.0,0.3048797
161.0,161.0,9.016717E-4
162.0,162.0,8.95821E-4
163.0,163.0,0.4287451
164.0,164.0,0.277634
165.0,165.0,8.2474126E-4
166.0,166.0,0.89553785
167.0,167.0,1.6122996E-5
168.0,168.0,0.00792678
169.0,169.0,5.6998886E-4
170.0,170.0,0.002004193
171.0,171.0,0.021366298
172.0,172.0,1.9440365E-4
173.0,173.0,7.9193705E-5
174.0,174.0,0.3026498
175.0,175.0,0.02590974
176.0,176.0,0.32464707
177.0,177.0,0.0012683712
178.0,178.0,3.032208E-6
179.0,179.0,0.47413397
180.0,180.0,0.008557159
181.0,181.0,0.087138325
182.0,182.0,0.0013107955
183.0,183.0,0.027363848
184.0,184.0,0.42650408
185.0,185.0,0.0062843547
186.0,186.0,1.6998434E-5
187.0,187.0,8.01464E-7
188.0,188.0,0.27661726
189.0,189.0,0.011348563
190.0,190.0,7.9657324E-4
191.0,191.0,0.8518983
192.0,192.0,0.0040980964
193.0,193.0,9.222014E-7
194.0,194.0,1.6888329E-7
195.0,195.0,1.8479048E-5
196.0,196.0,0.012606991
197.0,197.0,9.785898E-4
198.0,198.0,0.73669106
199.0,199.0,0.19431083
200.0,200.0,0.026522715
201.0,201.0,1.8359495E-4
202.0,202.0,0.14415623
203.0,203.0,0.3462876
204.0,204.0,0.21757545
205.0,205.0,8.278227E-6
206.0,206.0,0.4487053
207.0,207.0,0.8821686
208.0,208.0,2.324912E-6
209.0,209.0,2.4691095E-5
210.0,210.0,3.2304742E-5
211.0,211.0,3.1831303E-5
212.0,212.0,8.560406E-6
213.0,213.0,0.025097564
214.0,214.0,0.18914975
215.0,215.0,1.07931075E-4
216.0,216.0,0.069468945
217.0,217.0,0.08015489
218.0,218.0,0.047038548
219.0,219.0,4.8870083E-6
220.0,220.0,0.03519985
221.0,221.0,2.3424761E-4
222.0,222.0,0.09370008
223.0,223.0,0.5172086
224.0,224.0,0.008849908
225.0,225.0,7.0456223E-4
226.0,226.0,0.43926272
227.0,227.0,8.427053E-6
228.0,228.0,1.9160427E-5
229.0,229.0,3.0576732E-4
230.0,230.0,2.4529075E-4
231.0,231.0,1.9597462E-6
232.0,232.0,0.37211597
233.0,233.0,8.704914E-7
234.0,234.0,0.032248583
235.0,235.0,4.927638E-5
236.0,236.0,0.9934847
237.0,237.0,4.3085543E-6
238.0,238.0,0.997061
239.0,239.0,0.0151081765
240.0,240.0,0.20863692
241.0,241.0,3.6728426E-7
242.0,242.0,3.1562697E-4
243.0,243.0,0.69080406
244.0,244.0,5.497378E-5
245.0,245.0,8.1346073E-4
246.0,246.0,2.0249032E-5
247.0,247.0,0.15946643
248.0,248.0,0.16355881
249.0,249.0,0.45622855
250.0,250.0,0.16317755
251.0,251.0,0.22466777
252.0,252.0,3.1208393E-7
253.0,253.0,3.8920138E-5
254.0,254.0,0.04354273
255.0,255.0,0.419861
256.0,256.0,0.041463573
257.0,257.0,5.4522798E-6
258.0,258.0,0.9192059
259.0,259.0,0.39255416
260.0,260.0,0.37118638
261.0,261.0,8.2741753E-4
262.0,262.0,1.4905531E-4
263.0,263.0,0.018370697
264.0,264.0,2.9375435E-6
265.0,265.0,7.766052E-6
266.0,266.0,1.1130526E-4
267.0,267.0,1.19739496E-4
268.0,268.0,0.85025674
269.0,269.0,0.8339021
270.0,270.0,4.1630253E-4
271.0,271.0,8.276121E-5
