Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.21555E-13,0.000000001,0.000000002,0.998050682,0,0
1.10485E-12,0.000000003,0.000000003,0.996306556,0,0
2.33418E-12,0.00000001,0.000000006,0.991997538,0,0
3.97389E-12,0.000000025,0.00000001,0.98697035,0,0
1.05283E-11,0.000000101,0.000000026,0.975787422,0,0
2.2722E-11,0.000000252,0.000000056,0.966246024,0,0
6.99901E-11,0.000001006,0.000000174,0.948086591,0,0
1.27601E-10,0.000002502,0.000000317,0.932594645,0,0
3.29502E-10,0.000010008,0.000000819,0.897917308,0,0
6.49138E-10,0.000025006,0.000001613,0.865291885,0,0
1.18092E-9,0.000050117,0.000002934,0.836359906,0,0
2.2315E-9,0.000100091,0.000005544,0.805581204,0,0
5.91405E-9,0.00025001,0.000014693,0.765055915,0,0
1.32476E-8,0.000501302,0.000032913,0.735713553,0,0
3.1374E-8,0.00100222,0.000077945,0.711500975,0,0
7.38536E-8,0.002504261,0.000183471,0.681235252,0,0
1.40251E-7,0.005013437,0.00034839,0.656304504,0,0
2.57021E-7,0.010018276,0.000638361,0.62962963,0,0
6.29399E-7,0.025045317,0.00156251,0.591874423,0,0
1.37496E-6,0.050050812,0.003410234,0.565199549,0,0
2.57987E-6,0.100114492,0.006389143,0.539242844,0,0
4.62817E-6,0.200113524,0.01143277,0.510823843,0,0
6.06087E-6,0.300101531,0.014945325,0.491741049,0,0
7.25143E-6,0.400480691,0.017854765,0.476249102,0,0
8.45981E-6,0.500463206,0.020798937,0.463219452,0,0
9.57308E-6,0.600407155,0.023503557,0.451831333,0,0
1.07028E-5,0.700632562,0.026240532,0.441674361,0,0
1.1421E-5,0.750403882,0.027976611,0.437057556,0,0
1.21402E-5,0.800029911,0.029711763,0.432748538,0,0
1.34635E-5,0.900824373,0.032896587,0.42464348,0,0
1.47871E-5,1.000186297,0.03607173,0.417461783,0,0
1.58609E-5,1.101175549,0.038639793,0.410690469,0,0
1.6901E-5,1.200979668,0.041120818,0.404432133,0,0
1.79756E-5,1.300401599,0.043677534,0.39858418,0,0
1.91902E-5,1.400691039,0.046559054,0.393044014,0,0
2.02759E-5,1.501891431,0.049127377,0.387811634,0,0
2.28576E-5,1.751957088,0.055206875,0.375910537,0,0
2.57264E-5,2.001688855,0.061917129,0.365343183,0.013333333,0
2.84752E-5,2.250931339,0.068301585,0.355904381,0.013333333,0.052631579
3.12693E-5,2.501959272,0.074747048,0.347286345,0.013333333,0.052631579
3.46067E-5,2.75056327,0.082387295,0.339489074,0.013333333,0.052631579
3.76111E-5,3.002405479,0.089211135,0.332307377,0.013333333,0.052631579
4.08347E-5,3.252452564,0.096476661,0.325741254,0.013333333,0.052631579
4.36496E-5,3.50135479,0.102773465,0.319688109,0.013333333,0.105263158
4.63013E-5,3.753170529,0.108664985,0.313942752,0.013333333,0.105263158
4.87615E-5,4.000654353,0.114096488,0.308607777,0.013333333,0.105263158
5.21062E-5,4.253335646,0.121427733,0.303477993,0.013333333,0.105263158
5.50159E-5,4.502804122,0.127756211,0.298655997,0.013333333,0.105263158
5.80699E-5,4.752586846,0.134349337,0.294141787,0.013333333,0.105263158
6.14559E-5,5.002694675,0.141600948,0.289832769,0.013333333,0.157894737
6.45296E-5,5.255440793,0.14813134,0.285728942,0.013333333,0.157894737
6.79966E-5,5.506588494,0.155437488,0.281830307,0.013333333,0.157894737
7.1552E-5,5.750910567,0.162864908,0.278239458,0.013333333,0.157894737
7.49355E-5,6.006880893,0.169872677,0.27464861,0.013333333,0.157894737
7.76568E-5,6.250994565,0.175466189,0.271365548,0.013333333,0.157894737
8.23689E-5,6.507082639,0.185062955,0.268082487,0.026666667,0.210526316
8.53567E-5,6.750015244,0.191089799,0.265107212,0.04,0.210526316
9.00256E-5,7.00359174,0.200418908,0.262131938,0.04,0.210526316
9.28935E-5,7.251108782,0.206095904,0.259361855,0.04,0.210526316
9.7673E-5,7.508212423,0.215467421,0.256591772,0.04,0.210526316
9.971E-5,7.754903588,0.219427762,0.25402688,0.04,0.210526316
1.02339E-4,8.007066052,0.224509019,0.251461988,0.04,0.210526316
1.05569E-4,8.256420483,0.230708475,0.248999692,0.04,0.210526316
1.0947E-4,8.504120375,0.238128739,0.246639992,0.04,0.263157895
1.12699E-4,8.759617113,0.244215345,0.244280291,0.04,0.263157895
1.16275E-4,9.011425883,0.250900887,0.242023187,0.04,0.263157895
1.18678E-4,9.258733648,0.255359257,0.239868678,0.053333333,0.263157895
1.21696E-4,9.510617061,0.260922953,0.237714168,0.053333333,0.263157895
1.2438E-4,9.756611094,0.265833894,0.235662255,0.053333333,0.263157895
1.27799E-4,10.00873471,0.272043633,0.233610342,0.053333333,0.263157895
1.31255E-4,10.254736074,0.278267401,0.231661024,0.066666667,0.263157895
1.34614E-4,10.507364622,0.284266314,0.229711706,0.066666667,0.263157895
1.37867E-4,10.753218229,0.29002802,0.227864984,0.066666667,0.315789474
1.40328E-4,11.003934407,0.29435404,0.226018262,0.066666667,0.315789474
1.43146E-4,11.259152914,0.299278205,0.22417154,0.066666667,0.315789474
1.4608E-4,11.505428309,0.304366808,0.222427414,0.08,0.315789474
1.48158E-4,11.755738065,0.307948716,0.220683287,0.08,0.315789474
1.51612E-4,12.010165003,0.313863325,0.218939161,0.08,0.315789474
1.53721E-4,12.254608983,0.317448449,0.21729763,0.08,0.315789474
1.56028E-4,12.502683003,0.321349653,0.215656099,0.08,0.315789474
1.58457E-4,12.754694202,0.325433656,0.214014569,0.08,0.315789474
1.60368E-4,13.010093728,0.328627321,0.212373038,0.08,0.315789474
1.61927E-4,13.252095758,0.33122412,0.210834103,0.08,0.315789474
1.65482E-4,13.514411291,0.337104016,0.209192572,0.08,0.315789474
1.67771E-4,13.764419451,0.340863656,0.207653637,0.08,0.315789474
1.69655E-4,14.000649021,0.343941365,0.206217298,0.08,0.315789474
1.71266E-4,14.256270369,0.34656207,0.204678363,0.08,0.315789474
1.74339E-4,14.515357352,0.35153206,0.203139428,0.08,0.315789474
1.76363E-4,14.76058874,0.354784279,0.201703088,0.093333333,0.315789474
1.78278E-4,15.009067181,0.357847094,0.200266749,0.093333333,0.315789474
1.79918E-4,15.25994643,0.360458379,0.198830409,0.106666667,0.315789474
1.80983E-4,15.512826583,0.362148539,0.19739407,0.106666667,0.315789474
1.82988E-4,15.767510257,0.365317203,0.195957731,0.106666667,0.315789474
1.85258E-4,16.007547644,0.368886817,0.194623987,0.106666667,0.315789474
1.87673E-4,16.268752422,0.37266286,0.193187647,0.106666667,0.315789474
1.89524E-4,16.513869027,0.375540889,0.191853904,0.106666667,0.315789474
1.9193E-4,16.762134086,0.379262678,0.19052016,0.106666667,0.315789474
1.94872E-4,17.013760923,0.38378273,0.189186416,0.12,0.368421053
1.97505E-4,17.268808155,0.387800966,0.187852673,0.12,0.368421053
1.99369E-4,17.50694584,0.390629155,0.186621525,0.12,0.368421053
2.00441E-4,17.766878944,0.392250335,0.185287781,0.12,0.368421053
2.02534E-4,18.008737655,0.395402789,0.184056633,0.12,0.421052632
2.04136E-4,18.25265377,0.397804397,0.182825485,0.133333333,0.421052632
2.06636E-4,18.519794733,0.401532497,0.181491741,0.133333333,0.421052632
2.09535E-4,18.769605013,0.405828283,0.180260593,0.16,0.421052632
2.11413E-4,19.00095211,0.408593927,0.179132041,0.16,0.421052632
2.13502E-4,19.255657636,0.411656203,0.177900893,0.16,0.421052632
2.15551E-4,19.513199367,0.414643037,0.176669745,0.16,0.421052632
2.16748E-4,19.75123095,0.416381678,0.175541192,0.16,0.421052632
2.18889E-4,20.013141605,0.419477367,0.174310044,0.16,0.421052632
2.20476E-4,20.255236021,0.42176167,0.173181492,0.173333333,0.421052632
2.2325E-4,20.521357347,0.425733296,0.171950344,0.186666667,0.421052632
2.26221E-4,20.768719717,0.42995664,0.170821791,0.186666667,0.421052632
2.28283E-4,21.01899034,0.432868893,0.169693239,0.186666667,0.421052632
2.29824E-4,21.271076435,0.435036453,0.168564687,0.2,0.421052632
2.31055E-4,21.501538249,0.436761331,0.16753873,0.2,0.421052632
2.33574E-4,21.757194343,0.44027551,0.166410177,0.2,0.421052632
2.357E-4,22.015337329,0.443224078,0.165281625,0.2,0.421052632
2.37098E-4,22.251985327,0.445154535,0.164255668,0.2,0.421052632
2.38374E-4,22.513428016,0.446910942,0.163127116,0.2,0.421052632
2.40005E-4,22.752568339,0.449148231,0.162101159,0.2,0.421052632
2.42133E-4,23.017751447,0.452052049,0.160972607,0.2,0.473684211
2.44093E-4,23.26094888,0.454714727,0.15994665,0.2,0.473684211
2.46291E-4,23.506108192,0.4576843,0.158920694,0.2,0.473684211
2.48075E-4,23.753051659,0.460082259,0.157894737,0.2,0.473684211
2.50005E-4,24.002258424,0.462665057,0.15686878,0.2,0.473684211
2.51166E-4,24.252934884,0.46421319,0.155842823,0.213333333,0.473684211
2.52055E-4,24.504530891,0.465395147,0.154816867,0.213333333,0.473684211
2.53922E-4,24.757485541,0.467869475,0.15379091,0.213333333,0.473684211
2.55203E-4,25.012136247,0.469559712,0.152764953,0.213333333,0.473684211
2.56446E-4,25.268119722,0.471195613,0.151738997,0.213333333,0.473684211
2.58032E-4,25.525420618,0.473275302,0.15071304,0.213333333,0.473684211
2.59645E-4,25.758511803,0.475381222,0.149789679,0.213333333,0.473684211
2.62158E-4,26.019623721,0.478646976,0.148763722,0.213333333,0.473684211
2.62917E-4,26.255895291,0.479628881,0.147840361,0.213333333,0.473684211
2.64456E-4,26.519655978,0.48161476,0.146814404,0.213333333,0.526315789
2.66084E-4,26.758567728,0.483707441,0.145891043,0.213333333,0.526315789
2.68528E-4,27.025879528,0.486833544,0.144865087,0.226666667,0.526315789
2.69668E-4,27.268113708,0.488284753,0.143941726,0.226666667,0.526315789
2.70637E-4,27.511312323,0.48951442,0.143018365,0.24,0.526315789
2.71961E-4,27.755510187,0.491191853,0.142095004,0.253333333,0.526315789
2.73734E-4,28.001199908,0.493427885,0.141171643,0.253333333,0.526315789
2.76207E-4,28.27647984,0.49653054,0.140145686,0.253333333,0.526315789
2.76779E-4,28.525328681,0.49724531,0.139222325,0.253333333,0.526315789
2.78616E-4,28.775567881,0.499535472,0.138298964,0.253333333,0.526315789
2.80897E-4,29.027396507,0.502362674,0.137375603,0.253333333,0.526315789
2.81558E-4,29.252446728,0.503180197,0.136554837,0.253333333,0.526315789
2.82705E-4,29.506579803,0.504592926,0.135631476,0.253333333,0.526315789
