x,y,species_4 cloglog values
1.0,1.0,0.006116908
2.0,2.0,6.3669127E-6
3.0,3.0,0.33469215
4.0,4.0,0.02131198
5.0,5.0,1.2654328E-5
6.0,6.0,0.59486616
7.0,7.0,0.002550502
8.0,8.0,7.222484E-8
9.0,9.0,3.0101932E-4
10.0,10.0,0.48909396
11.0,11.0,0.29211512
12.0,12.0,0.0108072525
13.0,13.0,1.2415912E-5
14.0,14.0,0.19766584
15.0,15.0,0.014669846
16.0,16.0,1.0942696E-7
17.0,17.0,0.1312325
18.0,18.0,0.0056956327
19.0,19.0,0.41510174
20.0,20.0,0.05675026
21.0,21.0,2.4274397E-5
22.0,22.0,0.2065987
23.0,23.0,0.0027636935
24.0,24.0,7.446424E-4
25.0,25.0,0.21502663
26.0,26.0,0.14663158
27.0,27.0,0.46152553
28.0,28.0,0.016939623
29.0,29.0,6.8858455E-5
30.0,30.0,1.9288022E-5
31.0,31.0,0.06370043
32.0,32.0,0.9608471
33.0,33.0,2.3256468E-6
34.0,34.0,2.3672054E-7
35.0,35.0,0.5719868
36.0,36.0,4.0790424E-6
37.0,37.0,5.6711826E-7
38.0,38.0,0.7084319
39.0,39.0,5.198551E-6
40.0,40.0,3.326118E-4
41.0,41.0,9.28143E-5
42.0,42.0,0.75211096
43.0,43.0,0.0011891527
44.0,44.0,0.018342765
45.0,45.0,8.012588E-4
46.0,46.0,0.8491577
47.0,47.0,0.37535655
48.0,48.0,7.227034E-8
49.0,49.0,0.60484684
50.0,50.0,0.17808789
51.0,51.0,0.48633587
52.0,52.0,8.2155614E-4
53.0,53.0,0.42127323
54.0,54.0,0.05505099
55.0,55.0,8.7632204E-4
56.0,56.0,6.3465986E-6
57.0,57.0,0.13467708
58.0,58.0,0.0017904387
59.0,59.0,0.3601348
60.0,60.0,0.8626297
61.0,61.0,0.15130225
62.0,62.0,7.2231225E-4
63.0,63.0,1.0911821E-7
64.0,64.0,0.033184767
65.0,65.0,0.46976233
66.0,66.0,0.6018313
67.0,67.0,0.031779487
68.0,68.0,0.112454064
69.0,69.0,4.9759683E-7
70.0,70.0,0.02849771
71.0,71.0,0.16698508
72.0,72.0,1.3748318E-5
73.0,73.0,2.2415514E-5
74.0,74.0,0.6044889
75.0,75.0,0.42646274
76.0,76.0,2.6854937E-6
