x,y,species avg
1.0,1.0,0.015453679
2.0,2.0,1.1215236E-5
3.0,3.0,0.24020953
4.0,4.0,0.013198082
5.0,5.0,3.579679E-5
6.0,6.0,0.5962942
7.0,7.0,0.0016103885
8.0,8.0,7.164889E-7
9.0,9.0,0.0012940612
10.0,10.0,0.3907916
11.0,11.0,0.3580099
12.0,12.0,0.008859659
13.0,13.0,7.557494E-5
14.0,14.0,0.1359422
15.0,15.0,0.010193363
16.0,16.0,1.7676326E-6
17.0,17.0,0.13175738
18.0,18.0,0.0025386456
19.0,19.0,0.46241933
20.0,20.0,0.2970863
21.0,21.0,6.100724E-5
22.0,22.0,0.1707006
23.0,23.0,0.0050921193
24.0,24.0,4.8119854E-4
25.0,25.0,0.2065595
26.0,26.0,0.12352673
27.0,27.0,0.4681428
28.0,28.0,0.009585476
29.0,29.0,1.8121647E-4
30.0,30.0,7.589715E-6
31.0,31.0,0.048931226
32.0,32.0,0.9271466
33.0,33.0,9.564123E-6
34.0,34.0,1.9633915E-6
35.0,35.0,0.58796656
36.0,36.0,1.2991491E-5
37.0,37.0,1.4720919E-6
38.0,38.0,0.7020761
39.0,39.0,1.4870114E-5
40.0,40.0,3.687089E-4
41.0,41.0,4.7316924E-5
42.0,42.0,0.7636407
43.0,43.0,7.718063E-4
44.0,44.0,0.018490069
45.0,45.0,4.8175675E-4
46.0,46.0,0.80491483
47.0,47.0,0.2682109
48.0,48.0,4.7393155E-7
49.0,49.0,0.5314983
50.0,50.0,0.13408124
51.0,51.0,0.39179808
52.0,52.0,8.9855614E-4
53.0,53.0,0.43865168
54.0,54.0,0.086583585
55.0,55.0,4.7204611E-4
56.0,56.0,2.7605938E-5
57.0,57.0,0.123407334
58.0,58.0,0.0013887414
59.0,59.0,0.29125658
60.0,60.0,0.83060014
61.0,61.0,0.2137149
62.0,62.0,0.0010477962
63.0,63.0,1.2044803E-6
64.0,64.0,0.019683631
65.0,65.0,0.49716455
66.0,66.0,0.71144265
67.0,67.0,0.025311004
68.0,68.0,0.07270198
69.0,69.0,1.6377305E-6
70.0,70.0,0.020910384
71.0,71.0,0.16582537
72.0,72.0,2.3345034E-5
73.0,73.0,1.8608062E-5
74.0,74.0,0.5232475
75.0,75.0,0.44137725
76.0,76.0,1.1652222E-6
77.0,77.0,0.023925496
78.0,78.0,0.8866306
79.0,79.0,0.0015394612
80.0,80.0,0.79747045
81.0,81.0,0.069739886
82.0,82.0,9.095746E-7
83.0,83.0,0.25879472
84.0,84.0,0.008438816
85.0,85.0,1.4847281E-4
86.0,86.0,1.06122345E-4
87.0,87.0,0.04811602
88.0,88.0,4.96473E-6
89.0,89.0,7.1574905E-6
90.0,90.0,0.2938535
91.0,91.0,0.37733987
92.0,92.0,0.04102483
93.0,93.0,0.53483725
94.0,94.0,0.5404605
95.0,95.0,0.012573095
96.0,96.0,0.008401262
97.0,97.0,0.27724743
98.0,98.0,2.6078564E-5
99.0,99.0,0.31647813
100.0,100.0,2.3895204E-4
101.0,101.0,0.0025590898
102.0,102.0,0.49490127
103.0,103.0,0.37879524
104.0,104.0,0.1324575
105.0,105.0,0.513867
106.0,106.0,0.03078459
107.0,107.0,0.020737123
108.0,108.0,3.9911142E-4
109.0,109.0,0.67077196
110.0,110.0,0.07962248
111.0,111.0,2.2667048E-6
112.0,112.0,0.25312683
113.0,113.0,0.027004408
114.0,114.0,0.60934114
115.0,115.0,8.0108985E-5
116.0,116.0,0.04164647
117.0,117.0,0.048955802
118.0,118.0,0.022685377
119.0,119.0,0.5289466
120.0,120.0,0.32724357
121.0,121.0,0.13338071
122.0,122.0,0.09344243
123.0,123.0,0.0026728802
124.0,124.0,0.7512206
125.0,125.0,1.8703258E-6
