x,y,species max
1.0,1.0,0.03743331
2.0,2.0,1.7342869E-5
3.0,3.0,0.33469215
4.0,4.0,0.02131198
5.0,5.0,9.041105E-5
6.0,6.0,0.6438695
7.0,7.0,0.002550502
8.0,8.0,2.8394707E-6
9.0,9.0,0.0034241711
10.0,10.0,0.55153155
11.0,11.0,0.47287813
12.0,12.0,0.017346004
13.0,13.0,1.7687971E-4
14.0,14.0,0.19766584
15.0,15.0,0.014669846
16.0,16.0,5.9885574E-6
17.0,17.0,0.19560745
18.0,18.0,0.0056956327
19.0,19.0,0.54413116
20.0,20.0,0.40617555
21.0,21.0,1.5010906E-4
22.0,22.0,0.2065987
23.0,23.0,0.010156635
24.0,24.0,7.446424E-4
25.0,25.0,0.31031567
26.0,26.0,0.14663158
27.0,27.0,0.5468026
28.0,28.0,0.016939623
29.0,29.0,5.5120146E-4
30.0,30.0,1.9288022E-5
31.0,31.0,0.07172122
32.0,32.0,0.9608471
33.0,33.0,2.0864452E-5
34.0,34.0,5.345685E-6
35.0,35.0,0.70491964
36.0,36.0,3.064949E-5
37.0,37.0,3.7471063E-6
38.0,38.0,0.7420957
39.0,39.0,3.4768615E-5
40.0,40.0,5.359777E-4
41.0,41.0,9.28143E-5
42.0,42.0,0.80702466
43.0,43.0,0.0011891527
44.0,44.0,0.03185617
45.0,45.0,8.012588E-4
46.0,46.0,0.8491577
47.0,47.0,0.37535655
48.0,48.0,9.3477087E-7
49.0,49.0,0.60484684
50.0,50.0,0.17808789
51.0,51.0,0.48633587
52.0,52.0,0.0012152164
53.0,53.0,0.49794382
54.0,54.0,0.1265815
55.0,55.0,8.7632204E-4
56.0,56.0,6.498291E-5
57.0,57.0,0.19986485
58.0,58.0,0.0021795258
59.0,59.0,0.3601348
60.0,60.0,0.8656946
61.0,61.0,0.39549452
62.0,62.0,0.001994012
63.0,63.0,3.903658E-6
64.0,64.0,0.033184767
65.0,65.0,0.64877015
66.0,66.0,0.8059729
67.0,67.0,0.037145026
68.0,68.0,0.112454064
69.0,69.0,4.699406E-6
70.0,70.0,0.02849771
71.0,71.0,0.2132905
72.0,72.0,4.52706E-5
73.0,73.0,2.998982E-5
74.0,74.0,0.6044889
75.0,75.0,0.52948755
76.0,76.0,2.6854937E-6
77.0,77.0,0.03582748
78.0,78.0,0.95281905
79.0,79.0,0.00417006
