x,y,species median
1.0,1.0,0.0107812425
2.0,2.0,1.17559575E-5
3.0,3.0,0.27071178
4.0,4.0,0.009521095
5.0,5.0,2.1633034E-5
6.0,6.0,0.59486616
7.0,7.0,0.0016160553
8.0,8.0,1.1474896E-7
9.0,9.0,6.547149E-4
10.0,10.0,0.4114968
11.0,11.0,0.4033153
12.0,12.0,0.00871107
13.0,13.0,3.8561448E-5
14.0,14.0,0.15979512
15.0,15.0,0.012380476
16.0,16.0,5.837039E-7
17.0,17.0,0.13554244
18.0,18.0,0.0018799605
19.0,19.0,0.47154012
20.0,20.0,0.34886974
21.0,21.0,3.952015E-5
22.0,22.0,0.19415314
23.0,23.0,0.004013373
24.0,24.0,4.7707302E-4
25.0,25.0,0.21502663
26.0,26.0,0.11821405
27.0,27.0,0.47408432
28.0,28.0,0.008313984
29.0,29.0,6.9322756E-5
30.0,30.0,4.129725E-6
31.0,31.0,0.0499233
32.0,32.0,0.9290329
33.0,33.0,4.7292137E-6
34.0,34.0,1.1636258E-6
35.0,35.0,0.58336717
36.0,36.0,8.582378E-6
37.0,37.0,5.6711826E-7
38.0,38.0,0.7084319
39.0,39.0,1.323268E-5
40.0,40.0,3.4097137E-4
41.0,41.0,3.653274E-5
42.0,42.0,0.75211096
43.0,43.0,7.734789E-4
44.0,44.0,0.016573213
45.0,45.0,4.94157E-4
46.0,46.0,0.79202175
47.0,47.0,0.26201147
48.0,48.0,4.780736E-7
49.0,49.0,0.53714454
50.0,50.0,0.12902571
51.0,51.0,0.38676193
52.0,52.0,8.7166746E-4
53.0,53.0,0.43123692
54.0,54.0,0.07227567
55.0,55.0,4.889334E-4
56.0,56.0,2.240318E-5
57.0,57.0,0.13467708
58.0,58.0,0.0014554501
59.0,59.0,0.2902156
60.0,60.0,0.8283823
61.0,61.0,0.15130225
62.0,62.0,7.878543E-4
63.0,63.0,4.6949634E-7
64.0,64.0,0.014780978
65.0,65.0,0.46976233
66.0,66.0,0.73400366
67.0,67.0,0.028315034
68.0,68.0,0.05414179
69.0,69.0,4.9759683E-7
70.0,70.0,0.02526031
71.0,71.0,0.15816517
72.0,72.0,1.3748318E-5
73.0,73.0,1.9217641E-5
74.0,74.0,0.53559655
75.0,75.0,0.43503645
76.0,76.0,8.904252E-7
77.0,77.0,0.020804616
78.0,78.0,0.9318395
79.0,79.0,8.003717E-4
80.0,80.0,0.7983893
81.0,81.0,0.06329871
82.0,82.0,5.0916384E-7
83.0,83.0,0.23778194
84.0,84.0,0.007349142
85.0,85.0,1.4714956E-4
86.0,86.0,5.463896E-5
87.0,87.0,0.038910575
88.0,88.0,2.7204223E-6
89.0,89.0,5.168819E-6
90.0,90.0,0.26067734
91.0,91.0,0.36888993
92.0,92.0,0.04013826
93.0,93.0,0.5110427
94.0,94.0,0.5301436
95.0,95.0,0.010505116
96.0,96.0,0.0053793434
97.0,97.0,0.28020307
98.0,98.0,1.5341931E-5
99.0,99.0,0.3210423
100.0,100.0,2.1763728E-4
101.0,101.0,0.0017356988
102.0,102.0,0.5050681
103.0,103.0,0.3918451
104.0,104.0,0.13736236
105.0,105.0,0.504574
106.0,106.0,0.033722885
107.0,107.0,0.015596778
108.0,108.0,4.5887142E-4
109.0,109.0,0.680883
110.0,110.0,0.061034024
111.0,111.0,1.9992783E-6
112.0,112.0,0.22706386
113.0,113.0,0.025941275
114.0,114.0,0.62575644
115.0,115.0,9.324515E-5
116.0,116.0,0.043143105
117.0,117.0,0.04543633
118.0,118.0,0.020177692
119.0,119.0,0.5242817
120.0,120.0,0.29970577
121.0,121.0,0.11929887
122.0,122.0,0.08346828
123.0,123.0,0.0015492002
124.0,124.0,0.7553166
125.0,125.0,7.251255E-7
126.0,126.0,7.1427564E-4
127.0,127.0,9.2484215E-6
128.0,128.0,0.5846627
129.0,129.0,0.0017528662
130.0,130.0,1.0261222E-4
131.0,131.0,0.4954194
132.0,132.0,4.0277783E-4
133.0,133.0,0.559487
134.0,134.0,0.41259903
135.0,135.0,0.9938528
136.0,136.0,0.0039637727
137.0,137.0,3.6886395E-5
138.0,138.0,3.9431206E-6
139.0,139.0,0.13452926
140.0,140.0,0.5312214
141.0,141.0,4.2772033E-5
142.0,142.0,4.0188004E-7
143.0,143.0,1.800719E-5
144.0,144.0,1.6303855E-5
145.0,145.0,2.9208008E-5
146.0,146.0,0.16138192
147.0,147.0,6.5138356E-6
148.0,148.0,3.9071974E-4
149.0,149.0,8.0669815E-6
150.0,150.0,5.210393E-4
151.0,151.0,1.3078965E-6
152.0,152.0,8.670666E-5
153.0,153.0,7.640814E-6
154.0,154.0,6.111096E-4
155.0,155.0,0.53538907
156.0,156.0,0.20281187
157.0,157.0,0.3441941
158.0,158.0,0.7624807
159.0,159.0,0.13790558
160.0,160.0,0.001651736
161.0,161.0,0.36000618
162.0,162.0,0.9791158
163.0,163.0,0.67639995
164.0,164.0,3.4029788E-4
165.0,165.0,0.3026764
