x,y,species min
1.0,1.0,0.006116908
2.0,2.0,3.6434674E-6
3.0,3.0,0.02492165
4.0,4.0,0.009252631
5.0,5.0,1.1876449E-5
6.0,6.0,0.5257488
7.0,7.0,6.7948824E-4
8.0,8.0,7.222484E-8
9.0,9.0,3.0101932E-4
10.0,10.0,0.10424651
11.0,11.0,0.2179725
12.0,12.0,0.0036845263
13.0,13.0,1.2415912E-5
14.0,14.0,0.010877872
15.0,15.0,0.004780277
16.0,16.0,1.0942696E-7
17.0,17.0,0.030939229
18.0,18.0,6.3594093E-4
19.0,19.0,0.3848997
20.0,20.0,0.05675026
21.0,21.0,2.227252E-5
22.0,22.0,0.121281594
23.0,23.0,0.0018348326
24.0,24.0,2.7272155E-4
25.0,25.0,0.10370837
26.0,26.0,0.0886507
27.0,27.0,0.37407008
28.0,28.0,0.0055945283
29.0,29.0,1.1630225E-5
30.0,30.0,1.4891752E-6
31.0,31.0,0.0122766625
32.0,32.0,0.8913094
33.0,33.0,2.3256468E-6
34.0,34.0,2.3446813E-7
35.0,35.0,0.48563755
36.0,36.0,8.9332764E-7
37.0,37.0,2.711396E-7
38.0,38.0,0.6561911
39.0,39.0,5.198551E-6
40.0,40.0,2.0757364E-4
41.0,41.0,2.4254987E-5
42.0,42.0,0.71526355
43.0,43.0,1.6720667E-4
44.0,44.0,0.011681472
45.0,45.0,1.5415484E-4
46.0,46.0,0.76754516
47.0,47.0,0.18034351
48.0,48.0,1.3297019E-8
49.0,49.0,0.43342155
50.0,50.0,0.11227498
51.0,51.0,0.33971033
52.0,52.0,6.848746E-4
53.0,53.0,0.37154692
54.0,54.0,0.05505099
55.0,55.0,1.3440651E-4
56.0,56.0,6.3465986E-6
57.0,57.0,0.011236482
58.0,58.0,7.1839476E-4
59.0,59.0,0.22464257
60.0,60.0,0.77509767
61.0,61.0,0.109445326
62.0,62.0,2.4189062E-4
63.0,63.0,1.0911821E-7
64.0,64.0,0.012766186
65.0,65.0,0.35336885
66.0,66.0,0.6018313
67.0,67.0,0.011296714
68.0,68.0,0.043658976
69.0,69.0,3.2800745E-7
70.0,70.0,0.011926915
71.0,71.0,0.13340728
72.0,72.0,9.5749965E-6
73.0,73.0,7.37564E-6
74.0,74.0,0.41427952
75.0,75.0,0.35455185
76.0,76.0,1.4331228E-7
77.0,77.0,0.019044176
78.0,78.0,0.69623476
79.0,79.0,3.8597366E-4
80.0,80.0,0.709917
81.0,81.0,0.04535646
82.0,82.0,3.7587424E-7
83.0,83.0,0.14269139
84.0,84.0,0.002789772
85.0,85.0,4.9535767E-5
86.0,86.0,4.695576E-6
87.0,87.0,0.030939436
88.0,88.0,8.72936E-7
89.0,89.0,1.3882784E-6
90.0,90.0,0.22355033
91.0,91.0,0.3503099
92.0,92.0,0.026935663
93.0,93.0,0.4785059
94.0,94.0,0.49023503
95.0,95.0,0.008613704
96.0,96.0,0.0011726336
97.0,97.0,0.24292342
98.0,98.0,1.6249434E-6
99.0,99.0,0.114749335
100.0,100.0,1.8214791E-4
101.0,101.0,4.3679995E-4
102.0,102.0,0.4457679
103.0,103.0,0.32991976
104.0,104.0,0.11276298
105.0,105.0,0.4259202
106.0,106.0,0.019632498
107.0,107.0,0.0062660035
108.0,108.0,1.0936986E-4
109.0,109.0,0.6252818
110.0,110.0,0.042645354
111.0,111.0,1.1613237E-6
112.0,112.0,0.16211252
113.0,113.0,0.018320324
114.0,114.0,0.4850568
115.0,115.0,1.5988328E-5
116.0,116.0,0.021435613
117.0,117.0,0.02069495
118.0,118.0,0.01178651
119.0,119.0,0.4945524
120.0,120.0,0.23287728
121.0,121.0,0.08348731
122.0,122.0,0.063653514
123.0,123.0,4.0379466E-4
124.0,124.0,0.6881504
125.0,125.0,1.7447532E-7
126.0,126.0,3.4576652E-4
127.0,127.0,6.399715E-7
128.0,128.0,0.57376975
129.0,129.0,0.0011892099
130.0,130.0,5.4285996E-5
131.0,131.0,0.38143012
132.0,132.0,2.1677192E-4
133.0,133.0,0.5305813
134.0,134.0,0.29690146
135.0,135.0,0.78856945
136.0,136.0,0.0013638374
137.0,137.0,1.4425749E-5
138.0,138.0,2.996084E-6
139.0,139.0,0.093052596
140.0,140.0,0.41241542
141.0,141.0,1.5771213E-5
142.0,142.0,1.1233974E-8
143.0,143.0,3.541676E-6
144.0,144.0,3.7435886E-6
145.0,145.0,1.9737485E-5
146.0,146.0,0.016618868
147.0,147.0,2.0236407E-6
148.0,148.0,9.741223E-5
149.0,149.0,6.2658023E-6
150.0,150.0,4.192293E-4
151.0,151.0,1.0819548E-6
152.0,152.0,3.4623416E-5
153.0,153.0,6.743862E-6
154.0,154.0,2.8144935E-4
155.0,155.0,0.4658466
156.0,156.0,0.08099115
157.0,157.0,0.28814885
158.0,158.0,0.7026831
159.0,159.0,0.0748441
160.0,160.0,5.306472E-4
161.0,161.0,0.3132064
162.0,162.0,0.97160524
163.0,163.0,0.61818486
164.0,164.0,1.2154845E-4
165.0,165.0,0.23888047
166.0,166.0,4.8351847E-4
167.0,167.0,0.086931854
168.0,168.0,0.4061066
169.0,169.0,6.107529E-7
170.0,170.0,4.8974653E-6
171.0,171.0,0.020923434
172.0,172.0,0.05120151
173.0,173.0,0.72818154
174.0,174.0,7.2642823E-4
175.0,175.0,0.005688026
176.0,176.0,0.24029028
177.0,177.0,8.3806686E-4
178.0,178.0,0.00665102
179.0,179.0,1.2033512E-8
180.0,180.0,0.60177886
181.0,181.0,0.57694715
182.0,182.0,0.52048534
183.0,183.0,0.0019706972
184.0,184.0,1.5876452E-5
185.0,185.0,0.0058474676
186.0,186.0,0.091090016
187.0,187.0,0.0024477432
188.0,188.0,6.7741516E-5
189.0,189.0,0.11970485
190.0,190.0,3.038449E-4
191.0,191.0,0.08805874
192.0,192.0,3.3102234E-4
193.0,193.0,0.39580536
194.0,194.0,0.0030901663
195.0,195.0,0.5107384
196.0,196.0,0.05853612
197.0,197.0,7.548688E-5
198.0,198.0,5.0853355E-6
199.0,199.0,0.006119071
200.0,200.0,0.20795535
201.0,201.0,0.02567909
202.0,202.0,1.464021E-4
203.0,203.0,0.32470182
204.0,204.0,2.103489E-6
205.0,205.0,1.4339833E-4
206.0,206.0,1.4396375E-6
207.0,207.0,1.0197951E-6
208.0,208.0,3.1653724E-6
209.0,209.0,0.020743541
210.0,210.0,0.019995749
211.0,211.0,0.40686026
212.0,212.0,0.5491702
213.0,213.0,2.632844E-4
214.0,214.0,0.06023738
215.0,215.0,0.86690146
216.0,216.0,1.7731994E-8
217.0,217.0,0.43238965
218.0,218.0,0.090558015
219.0,219.0,0.50895196
220.0,220.0,0.023083586
221.0,221.0,0.036460698
222.0,222.0,2.030629E-8
223.0,223.0,0.23910376
224.0,224.0,5.9270047E-8
225.0,225.0,0.0021418473
226.0,226.0,0.04587768
227.0,227.0,0.028005132
228.0,228.0,0.5297365
229.0,229.0,6.6917114E-6
230.0,230.0,0.44644532
231.0,231.0,0.029487867
232.0,232.0,0.07016705
233.0,233.0,9.458253E-6
234.0,234.0,0.15956317
235.0,235.0,0.047434434
236.0,236.0,0.4817694
237.0,237.0,0.024627686
238.0,238.0,0.072939835
239.0,239.0,0.014005536
240.0,240.0,0.30813077
241.0,241.0,1.0177942E-7
242.0,242.0,0.3497115
243.0,243.0,0.5841239
244.0,244.0,0.30852708
245.0,245.0,0.567463
246.0,246.0,7.458282E-5
247.0,247.0,0.49874422
248.0,248.0,1.0041597E-6
249.0,249.0,0.0010833512
250.0,250.0,0.014560388
251.0,251.0,0.25683165
