Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.32313E-11,0.000000003,0.000000065,1,0,0
3.75293E-11,0.000000011,0.000000073,0.999795208,0,0
5.2201E-11,0.00000003,0.000000102,0.999385624,0,0
6.29264E-11,0.000000105,0.000000123,0.998054475,0,0
7.62563E-11,0.000000254,0.000000149,0.995904157,0,0
1.33306E-10,0.000001009,0.000000261,0.988224452,0,0
2.38762E-10,0.000002513,0.000000468,0.979827975,0,0
5.30935E-10,0.000010025,0.00000104,0.960270326,0,0
9.89649E-10,0.000025058,0.000001938,0.939483924,0,0
1.51199E-9,0.000050051,0.000002961,0.91900471,0,0
2.81937E-9,0.000100085,0.00000552,0.894224862,0,0
6.03808E-9,0.000250262,0.000011823,0.85807905,0,0
1.10937E-8,0.0005001,0.000021722,0.826848249,0,0
1.98815E-8,0.00100077,0.000038929,0.793364735,0,0
3.90963E-8,0.00250367,0.00007655,0.739709195,0,0
7.1086E-8,0.005002536,0.000139181,0.691378251,0,0
1.35583E-7,0.010007734,0.000265445,0.63905386,0,0
4.28311E-7,0.025015972,0.000838308,0.575363506,0,0
9.33366E-7,0.050023675,0.001825921,0.536555396,0,0
1.93119E-6,0.100187141,0.003774241,0.499385624,0,0
3.5339E-6,0.200300169,0.006895721,0.460987098,0,0
5.24943E-6,0.300330644,0.01022607,0.43723121,0,0
6.77263E-6,0.40067365,0.013173684,0.420028671,0,0
8.13891E-6,0.500213268,0.015810177,0.406307598,0,0
9.59193E-6,0.600652175,0.018606329,0.394634446,0,0
1.11215E-5,0.700857801,0.021541152,0.384702027,0,0
1.18705E-5,0.750221867,0.022975096,0.380298997,0,0
1.25541E-5,0.800071628,0.024282103,0.376100758,0,0
1.41375E-5,0.90009364,0.027302427,0.368421053,0,0
1.58067E-5,1.001110472,0.030476507,0.36145812,0,0
1.76471E-5,1.100870262,0.033963869,0.355314356,0,0
1.95462E-5,1.201107342,0.037549476,0.349784968,0,0
2.10529E-5,1.300771405,0.040384874,0.344767561,0,0
2.25622E-5,1.401314377,0.043216628,0.340057342,0,0
2.45364E-5,1.500340168,0.046908005,0.335756707,0,0
2.94473E-5,1.751227138,0.056028842,0.326131477,0,0
3.39123E-5,2.001943852,0.06424579,0.318042187,0,0
3.82867E-5,2.253586189,0.072226568,0.310874462,0,0
4.20524E-5,2.502352914,0.079042334,0.304525906,0.012048193,0
4.51794E-5,2.750505932,0.084664096,0.29868933,0.012048193,0
4.90987E-5,3.004439698,0.091661636,0.293159943,0.012048193,0
5.19827E-5,3.25210386,0.096776668,0.288142535,0.012048193,0
5.59519E-5,3.504604481,0.103769178,0.28332992,0.012048193,0
5.85143E-5,3.751326369,0.108254667,0.278926889,0.012048193,0
6.18967E-5,4.00442372,0.114141029,0.274626254,0.012048193,0
6.59752E-5,4.254295079,0.121187319,0.270632808,0.024096386,0
6.8899E-5,4.503469379,0.126204126,0.266844153,0.036144578,0
7.27252E-5,4.75118492,0.132726216,0.263260291,0.036144578,0
7.59332E-5,5.004070346,0.138156741,0.259778824,0.036144578,0
7.95007E-5,5.253028509,0.144156233,0.25650215,0.036144578,0
8.27187E-5,5.505908557,0.149531922,0.253327872,0.036144578,0
8.55267E-5,5.750260966,0.154195156,0.250358386,0.036144578,0
8.92221E-5,6.003875566,0.160293103,0.2473889,0.036144578,0
9.13228E-5,6.256716723,0.163740064,0.24452181,0.036144578,0
9.53146E-5,6.508241166,0.170250991,0.241757117,0.036144578,0
9.85428E-5,6.750792724,0.175479193,0.239197215,0.036144578,0
1.01799E-4,7.001312666,0.180720123,0.236637313,0.036144578,0
1.04949E-4,7.259925562,0.185756764,0.234077411,0.036144578,0
1.08361E-4,7.506103974,0.191178503,0.231722302,0.036144578,0
1.12171E-4,7.750095139,0.197190113,0.229469588,0.036144578,0
