x,y,species stddev
1.0,1.0,0.011652394
2.0,2.0,5.5092764E-6
3.0,3.0,0.111874506
4.0,4.0,0.0049105054
5.0,5.0,2.9444212E-5
6.0,6.0,0.04009882
7.0,7.0,6.0487277E-4
8.0,8.0,1.0712121E-6
9.0,9.0,0.0011554267
10.0,10.0,0.15367737
11.0,11.0,0.090877645
12.0,12.0,0.0050740438
13.0,13.0,6.4748296E-5
14.0,14.0,0.06468515
15.0,15.0,0.0037629197
16.0,16.0,2.2134864E-6
17.0,17.0,0.05548325
18.0,18.0,0.0018612554
19.0,19.0,0.05685872
20.0,20.0,0.12662199
21.0,21.0,4.7565063E-5
22.0,22.0,0.037029035
23.0,23.0,0.0030134472
24.0,24.0,1.7227138E-4
25.0,25.0,0.06940923
26.0,26.0,0.021574974
27.0,27.0,0.055452637
28.0,28.0,0.0040586856
29.0,29.0,1.9563327E-4
30.0,30.0,6.3959205E-6
31.0,31.0,0.02042377
32.0,32.0,0.022139605
33.0,33.0,7.958517E-6
34.0,34.0,1.9397087E-6
35.0,35.0,0.069944575
36.0,36.0,1.1111138E-5
37.0,37.0,1.3445783E-6
38.0,38.0,0.031966392
39.0,39.0,1.0627804E-5
40.0,40.0,1.08945125E-4
41.0,41.0,2.426879E-5
42.0,42.0,0.035737127
43.0,43.0,3.471719E-4
44.0,44.0,0.0070554367
45.0,45.0,2.156144E-4
46.0,46.0,0.030476648
47.0,47.0,0.06404383
48.0,48.0,3.85685E-7
49.0,49.0,0.055708423
50.0,50.0,0.024114659
51.0,51.0,0.051518533
52.0,52.0,1.7469192E-4
53.0,53.0,0.043448202
54.0,54.0,0.028035885
55.0,55.0,2.6757937E-4
56.0,56.0,2.0660887E-5
57.0,57.0,0.0633121
58.0,58.0,5.6342746E-4
59.0,59.0,0.045407873
60.0,60.0,0.032958724
61.0,61.0,0.105034254
62.0,62.0,6.191035E-4
63.0,63.0,1.4331224E-6
64.0,64.0,0.0076170145
65.0,65.0,0.10417201
66.0,66.0,0.07488386
67.0,67.0,0.009386019
68.0,68.0,0.030486736
69.0,69.0,1.6775963E-6
70.0,70.0,0.0070230523
71.0,71.0,0.026218077
72.0,72.0,1.5142527E-5
73.0,73.0,7.63455E-6
74.0,74.0,0.06768787
75.0,75.0,0.056504056
76.0,76.0,8.3948055E-7
77.0,77.0,0.0061235754
78.0,78.0,0.09635893
79.0,79.0,0.0014146002
80.0,80.0,0.049689975
81.0,81.0,0.018193437
82.0,82.0,8.196438E-7
83.0,83.0,0.09188663
84.0,84.0,0.004053892
85.0,85.0,8.298046E-5
86.0,86.0,1.17227115E-4
87.0,87.0,0.017218437
88.0,88.0,4.9047158E-6
89.0,89.0,5.2488326E-6
90.0,90.0,0.08177025
91.0,91.0,0.020869814
92.0,92.0,0.0125483945
93.0,93.0,0.055314068
94.0,94.0,0.051924035
95.0,95.0,0.0050877645
96.0,96.0,0.007490859
97.0,97.0,0.020968415
98.0,98.0,2.5930025E-5
99.0,99.0,0.12734441
100.0,100.0,5.057129E-5
