Hauljoin," Pred_nodc"," Pred_specn"," Prey_nodc"," Pred_len"," Year"," Month"," day"," region"," Pred_name"," Prey_Name"," Vessel"," Cruise"," Haul"," Rlat"," Rlong"," Gear_depth"," Bottom_depth"," Start_hour"," Surface_temp"," Gear_temp"," INPFC_Area"," Stationid"," Start_date"," Prey_sz1"," Prey_sex",Stratum
11013385.0,8791030701.0,6.0,9999999998.0,54.0,1994.0,7.0,30.0,AI,"Gadus chalcogrammus (walleye pollock)","Rocks ",95.0,199401.0,200.0,52.909999999999997,170.86000000000001,204.0,204.0,19.0,8.4000000000000004,3.8999999999999999,543.0,12-45,"1994-07-30 00:00:00",7.0,,213.0
11013385.0,8791030701.0,10.0,8762140000.0,59.0,1994.0,7.0,30.0,AI,"Gadus chalcogrammus (walleye pollock)","Myctophidae (lanternfish) ",95.0,199401.0,200.0,52.909999999999997,170.86000000000001,204.0,204.0,19.0,8.4000000000000004,3.8999999999999999,543.0,12-45,"1994-07-30 00:00:00",38.0,,213.0
11011539.0,8791030701.0,15.0,8762140000.0,60.0,1994.0,6.0,27.0,AI,"Gadus chalcogrammus (walleye pollock)","Myctophidae (lanternfish) ",95.0,199401.0,85.0,51.93,-172.88,284.0,284.0,15.0,4.5,4.2999999999999998,541.0,229-22,"1994-06-27 00:00:00",69.0,3.0,622.0
11011838.0,8791030701.0,10.0,8831000000.0,48.0,1994.0,6.0,28.0,AI,"Gadus chalcogrammus (walleye pollock)","Cottoidei (sculpin) ",95.0,199401.0,89.0,51.840000000000003,-173.90000000000001,303.0,303.0,14.0,5.0,4.2000000000000002,541.0,215-21,"1994-06-28 00:00:00",12.0,,624.0
11012323.0,8791030701.0,10.0,8762140000.0,17.0,1994.0,7.0,2.0,AI,"Gadus chalcogrammus (walleye pollock)","Myctophidae (lanternfish) ",95.0,199401.0,107.0,52.009999999999998,-176.40000000000001,114.0,114.0,10.0,6.0999999999999996,4.4000000000000004,541.0,182-25,"1994-07-02 00:00:00",14.0,,512.0
11012331.0,8791030701.0,2.0,8759010100.0,46.0,1994.0,7.0,4.0,AI,"Gadus chalcogrammus (walleye pollock)","Gonostomatidae (bristlemouth) Cyclothone sp.",95.0,199401.0,118.0,51.560000000000002,-178.11000000000001,269.0,269.0,13.0,4.9000000000000004,4.0,542.0,159-14,"1994-07-04 00:00:00",40.0,3.0,423.0
11012334.0,8791030701.0,3.0,8762140000.0,58.0,1994.0,7.0,5.0,AI,"Gadus chalcogrammus (walleye pollock)","Myctophidae (lanternfish) ",95.0,199401.0,121.0,51.630000000000003,-178.31999999999999,381.0,381.0,17.0,5.2999999999999998,4.0,542.0,156-15,"1994-07-05 00:00:00",55.0,,424.0
11012334.0,8791030701.0,4.0,8762140000.0,45.0,1994.0,7.0,5.0,AI,"Gadus chalcogrammus (walleye pollock)","Myctophidae (lanternfish) ",95.0,199401.0,121.0,51.630000000000003,-178.31999999999999,381.0,381.0,17.0,5.2999999999999998,4.0,542.0,156-15,"1994-07-05 00:00:00",18.0,,424.0
11012334.0,8791030701.0,6.0,8762140000.0,51.0,1994.0,7.0,5.0,AI,"Gadus chalcogrammus (walleye pollock)","Myctophidae (lanternfish) ",95.0,199401.0,121.0,51.630000000000003,-178.31999999999999,381.0,381.0,17.0,5.2999999999999998,4.0,542.0,156-15,"1994-07-05 00:00:00",52.0,,424.0
11012334.0,8791030701.0,8.0,8762140000.0,51.0,1994.0,7.0,5.0,AI,"Gadus chalcogrammus (walleye pollock)","Myctophidae (lanternfish) ",95.0,199401.0,121.0,51.630000000000003,-178.31999999999999,381.0,381.0,17.0,5.2999999999999998,4.0,542.0,156-15,"1994-07-05 00:00:00",18.0,,424.0
