#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2 x)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
3100-110624,2011,  6, 24, 17.233,  6.233,  55.708,-164.602,    0.0,   93.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,   130.63252 m3,            78.,   ml/haul,         0.5971,ml/m3, 0, 0, 0,-1,          276.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 9064,  174, 1185,2AK11,,Zooplankton displacement volume,-[ ]-,
3100-110624,2011,  6, 24, 17.233,  6.233,  55.708,-164.602,    0.0,   93.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,   130.63252 m3,            78.,   ml/haul,         0.5971,ml/m3, 0, 0, 0,-1,          276.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 9064,  174, 1185,2AK11,,Zooplankton displacement volume,-[ ]-,
3100-110624,2011,  6, 25, 18.950,  7.950,  54.978,-165.757,    0.0,  128.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,   258.19952 m3,            85.,   ml/haul,         0.3292,ml/m3, 0, 0, 0,-1,          300.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 9064,  174, 1185,2AK11,,Zooplankton displacement volume,-[ ]-,
3100-110624,2011,  6, 29, 16.800,  5.800,  56.992,-170.212,    0.0,   66.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,   139.18008 m3,           150.,   ml/haul,         1.0777,ml/m3, 0, 0, 0,-1,          530.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 9064,  174, 1185,2AK11,,Zooplankton displacement volume,-[ ]-,
3100-110624,2011,  6, 29, 16.800,  5.800,  56.992,-170.212,    0.0,   66.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,   139.18008 m3,           150.,   ml/haul,         1.0777,ml/m3, 0, 0, 0,-1,          530.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 9064,  174, 1185,2AK11,,Zooplankton displacement volume,-[ ]-,
3100-110624,2011,  7,  1, 19.417,  8.417,  57.673,-168.388,    0.0,   67.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,   119.35698 m3,           150.,   ml/haul,         1.2567,ml/m3, 0, 0, 0,-1,          530.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 9064,  174, 1185,2AK11,,Zooplankton displacement volume,-[ ]-,
3100-110624,2011,  7,  1, 19.417,  8.417,  57.673,-168.388,    0.0,   67.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,   119.35698 m3,           150.,   ml/haul,         1.2567,ml/m3, 0, 0, 0,-1,          530.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 9064,  174, 1185,2AK11,,Zooplankton displacement volume,-[ ]-,
3100-110624,2011,  7,  1, 19.417,  8.417,  57.673,-168.388,    0.0,   67.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,   119.35698 m3,           150.,   ml/haul,         1.2567,ml/m3, 0, 0, 0,-1,          530.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 9064,  174, 1185,2AK11,,Zooplankton displacement volume,-[ ]-,
3100-110624,2011,  7,  6, 20.967,  9.967,  58.313,-169.750,    0.0,   67.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,   129.78354 m3,           127.,   ml/haul,         0.9786,ml/m3, 0, 0, 0,-1,          449.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 9064,  174, 1185,2AK11,,Zooplankton displacement volume,-[ ]-,
3100-110624,2011,  7,  6, 20.967,  9.967,  58.313,-169.750,    0.0,   67.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,   129.78354 m3,           127.,   ml/haul,         0.9786,ml/m3, 0, 0, 0,-1,          449.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 9064,  174, 1185,2AK11,,Zooplankton displacement volume,-[ ]-,
