#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2 x)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
317W-050722,2005,  7, 22,  0.067, 14.070,  58.484,-151.040,    0.0,   69.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      65.121 m3,            48.,   ml/haul,          0.737,ml/m3, 0, 0, 0,-1,          169.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 2557,  174, 1185,1FA05,,Zooplankton displacement volume,-[ ]-,
317W-050722,2005,  7, 22,  1.317, 15.317,  58.667,-151.294,    0.0,  188.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     244.342 m3,            63.,   ml/haul,         0.2578,ml/m3, 0, 0, 0,-1,          222.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 2557,  174, 1185,1FA05,,Zooplankton displacement volume,-[ ]-,
317W-050722,2005,  7, 22,  3.417, 17.417,  58.807,-150.991,    0.0,  142.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     158.831 m3,            18.,   ml/haul,         0.1133,ml/m3, 0, 0, 0,-1,           63.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 2557,  174, 1185,1FA05,,Zooplankton displacement volume,-[ ]-,
317W-050722,2005,  7, 22,  5.883, 19.883,  58.971,-151.236,    0.0,  158.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     199.016 m3,            46.,   ml/haul,         0.2311,ml/m3, 0, 0, 0,-1,          162.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 2557,  174, 1185,1FA05,,Zooplankton displacement volume,-[ ]-,
317W-050722,2005,  7, 22,  7.367, 21.367,  58.844,-151.569,    0.0,  110.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     167.271 m3,            51.,   ml/haul,         0.3049,ml/m3, 0, 0, 0,-1,          180.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 2557,  174, 1185,1FA05,,Zooplankton displacement volume,-[ ]-,
317W-050722,2005,  7, 22,  9.117, 23.117,  58.726,-151.897,    0.0,  115.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     145.831 m3,            72.,   ml/haul,         0.4937,ml/m3, 0, 0, 0,-1,          254.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 2557,  174, 1185,1FA05,,Zooplankton displacement volume,-[ ]-,
317W-050722,2005,  7, 22, 12.417,  2.417,  58.355,-151.822,    0.0,   36.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      37.094 m3,            25.,   ml/haul,          0.674,ml/m3, 0, 0, 0,-1,           88.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 2557,  174, 1185,1FA05,,Zooplankton displacement volume,-[ ]-,
317W-050722,2005,  7, 22, 14.150,  4.150,  58.367,-151.386,    0.0,  131.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      40.479 m3,           220.,   ml/haul,          5.435,ml/m3, 3, 4, 2,-1,          778.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 2557,  174, 1185,1FA05,,Zooplankton displacement volume,-[ ]-,
317W-050722,2005,  7, 22, 18.333,  8.333,  58.122,-152.094,    0.0,   57.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      92.306 m3,            36.,   ml/haul,          0.390,ml/m3, 0, 0, 0,-1,          127.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 2557,  174, 1185,1FA05,,Zooplankton displacement volume,-[ ]-,
317W-050722,2005,  7, 22, 20.533, 10.533,  57.931,-152.565,    0.0,   65.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      51.895 m3,            42.,   ml/haul,          0.809,ml/m3, 0, 0, 0,-1,          148.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 2557,  174, 1185,1FA05,,Zooplankton displacement volume,-[ ]-,
317W-050722,2005,  7, 23,  0.750, 14.750,  57.965,-151.714,    0.0,  108.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,       66.08 m3,           137.,   ml/haul,          2.073,ml/m3, 0, 3, 2,-1,          484.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0011_0001,EcoFOCI, 2557,  174, 1185,1FA05,,Zooplankton displacement volume,-[ ]-,
