#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2 x)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
31FN-000526,2000,  5, 26,  8.817, 21.817,  54.283,-164.715,    0.0,   98.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     148.683 m3,            86.,   ml/haul,         0.5784,ml/m3, 0, 0, 0,-1,          304.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 1544,  174, 1185,6MF00,,Zooplankton displacement volume,-[ ]-,
31FN-000526,2000,  5, 26, 10.517, 23.517,  54.288,-164.266,    0.0,   73.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     101.305 m3,            94.,   ml/haul,         0.9279,ml/m3, 0, 0, 0,-1,          332.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 1544,  174, 1185,6MF00,,Zooplankton displacement volume,-[ ]-,
31FN-000526,2000,  5, 26, 11.700,  0.700,  54.174,-164.025,    0.0,   74.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      123.17 m3,           103.,   ml/haul,         0.8362,ml/m3, 0, 0, 0,-1,          364.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 1544,  174, 1185,6MF00,,Zooplankton displacement volume,-[ ]-,
31FN-000526,2000,  5, 26, 12.883,  1.883,  54.292,-163.822,    0.0,  112.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     146.164 m3,           110.,   ml/haul,         0.7526,ml/m3, 0, 0, 0,-1,          389.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 1544,  174, 1185,6MF00,,Zooplankton displacement volume,-[ ]-,
31FN-000526,2000,  5, 26, 14.200,  3.200,  54.405,-164.071,    0.0,  106.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     159.041 m3,            32.,   ml/haul,         0.2012,ml/m3, 0, 0, 0,-1,          113.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 1544,  174, 1185,6MF00,,Zooplankton displacement volume,-[ ]-,
31FN-000526,2000,  5, 26, 15.617,  4.617,  54.529,-163.875,    0.0,   83.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     128.881 m3,            34.,   ml/haul,         0.2638,ml/m3, 0, 0, 0,-1,          120.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 1544,  174, 1185,6MF00,,Zooplankton displacement volume,-[ ]-,
31FN-000526,2000,  5, 26, 16.867,  5.867,  54.416,-163.631,    0.0,   98.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     144.984 m3,            68.,   ml/haul,         0.4690,ml/m3, 0, 0, 0,-1,          240.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 1544,  174, 1185,6MF00,,Zooplankton displacement volume,-[ ]-,
31FN-000526,2000,  5, 26, 20.200,  9.200,  54.663,-162.794,    0.0,   74.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     129.606 m3,            70.,   ml/haul,         0.5401,ml/m3, 0, 0, 0,-1,          247.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 1544,  174, 1185,6MF00,,Zooplankton displacement volume,-[ ]-,
31FN-000526,2000,  5, 26, 21.367, 10.367,  54.785,-162.599,    0.0,   44.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,       89.42 m3,            42.,   ml/haul,          0.470,ml/m3, 0, 0, 0,-1,          148.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 1544,  174, 1185,6MF00,,Zooplankton displacement volume,-[ ]-,
31FN-000526,2000,  5, 26, 23.683, 12.683,  54.910,-161.964,    0.0,   45.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      68.134 m3,            58.,   ml/haul,          0.851,ml/m3, 0, 0, 0,-1,          205.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 1544,  174, 1185,6MF00,,Zooplankton displacement volume,-[ ]-,
31FN-000526,2000,  5, 27,  1.117, 14.117,  55.014,-161.755,    0.0,   45.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      66.365 m3,            42.,   ml/haul,          0.633,ml/m3, 0, 0, 0,-1,          148.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0011_0001,EcoFOCI, 1544,  174, 1185,6MF00,,Zooplankton displacement volume,-[ ]-,
31FN-000526,2000,  5, 27,  2.217, 15.217,  54.917,-161.523,    0.0,  128.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     168.159 m3,           226.,   ml/haul,         1.3440,ml/m3, 0, 0, 0,-1,          799.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0012_0001,EcoFOCI, 1544,  174, 1185,6MF00,,Zooplankton displacement volume,-[ ]-,
31FN-000526,2000,  5, 27,  3.450, 16.450,  55.037,-161.324,    0.0,   68.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     143.302 m3,            35.,   ml/haul,         0.2442,ml/m3, 0, 0, 0,-1,          123.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0013_0001,EcoFOCI, 1544,  174, 1185,6MF00,,Zooplankton displacement volume,-[ ]-,
31FN-000526,2000,  5, 27,  5.183, 18.183,  55.274,-161.359,    0.0,   63.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      97.576 m3,           125.,   ml/haul,          1.281,ml/m3, 0, 0, 0,-1,          442.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0014_0001,EcoFOCI, 1544,  174, 1185,6MF00,,Zooplankton displacement volume,-[ ]-,
