#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2 x)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
31HX-040709,2004,  7,  9,  1.617, 15.617,  59.309,-149.018,    0.0,  189.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     552.904 m3,           593.,   ml/haul,         1.0725,ml/m3, 0, 0, 0,-1,         2098.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 10, 22.483, 12.483,  57.240,-146.036,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,    1143.006 m3,           225.,   ml/haul,        0.19685,ml/m3, 0, 0, 0,-1,          796.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 11,  3.650, 17.650,  57.205,-146.397,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     791.927 m3,           185.,   ml/haul,         0.2336,ml/m3, 0, 0, 0,-1,          654.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 11, 10.583,  0.583,  57.222,-146.958,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     441.121 m3,            95.,   ml/haul,         0.2154,ml/m3, 0, 0, 0,-1,          336.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 11, 15.517,  5.517,  57.232,-147.324,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     415.531 m3,            80.,   ml/haul,         0.1925,ml/m3, 0, 0, 0,-1,          283.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 11, 20.700, 10.700,  57.233,-147.723,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     403.637 m3,            62.,   ml/haul,         0.1536,ml/m3, 0, 0, 0,-1,          219.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 12,  1.233, 15.233,  57.231,-148.107,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     496.651 m3,           115.,   ml/haul,         0.2316,ml/m3, 0, 0, 0,-1,          406.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 12,  5.933, 19.933,  57.235,-148.470,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      510.05 m3,            85.,   ml/haul,         0.1667,ml/m3, 0, 0, 0,-1,          300.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 12, 10.433,  0.433,  57.256,-148.846,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     419.582 m3,           135.,   ml/haul,         0.3217,ml/m3, 0, 0, 0,-1,          477.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 12, 15.333,  5.333,  57.247,-149.239,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     613.139 m3,           105.,   ml/haul,         0.1712,ml/m3, 0, 0, 0,-1,          371.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 12, 20.167, 10.167,  57.243,-149.647,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     423.499 m3,            80.,   ml/haul,         0.1889,ml/m3, 0, 0, 0,-1,          283.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0011_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 13,  2.217, 16.217,  57.683,-150.269,    0.0,  137.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     161.125 m3,            35.,   ml/haul,         0.2172,ml/m3, 0, 0, 0,-1,          123.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0012_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 13,  4.633, 18.633,  57.835,-150.082,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      301.83 m3,           130.,   ml/haul,         0.4307,ml/m3, 0, 0, 0,-1,          460.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0013_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 13,  7.167, 21.167,  57.977,-149.927,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     673.868 m3,           435.,   ml/haul,         0.6455,ml/m3, 0, 0, 0,-1,         1539.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0014_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 13,  9.500, 23.500,  58.122,-149.728,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     283.901 m3,           140.,   ml/haul,         0.4931,ml/m3, 0, 0, 0,-1,          495.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0015_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 13, 11.500,  1.500,  58.221,-149.607,    0.0,   66.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     129.792 m3,            35.,   ml/haul,         0.2697,ml/m3, 0, 0, 0,-1,          123.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0016_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 13, 13.567,  3.567,  58.364,-149.452,    0.0,  163.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     276.545 m3,           165.,   ml/haul,         0.5966,ml/m3, 0, 0, 0,-1,          583.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0017_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 13, 15.300,  5.300,  58.446,-149.687,    0.0,  157.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     215.229 m3,           170.,   ml/haul,         0.7899,ml/m3, 0, 0, 0,-1,          601.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0018_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 13, 16.767,  6.767,  58.543,-149.795,    0.0,  138.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     134.921 m3,            80.,   ml/haul,         0.5929,ml/m3, 0, 0, 0,-1,          283.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0019_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 13, 18.083,  8.083,  58.426,-149.869,    0.0,  123.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     267.043 m3,            50.,   ml/haul,         0.1872,ml/m3, 0, 0, 0,-1,          176.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0020_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 13, 19.750,  9.750,  58.285,-149.942,    0.0,   53.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,       88.46 m3,            35.,   ml/haul,          0.396,ml/m3, 0, 0, 0,-1,          123.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0021_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 13, 21.317, 11.317,  58.167,-149.988,    0.0,  151.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      267.38 m3,            70.,   ml/haul,         0.2618,ml/m3, 0, 0, 0,-1,          247.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0022_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 13, 23.283, 13.283,  58.068,-150.047,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     468.923 m3,           400.,   ml/haul,         0.8530,ml/m3, 0, 0, 0,-1,         1415.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0023_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 14,  1.733, 15.733,  57.906,-150.129,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     317.861 m3,           135.,   ml/haul,         0.4247,ml/m3, 0, 0, 0,-1,          477.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0024_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 14,  4.317, 18.317,  57.803,-150.467,    0.0,   91.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     153.255 m3,            85.,   ml/haul,         0.5546,ml/m3, 0, 0, 0,-1,          300.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0025_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 14,  5.933, 19.933,  57.914,-150.411,    0.0,  147.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     264.106 m3,           110.,   ml/haul,         0.4165,ml/m3, 0, 0, 0,-1,          389.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0026_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 14,  8.000, 22.000,  58.089,-150.360,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      470.76 m3,           260.,   ml/haul,         0.5523,ml/m3, 0, 0, 0,-1,          920.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0027_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 14,  9.900, 23.900,  58.189,-150.312,    0.0,  108.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     189.352 m3,            90.,   ml/haul,         0.4753,ml/m3, 0, 0, 0,-1,          318.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0028_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 14, 11.600,  1.600,  58.297,-150.266,    0.0,   49.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,         57. m3,            25.,   ml/haul,          0.439,ml/m3, 0, 0, 0,-1,           88.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0029_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 14, 13.567,  3.567,  58.398,-150.225,    0.0,   65.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      116.59 m3,            65.,   ml/haul,         0.5575,ml/m3, 0, 0, 0,-1,          230.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0030_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 14, 15.367,  5.367,  58.531,-150.143,    0.0,  108.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     153.799 m3,            39.,   ml/haul,         0.2536,ml/m3, 0, 0, 0,-1,          138.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0031_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 14, 17.200,  7.200,  58.704,-150.100,    0.0,  158.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     225.586 m3,           135.,   ml/haul,         0.5984,ml/m3, 0, 0, 0,-1,          477.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0032_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 14, 19.500,  9.500,  58.653,-150.512,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     253.851 m3,           307.,   ml/haul,         1.2094,ml/m3, 0, 0, 0,-1,         1086.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0033_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 14, 21.433, 11.433,  58.549,-150.550,    0.0,  150.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     229.649 m3,            65.,   ml/haul,         0.2830,ml/m3, 0, 0, 0,-1,          230.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0034_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 14, 23.150, 13.150,  58.476,-150.557,    0.0,   77.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     110.672 m3,            30.,   ml/haul,         0.2711,ml/m3, 0, 0, 0,-1,          106.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0035_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 15,  0.900, 14.900,  58.331,-150.583,    0.0,   60.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     102.436 m3,            25.,   ml/haul,         0.2441,ml/m3, 0, 0, 0,-1,           88.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0036_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 15,  2.433, 16.433,  58.187,-150.631,    0.0,  108.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     164.558 m3,            48.,   ml/haul,         0.2917,ml/m3, 0, 0, 0,-1,          169.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0037_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 15,  4.167, 18.167,  58.075,-150.679,    0.0,  140.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     275.374 m3,            80.,   ml/haul,         0.2905,ml/m3, 0, 0, 0,-1,          283.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0038_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 15,  5.900, 19.900,  57.947,-150.692,    0.0,  113.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     244.403 m3,           110.,   ml/haul,         0.4501,ml/m3, 0, 0, 0,-1,          389.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0039_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 15,  7.617, 21.617,  57.814,-150.741,    0.0,   89.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     149.222 m3,            50.,   ml/haul,         0.3351,ml/m3, 0, 0, 0,-1,          176.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0040_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 15, 10.550,  0.550,  58.118,-151.017,    0.0,  104.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      188.47 m3,            78.,   ml/haul,         0.4139,ml/m3, 0, 0, 0,-1,          276.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0041_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 15, 12.367,  2.367,  58.247,-150.984,    0.0,  154.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     220.703 m3,           115.,   ml/haul,         0.5211,ml/m3, 0, 0, 0,-1,          406.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0042_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 15, 14.417,  4.417,  58.359,-150.969,    0.0,   55.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     112.623 m3,            20.,   ml/haul,         0.1776,ml/m3, 0, 0, 0,-1,           70.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0043_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 15, 15.833,  5.833,  58.479,-150.950,    0.0,   86.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     113.956 m3,            16.,   ml/haul,         0.1404,ml/m3, 0, 0, 0,-1,           56.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0044_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 15, 17.750,  7.750,  58.627,-150.917,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     501.248 m3,           296.,   ml/haul,         0.5905,ml/m3, 0, 0, 0,-1,         1047.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0045_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 16, 11.333,  1.333,  58.099,-149.057,    0.0,   87.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      172.38 m3,            59.,   ml/haul,         0.3423,ml/m3, 0, 0, 0,-1,          208.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0046_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 16, 13.350,  3.350,  58.011,-149.278,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     385.639 m3,            96.,   ml/haul,         0.2489,ml/m3, 0, 0, 0,-1,          339.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0047_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 16, 15.267,  5.267,  57.940,-149.474,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     392.593 m3,            66.,   ml/haul,         0.1681,ml/m3, 0, 0, 0,-1,          233.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0048_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 16, 16.483,  6.483,  57.915,-149.589,    0.0,  122.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     105.081 m3,            19.,   ml/haul,         0.1808,ml/m3, 0, 0, 0,-1,           67.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0049_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
31HX-040709,2004,  7, 16, 18.400,  8.400,  57.846,-149.785,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     334.695 m3,            80.,   ml/haul,         0.2390,ml/m3, 0, 0, 0,-1,          283.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0050_0001,EcoFOCI, 1626,  174, 1185,2HX04,,Zooplankton displacement volume,-[ ]-,
