#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2 x)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
31SU-940904,1994,  9,  4, 16.867,  5.867,  57.843,-170.497,    0.0,   72.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     126.129 m3,             6.,   ml/haul,         0.0476,ml/m3, 0, 0, 0,-1,           21.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 2018,  174, 1185,1SU94,,Zooplankton displacement volume,-[ ]-,
31SU-940904,1994,  9,  4, 20.583,  9.583,  57.673,-171.473,    0.0,   96.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     200.044 m3,            88.,   ml/haul,         0.4399,ml/m3, 0, 0, 0,-1,          311.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 2018,  174, 1185,1SU94,,Zooplankton displacement volume,-[ ]-,
31SU-940904,1994,  9,  5,  6.350, 18.350,  57.248,-172.965,    0.0,  113.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     163.418 m3,            78.,   ml/haul,         0.4773,ml/m3, 0, 0, 0,-1,          276.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 2018,  174, 1185,1SU94,,Zooplankton displacement volume,-[ ]-,
31SU-940904,1994,  9,  6,  2.967, 14.967,  57.137,-173.400,    0.0,  136.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     330.629 m3,            60.,   ml/haul,         0.1815,ml/m3, 0, 0, 0,-1,          212.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 2018,  174, 1185,1SU94,,Zooplankton displacement volume,-[ ]-,
31SU-940904,1994,  9,  6,  9.433, 21.433,  56.977,-173.937,    0.0,  300.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     922.079 m3,           210.,   ml/haul,         0.2277,ml/m3, 0, 0, 0,-1,          743.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 2018,  174, 1185,1SU94,,Zooplankton displacement volume,-[ ]-,
31SU-940904,1994,  9,  7, 15.300,  4.300,  58.498,-169.872,    0.0,   75.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     197.267 m3,           480.,   ml/haul,         2.4333,ml/m3, 3, 3, 2,-1,         1698.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 2018,  174, 1185,1SU94,,Zooplankton displacement volume,-[ ]-,
31SU-940904,1994,  9,  7, 19.167,  8.167,  58.440,-170.723,    0.0,   76.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     163.656 m3,            30.,   ml/haul,         0.1833,ml/m3, 0, 0, 0,-1,          106.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 2018,  174, 1185,1SU94,,Zooplankton displacement volume,-[ ]-,
31SU-940904,1994,  9,  7, 22.817, 11.817,  58.390,-171.550,    0.0,  114.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     224.712 m3,            62.,   ml/haul,         0.2759,ml/m3, 0, 0, 0,-1,          219.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 2018,  174, 1185,1SU94,,Zooplankton displacement volume,-[ ]-,
31SU-940904,1994,  9,  8,  2.733, 15.733,  58.355,-172.380,    0.0,  102.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     179.665 m3,            92.,   ml/haul,         0.5121,ml/m3, 0, 0, 0,-1,          325.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 2018,  174, 1185,1SU94,,Zooplankton displacement volume,-[ ]-,
31SU-940904,1994,  9,  8,  7.067, 19.067,  58.305,-173.170,    0.0,  110.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     257.267 m3,            50.,   ml/haul,         0.1944,ml/m3, 0, 0, 0,-1,          176.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 2018,  174, 1185,1SU94,,Zooplankton displacement volume,-[ ]-,
