#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2 x)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
31TT-050428,2005,  4, 28, 23.933, 14.933,  51.402,-134.018,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     385.589 m3,            65.,   ml/haul,         0.1686,ml/m3, 0, 0, 0,-1,          230.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 2053,  174, 1185,1TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050428,2005,  4, 29,  5.683, 20.683,  51.751,-133.718,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     366.817 m3,            67.,   ml/haul,         0.1827,ml/m3, 0, 0, 0,-1,          237.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 2053,  174, 1185,1TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050428,2005,  4, 29, 18.550,  9.550,  51.994,-133.528,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     455.276 m3,            59.,   ml/haul,         0.1296,ml/m3, 0, 0, 0,-1,          208.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 2053,  174, 1185,1TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050428,2005,  4, 30,  5.083, 20.083,  52.245,-133.347,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     433.594 m3,            68.,   ml/haul,         0.1568,ml/m3, 0, 0, 0,-1,          240.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 2053,  174, 1185,1TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050428,2005,  4, 30, 10.917,  1.917,  52.325,-133.289,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     449.173 m3,           107.,   ml/haul,         0.2382,ml/m3, 0, 0, 0,-1,          378.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 2053,  174, 1185,1TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050428,2005,  4, 30, 14.600,  5.600,  52.416,-133.216,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     386.928 m3,            58.,   ml/haul,         0.1499,ml/m3, 0, 0, 0,-1,          205.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 2053,  174, 1185,1TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050428,2005,  5,  1,  5.033, 20.033,  52.783,-132.925,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     431.041 m3,            72.,   ml/haul,         0.1670,ml/m3, 0, 0, 0,-1,          254.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 2053,  174, 1185,1TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050428,2005,  5,  1, 10.817,  1.817,  52.866,-132.853,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     562.257 m3,            78.,   ml/haul,         0.1387,ml/m3, 0, 0, 0,-1,          276.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 2053,  174, 1185,1TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050428,2005,  5,  2,  3.700, 18.700,  54.624,-134.989,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     423.622 m3,            58.,   ml/haul,         0.1369,ml/m3, 0, 0, 0,-1,          205.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 2053,  174, 1185,1TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050428,2005,  5,  2, 22.350, 13.350,  57.240,-138.092,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     488.859 m3,           194.,   ml/haul,         0.3968,ml/m3, 0, 0, 0,-1,          686.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 2053,  174, 1185,1TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050428,2005,  5,  3, 19.233, 10.233,  56.498,-139.590,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     410.699 m3,            72.,   ml/haul,         0.1753,ml/m3, 0, 0, 0,-1,          254.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0011_0001,EcoFOCI, 2053,  174, 1185,1TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050428,2005,  5,  4,  6.767, 21.767,  56.473,-138.338,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     395.731 m3,            87.,   ml/haul,         0.2198,ml/m3, 0, 0, 0,-1,          307.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0012_0001,EcoFOCI, 2053,  174, 1185,1TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050428,2005,  5,  4, 15.400,  6.400,  56.686,-138.555,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     389.779 m3,            56.,   ml/haul,         0.1437,ml/m3, 0, 0, 0,-1,          198.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0013_0001,EcoFOCI, 2053,  174, 1185,1TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050428,2005,  5,  4, 22.883, 13.883,  56.967,-138.814,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     383.936 m3,           118.,   ml/haul,         0.3073,ml/m3, 0, 0, 0,-1,          417.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0014_0001,EcoFOCI, 2053,  174, 1185,1TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050428,2005,  5,  5,  1.000, 16.000,  57.048,-138.843,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     207.424 m3,           112.,   ml/haul,         0.5400,ml/m3, 0, 0, 0,-1,          396.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0015_0001,EcoFOCI, 2053,  174, 1185,1TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050428,2005,  5,  5, 17.433,  8.433,  57.402,-139.307,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     367.413 m3,           126.,   ml/haul,         0.3429,ml/m3, 0, 0, 0,-1,          445.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0016_0001,EcoFOCI, 2053,  174, 1185,1TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050428,2005,  5,  5, 18.733,  9.733,  57.459,-139.404,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     438.056 m3,           128.,   ml/haul,         0.2922,ml/m3, 0, 0, 0,-1,          452.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0017_0001,EcoFOCI, 2053,  174, 1185,1TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050428,2005,  5,  5, 23.583, 14.583,  57.537,-139.498,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     392.358 m3,            64.,   ml/haul,         0.1631,ml/m3, 0, 0, 0,-1,          226.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0018_0001,EcoFOCI, 2053,  174, 1185,1TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050428,2005,  5,  6,  8.367, 23.367,  57.889,-139.966,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     320.475 m3,           112.,   ml/haul,         0.3495,ml/m3, 0, 0, 0,-1,          396.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0019_0001,EcoFOCI, 2053,  174, 1185,1TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050428,2005,  5,  6,  9.517,  0.517,  57.946,-140.046,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     382.701 m3,            98.,   ml/haul,         0.2561,ml/m3, 0, 0, 0,-1,          346.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0020_0001,EcoFOCI, 2053,  174, 1185,1TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050428,2005,  5,  6, 19.033, 10.033,  58.025,-140.154,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     359.159 m3,           112.,   ml/haul,         0.3118,ml/m3, 0, 0, 0,-1,          396.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0021_0001,EcoFOCI, 2053,  174, 1185,1TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050428,2005,  5,  6, 22.633, 13.633,  58.169,-140.333,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     453.542 m3,            96.,   ml/haul,         0.2117,ml/m3, 0, 0, 0,-1,          339.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0022_0001,EcoFOCI, 2053,  174, 1185,1TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050428,2005,  5,  7,  7.583, 22.583,  58.442,-140.715,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     536.101 m3,           182.,   ml/haul,         0.3395,ml/m3, 0, 0, 0,-1,          644.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0023_0001,EcoFOCI, 2053,  174, 1185,1TT05,,Zooplankton displacement volume,-[ ]-,
