#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2 x)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
32WC-980621,1998,  6, 21, 12.100,  1.100,  55.529,-159.534,    0.0,   70.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     175.965 m3,            80.,   ml/haul,         0.4546,ml/m3, 0, 0, 0,-1,          283.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 3428,  174, 1185,3WE98,,Zooplankton displacement volume,-[ ]-,
32WC-980621,1998,  6, 21, 14.233,  3.233,  55.296,-159.298,    0.0,  197.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     213.296 m3,            40.,   ml/haul,         0.1875,ml/m3, 0, 0, 0,-1,          141.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 3428,  174, 1185,3WE98,,Zooplankton displacement volume,-[ ]-,
32WC-980621,1998,  6, 21, 16.400,  5.400,  55.112,-159.110,    0.0,   80.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     110.889 m3,            28.,   ml/haul,         0.2525,ml/m3, 0, 0, 0,-1,           99.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 3428,  174, 1185,3WE98,,Zooplankton displacement volume,-[ ]-,
32WC-980621,1998,  6, 21, 18.467,  7.467,  54.898,-158.897,    0.0,   84.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     219.494 m3,            26.,   ml/haul,         0.1185,ml/m3, 0, 0, 0,-1,           92.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 3428,  174, 1185,3WE98,,Zooplankton displacement volume,-[ ]-,
32WC-980621,1998,  6, 21, 20.700,  9.700,  54.676,-158.677,    0.0,  110.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     207.385 m3,            30.,   ml/haul,         0.1447,ml/m3, 0, 0, 0,-1,          106.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 3428,  174, 1185,3WE98,,Zooplankton displacement volume,-[ ]-,
32WC-980621,1998,  6, 22, 19.000,  8.000,  55.021,-157.509,    0.0,   91.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     209.679 m3,            75.,   ml/haul,         0.3577,ml/m3, 0, 0, 0,-1,          265.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 3428,  174, 1185,3WE98,,Zooplankton displacement volume,-[ ]-,
32WC-980621,1998,  6, 22, 21.167, 10.167,  55.227,-157.725,    0.0,   88.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     124.249 m3,            38.,   ml/haul,         0.3058,ml/m3, 0, 0, 0,-1,          134.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 3428,  174, 1185,3WE98,,Zooplankton displacement volume,-[ ]-,
32WC-980621,1998,  6, 22, 23.167, 12.167,  55.424,-157.920,    0.0,   97.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      146.32 m3,            65.,   ml/haul,         0.4442,ml/m3, 0, 0, 0,-1,          230.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 3428,  174, 1185,3WE98,,Zooplankton displacement volume,-[ ]-,
32WC-980621,1998,  6, 23,  1.233, 14.233,  55.623,-158.123,    0.0,  104.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     225.451 m3,            75.,   ml/haul,         0.3327,ml/m3, 0, 0, 0,-1,          265.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 3428,  174, 1185,3WE98,,Zooplankton displacement volume,-[ ]-,
32WC-980621,1998,  6, 23,  3.600, 16.600,  55.834,-158.335,    0.0,  145.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     209.252 m3,            40.,   ml/haul,         0.1912,ml/m3, 0, 0, 0,-1,          141.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 3428,  174, 1185,3WE98,,Zooplankton displacement volume,-[ ]-,
