#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2 x)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
33KB-030430,2003,  4, 30,  6.850, 20.850,  58.427,-151.543,    0.0,  195.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     440.554 m3,           114.,   ml/haul,         0.2588,ml/m3, 0, 0, 0,-1,          403.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 8571,  174, 1185,2KM03,,Zooplankton displacement volume,-[ ]-,
33KB-030430,2003,  4, 30, 10.617,  0.617,  58.464,-151.154,    0.0,  105.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      150.64 m3,            20.,   ml/haul,         0.1328,ml/m3, 0, 0, 0,-1,           70.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 8571,  174, 1185,2KM03,,Zooplankton displacement volume,-[ ]-,
33KB-030430,2003,  4, 30, 13.450,  3.450,  58.483,-150.756,    0.0,   96.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     169.798 m3,            70.,   ml/haul,         0.4123,ml/m3, 0, 0, 0,-1,          247.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 8571,  174, 1185,2KM03,,Zooplankton displacement volume,-[ ]-,
33KB-030430,2003,  4, 30, 16.817,  6.817,  58.671,-150.842,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     385.173 m3,           123.,   ml/haul,         0.3193,ml/m3, 0, 0, 0,-1,          435.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 8571,  174, 1185,2KM03,,Zooplankton displacement volume,-[ ]-,
33KB-030430,2003,  4, 30, 20.100, 10.100,  58.821,-150.944,    0.0,  186.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     360.316 m3,             7.,   ml/haul,         0.0194,ml/m3, 0, 0, 0,-1,           24.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 8571,  174, 1185,2KM03,,Zooplankton displacement volume,-[ ]-,
33KB-030430,2003,  5,  1,  0.117, 14.120,  59.008,-150.979,    0.0,  160.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     412.035 m3,            96.,   ml/haul,         0.2330,ml/m3, 0, 0, 0,-1,          339.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 8571,  174, 1185,2KM03,,Zooplankton displacement volume,-[ ]-,
33KB-030430,2003,  5,  1, 10.967,  0.967,  59.104,-152.159,    0.0,  158.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     224.275 m3,            34.,   ml/haul,         0.1516,ml/m3, 0, 0, 0,-1,          120.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 8571,  174, 1185,2KM03,,Zooplankton displacement volume,-[ ]-,
33KB-030430,2003,  5,  1, 13.217,  3.217,  59.021,-152.234,    0.0,  138.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     308.659 m3,            92.,   ml/haul,         0.2981,ml/m3, 0, 0, 0,-1,          325.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 8571,  174, 1185,2KM03,,Zooplankton displacement volume,-[ ]-,
33KB-030430,2003,  5,  1, 17.683,  7.683,  58.784,-152.357,    0.0,  132.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     219.528 m3,            68.,   ml/haul,         0.3098,ml/m3, 0, 0, 0,-1,          240.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 8571,  174, 1185,2KM03,,Zooplankton displacement volume,-[ ]-,
33KB-030430,2003,  5,  1, 19.750,  9.750,  58.701,-152.413,    0.0,  162.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     225.783 m3,            44.,   ml/haul,         0.1949,ml/m3, 0, 0, 0,-1,          155.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 8571,  174, 1185,2KM03,,Zooplankton displacement volume,-[ ]-,
33KB-030430,2003,  5,  2,  5.983, 19.983,  57.501,-151.171,    0.0,   78.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      91.116 m3,             2.,   ml/haul,          0.022,ml/m3, 0, 0, 0,-1,            7.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0011_0001,EcoFOCI, 8571,  174, 1185,2KM03,,Zooplankton displacement volume,-[ ]-,
33KB-030430,2003,  5,  2,  7.883, 21.883,  57.423,-151.317,    0.0,  152.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     283.947 m3,            28.,   ml/haul,         0.0986,ml/m3, 0, 0, 0,-1,           99.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0012_0001,EcoFOCI, 8571,  174, 1185,2KM03,,Zooplankton displacement volume,-[ ]-,
33KB-030430,2003,  5,  2,  9.800, 23.800,  57.376,-151.432,    0.0,  160.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     325.709 m3,            42.,   ml/haul,         0.1289,ml/m3, 0, 0, 0,-1,          148.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0013_0001,EcoFOCI, 8571,  174, 1185,2KM03,,Zooplankton displacement volume,-[ ]-,
33KB-030430,2003,  5,  2, 11.400,  1.400,  57.303,-151.501,    0.0,   70.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     154.314 m3,            38.,   ml/haul,         0.2463,ml/m3, 0, 0, 0,-1,          134.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0014_0001,EcoFOCI, 8571,  174, 1185,2KM03,,Zooplankton displacement volume,-[ ]-,
33KB-030430,2003,  5,  3,  2.300, 16.300,  57.672,-151.634,    0.0,   65.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     104.578 m3,             3.,   ml/haul,         0.0287,ml/m3, 0, 0, 0,-1,           10.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0015_0001,EcoFOCI, 8571,  174, 1185,2KM03,,Zooplankton displacement volume,-[ ]-,
33KB-030430,2003,  5,  3,  4.000, 18.000,  57.626,-151.727,    0.0,  118.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      274.59 m3,             9.,   ml/haul,         0.0328,ml/m3, 0, 0, 0,-1,           31.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0016_0001,EcoFOCI, 8571,  174, 1185,2KM03,,Zooplankton displacement volume,-[ ]-,
33KB-030430,2003,  5,  3,  5.367, 19.367,  57.566,-151.758,    0.0,  147.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     307.207 m3,            10.,   ml/haul,         0.0326,ml/m3, 0, 0, 0,-1,           35.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0017_0001,EcoFOCI, 8571,  174, 1185,2KM03,,Zooplankton displacement volume,-[ ]-,
