#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2 x)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
33RO-000918,2000,  9, 18,  8.333, 21.333,  57.850,-168.860,    0.0,   73.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,       87.21 m3,            21.,   ml/haul,          0.241,ml/m3, 0, 0, 0,-1,           74.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 7603,  174, 1185,1RB00,,Zooplankton displacement volume,-[ ]-,
33RO-000918,2000,  9, 18, 10.683, 23.683,  58.060,-168.730,    0.0,   71.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      101.31 m3,            37.,   ml/haul,         0.3652,ml/m3, 0, 0, 0,-1,          130.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 7603,  174, 1185,1RB00,,Zooplankton displacement volume,-[ ]-,
33RO-000918,2000,  9, 18, 16.783,  5.783,  57.650,-169.020,    0.0,   60.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      101.23 m3,            55.,   ml/haul,         0.5433,ml/m3, 0, 0, 0,-1,          194.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 7603,  174, 1185,1RB00,,Zooplankton displacement volume,-[ ]-,
33RO-000918,2000,  9, 18, 18.867,  7.867,  57.770,-168.460,    0.0,   67.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      102.94 m3,            83.,   ml/haul,         0.8063,ml/m3, 0, 0, 0,-1,          293.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 7603,  174, 1185,1RB00,,Zooplankton displacement volume,-[ ]-,
33RO-000918,2000,  9, 20, 10.817, 23.817,  56.860,-164.030,    0.0,   74.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      186.04 m3,           212.,   ml/haul,         1.1395,ml/m3, 0, 0, 0,-1,          750.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 7603,  174, 1185,1RB00,,Zooplankton displacement volume,-[ ]-,
33RO-000918,2000,  9, 20, 11.800,  0.800,  56.860,-164.120,    0.0,   74.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,        41.9 m3,           232.,   ml/haul,          5.537,ml/m3, 3, 4, 2,-1,          820.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 7603,  174, 1185,1RB00,,Zooplankton displacement volume,-[ ]-,
33RO-000918,2000,  9, 20, 12.600,  1.600,  56.870,-164.050,    0.0,   73.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,       85.88 m3,           115.,   ml/haul,          1.339,ml/m3, 0, 0, 0,-1,          406.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 7603,  174, 1185,1RB00,,Zooplankton displacement volume,-[ ]-,
33RO-000918,2000,  9, 21,  5.467, 18.467,  56.860,-164.040,    0.0,   73.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      120.53 m3,           170.,   ml/haul,         1.4104,ml/m3, 0, 0, 0,-1,          601.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 7603,  174, 1185,1RB00,,Zooplankton displacement volume,-[ ]-,
33RO-000918,2000,  9, 21,  9.533, 22.533,  56.760,-164.330,    0.0,   76.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,       86.05 m3,           270.,   ml/haul,          3.138,ml/m3, 3, 3, 2,-1,          955.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 7603,  174, 1185,1RB00,,Zooplankton displacement volume,-[ ]-,
33RO-000918,2000,  9, 22,  9.517, 22.517,  55.910,-166.170,    0.0,  128.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      160.48 m3,            65.,   ml/haul,         0.4050,ml/m3, 0, 0, 0,-1,          230.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 7603,  174, 1185,1RB00,,Zooplankton displacement volume,-[ ]-,
