#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2 x)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
49OS-030729,2003,  7, 29,  8.283, 21.283,  50.094,-164.906,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      172.97 m3,           102.,   ml/haul,         0.5897,ml/m3, 0, 0, 0,-1,          360.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 4913,  174, 1185,2OM03,,Zooplankton displacement volume,-[ ]-,
49OS-030729,2003,  7, 29,  8.283, 21.283,  50.094,-164.906,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      150.85 m3,           148.,   ml/haul,         0.9811,ml/m3, 0, 0, 0,-1,          523.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 4913,  174, 1185,2OM03,,Zooplankton displacement volume,-[ ]-,
49OS-030729,2003,  7, 30, 11.233,  0.233,  46.988,-164.976,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      127.85 m3,            58.,   ml/haul,         0.4537,ml/m3, 0, 0, 0,-1,          205.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 4913,  174, 1185,2OM03,,Zooplankton displacement volume,-[ ]-,
49OS-030729,2003,  7, 30, 11.233,  0.233,  46.988,-164.976,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      146.73 m3,            65.,   ml/haul,         0.4430,ml/m3, 0, 0, 0,-1,          230.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 4913,  174, 1185,2OM03,,Zooplankton displacement volume,-[ ]-,
49OS-030729,2003,  7, 31,  7.833, 20.833,  44.522,-165.068,    0.0,  300.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,       151.9 m3,           215.,   ml/haul,         1.4154,ml/m3, 0, 0, 2,-1,          760.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 4913,  174, 1185,2OM03,,Zooplankton displacement volume,-[ ]-,
49OS-030729,2003,  7, 31,  7.833, 20.833,  44.522,-165.068,    0.0,  300.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,       127.4 m3,           285.,   ml/haul,         2.2370,ml/m3, 3, 3, 2,-1,         1008.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 4913,  174, 1185,2OM03,,Zooplankton displacement volume,-[ ]-,
49OS-030729,2003,  8,  1,  7.167, 20.167,  41.995,-165.029,    0.0,  300.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      141.22 m3,           105.,   ml/haul,         0.7435,ml/m3, 0, 0, 0,-1,          371.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 4913,  174, 1185,2OM03,,Zooplankton displacement volume,-[ ]-,
49OS-030729,2003,  8,  1,  7.167, 20.167,  41.995,-165.029,    0.0,  300.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      125.55 m3,            90.,   ml/haul,         0.7168,ml/m3, 0, 0, 0,-1,          318.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 4913,  174, 1185,2OM03,,Zooplankton displacement volume,-[ ]-,
49OS-030729,2003,  8,  2,  8.100, 21.100,  39.044,-165.021,    0.0,  300.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      144.65 m3,            24.,   ml/haul,         0.1659,ml/m3, 0, 0, 0,-1,           84.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 4913,  174, 1185,2OM03,,Zooplankton displacement volume,-[ ]-,
49OS-030729,2003,  8,  2,  8.100, 21.100,  39.044,-165.021,    0.0,  300.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      102.07 m3,            25.,   ml/haul,         0.2449,ml/m3, 0, 0, 0,-1,           88.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 4913,  174, 1185,2OM03,,Zooplankton displacement volume,-[ ]-,
