#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2 x)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
90KG-860330,1986,  3, 30,  7.583, 22.583,  59.003,-139.383,    0.0,  115.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     127.107 m3,             8.,   ml/haul,         0.0629,ml/m3, 0, 0, 0,-1,           28.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 7679,  174, 1185,1GI86,,Zooplankton displacement volume,-[ ]-,
90KG-860330,1986,  3, 30, 10.500,  1.500,  58.453,-139.350,    0.0,  152.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     148.307 m3,             9.,   ml/haul,         0.0607,ml/m3, 0, 0, 0,-1,           31.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 7679,  174, 1185,1GI86,,Zooplankton displacement volume,-[ ]-,
90KG-860330,1986,  3, 30, 22.633, 13.633,  58.755,-140.400,    0.0,  193.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      199.18 m3,            50.,   ml/haul,         0.2510,ml/m3, 0, 0, 0,-1,          176.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 7679,  174, 1185,1GI86,,Zooplankton displacement volume,-[ ]-,
90KG-860330,1986,  3, 31,  6.833, 21.833,  59.485,-141.350,    0.0,  173.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     182.518 m3,            40.,   ml/haul,         0.2192,ml/m3, 0, 0, 0,-1,          141.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 7679,  174, 1185,1GI86,,Zooplankton displacement volume,-[ ]-,
90KG-860330,1986,  3, 31, 11.700,  2.700,  58.998,-141.367,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     215.344 m3,            65.,   ml/haul,         0.3018,ml/m3, 0, 0, 0,-1,          230.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 7679,  174, 1185,1GI86,,Zooplankton displacement volume,-[ ]-,
90KG-860330,1986,  3, 31, 15.000,  6.000,  59.257,-142.283,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      222.74 m3,            40.,   ml/haul,         0.1796,ml/m3, 0, 0, 0,-1,          141.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 7679,  174, 1185,1GI86,,Zooplankton displacement volume,-[ ]-,
90KG-860330,1986,  3, 31, 18.167,  9.167,  59.742,-142.267,    0.0,  171.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     169.314 m3,            17.,   ml/haul,         0.1004,ml/m3, 0, 0, 0,-1,           60.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 7679,  174, 1185,1GI86,,Zooplankton displacement volume,-[ ]-,
90KG-860330,1986,  3, 31, 21.883, 11.883,  59.930,-143.283,    0.0,  130.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     145.571 m3,            17.,   ml/haul,         0.1168,ml/m3, 0, 0, 0,-1,           60.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 7679,  174, 1185,1GI86,,Zooplankton displacement volume,-[ ]-,
90KG-860330,1986,  4,  1,  0.733, 14.730,  59.443,-143.300,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     224.499 m3,            60.,   ml/haul,         0.2673,ml/m3, 0, 0, 0,-1,          212.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 7679,  174, 1185,1GI86,,Zooplankton displacement volume,-[ ]-,
90KG-860330,1986,  4,  1,  7.050, 21.050,  59.842,-144.267,    0.0,   63.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      73.654 m3,            13.,   ml/haul,          0.177,ml/m3, 0, 0, 0,-1,           46.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 7679,  174, 1185,1GI86,,Zooplankton displacement volume,-[ ]-,
