#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2 x)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
90MB-850419,1985,  4, 19, 23.083, 15.083,  48.002,-124.833,    0.0,   49.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,       59.32 m3,             4.,   ml/haul,          0.067,ml/m3, 0, 0, 0,-1,           14.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 6450,  174, 1185,1BA85,,Zooplankton displacement volume,-[ ]-,
90MB-850419,1985,  4, 20,  1.500, 17.500,  48.013,-125.193,    0.0,  150.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     160.777 m3,             6.,   ml/haul,         0.0373,ml/m3, 0, 0, 0,-1,           21.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 6450,  174, 1185,1BA85,,Zooplankton displacement volume,-[ ]-,
90MB-850419,1985,  4, 20,  4.450, 20.450,  48.005,-125.543,    0.0,  160.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     149.641 m3,            34.,   ml/haul,         0.2272,ml/m3, 0, 0, 0,-1,          120.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 6450,  174, 1185,1BA85,,Zooplankton displacement volume,-[ ]-,
90MB-850419,1985,  4, 20,  7.333, 23.333,  48.002,-125.937,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     249.882 m3,            12.,   ml/haul,         0.0480,ml/m3, 0, 0, 0,-1,           42.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 6450,  174, 1185,1BA85,,Zooplankton displacement volume,-[ ]-,
90MB-850419,1985,  4, 20, 10.200,  2.200,  48.000,-126.268,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     254.109 m3,             5.,   ml/haul,         0.0197,ml/m3, 0, 0, 0,-1,           17.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 6450,  174, 1185,1BA85,,Zooplankton displacement volume,-[ ]-,
90MB-850419,1985,  4, 20, 15.750,  7.750,  47.667,-125.275,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     264.553 m3,             2.,   ml/haul,         0.0076,ml/m3, 0,-3,-3,-1,            7.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 6450,  174, 1185,1BA85,,Zooplankton displacement volume,-[ ]-,
90MB-850419,1985,  4, 20, 18.967, 10.967,  47.670,-124.937,    0.0,  120.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     149.883 m3,             2.,   ml/haul,         0.0133,ml/m3, 0, 0, 0,-1,            7.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 6450,  174, 1185,1BA85,,Zooplankton displacement volume,-[ ]-,
90MB-850419,1985,  4, 20, 22.583, 14.583,  47.667,-124.570,    0.0,   34.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      40.409 m3,             1.,   ml/haul,          0.025,ml/m3, 0, 0, 0,-1,            3.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 6450,  174, 1185,1BA85,,Zooplankton displacement volume,-[ ]-,
90MB-850419,1985,  4, 21,  1.217, 17.217,  47.333,-124.423,    0.0,   32.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      42.801 m3,             2.,   ml/haul,          0.047,ml/m3, 0, 0, 0,-1,            7.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 6450,  174, 1185,1BA85,,Zooplankton displacement volume,-[ ]-,
90MB-850419,1985,  4, 21,  4.583, 20.583,  47.333,-124.793,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     256.402 m3,            60.,   ml/haul,         0.2340,ml/m3, 0, 0, 0,-1,          212.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 6450,  174, 1185,1BA85,,Zooplankton displacement volume,-[ ]-,
90MB-850419,1985,  4, 21,  8.700,  0.700,  47.338,-125.172,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     279.744 m3,            18.,   ml/haul,         0.0643,ml/m3, 0, 0, 0,-1,           63.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0011_0001,EcoFOCI, 6450,  174, 1185,1BA85,,Zooplankton displacement volume,-[ ]-,
