#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2 x)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
90PN-850329,1985,  3, 29,  2.833, 16.833,  58.837,-153.033,    0.0,  164.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     204.268 m3,            20.,   ml/haul,         0.0979,ml/m3, 0, 0, 0,-1,           70.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 6506,  174, 1185,1PO85,,Zooplankton displacement volume,-[ ]-,
90PN-850329,1985,  3, 29,  4.967, 18.967,  58.738,-152.850,    0.0,  158.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     206.121 m3,            10.,   ml/haul,         0.0485,ml/m3, 0, 0, 0,-1,           35.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 6506,  174, 1185,1PO85,,Zooplankton displacement volume,-[ ]-,
90PN-850329,1985,  3, 29,  6.450, 20.450,  58.658,-152.717,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     231.794 m3,            15.,   ml/haul,         0.0647,ml/m3, 0, 0, 0,-1,           53.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 6506,  174, 1185,1PO85,,Zooplankton displacement volume,-[ ]-,
90PN-850329,1985,  3, 29,  8.317, 22.317,  58.570,-152.867,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     228.928 m3,            45.,   ml/haul,         0.1966,ml/m3, 0, 0, 0,-1,          159.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 6506,  174, 1185,1PO85,,Zooplankton displacement volume,-[ ]-,
90PN-850329,1985,  3, 29,  9.933, 23.933,  58.658,-153.033,    0.0,  163.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     188.922 m3,            10.,   ml/haul,         0.0529,ml/m3, 0, 0, 0,-1,           35.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 6506,  174, 1185,1PO85,,Zooplankton displacement volume,-[ ]-,
90PN-850329,1985,  3, 29, 11.667,  1.667,  58.717,-153.133,    0.0,  176.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     243.099 m3,            20.,   ml/haul,         0.0823,ml/m3, 0, 0, 0,-1,           70.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 6506,  174, 1185,1PO85,,Zooplankton displacement volume,-[ ]-,
90PN-850329,1985,  3, 29, 13.800,  3.800,  58.662,-153.367,    0.0,   72.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      81.202 m3,             1.,   ml/haul,          0.012,ml/m3, 0, 0, 0,-1,            3.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 6506,  174, 1185,1PO85,,Zooplankton displacement volume,-[ ]-,
90PN-850329,1985,  3, 29, 15.467,  5.467,  58.575,-153.233,    0.0,  184.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     193.041 m3,             8.,   ml/haul,         0.0414,ml/m3, 0, 0, 0,-1,           28.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 6506,  174, 1185,1PO85,,Zooplankton displacement volume,-[ ]-,
90PN-850329,1985,  3, 29, 19.783,  9.783,  58.358,-153.200,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     232.346 m3,            40.,   ml/haul,         0.1722,ml/m3, 0, 0, 0,-1,          141.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 6506,  174, 1185,1PO85,,Zooplankton displacement volume,-[ ]-,
90PN-850329,1985,  3, 29, 21.000, 11.000,  58.495,-153.067,    0.0,  175.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     204.378 m3,            10.,   ml/haul,         0.0489,ml/m3, 0, 0, 0,-1,           35.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 6506,  174, 1185,1PO85,,Zooplankton displacement volume,-[ ]-,
