#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2 x)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
90RC-870409,1987,  4,  9, 20.750, 10.750,  58.667,-147.750,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     341.911 m3,            25.,   ml/haul,         0.0731,ml/m3, 0, 0, 0,-1,           88.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 6524,  174, 1185,1BB87,,Zooplankton displacement volume,-[ ]-,
90RC-870409,1987,  4, 10, 17.417,  7.417,  59.667,-147.750,    0.0,  115.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     134.458 m3,             8.,   ml/haul,         0.0595,ml/m3, 0, 0, 0,-1,           28.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 6524,  174, 1185,1BB87,,Zooplankton displacement volume,-[ ]-,
90RC-870409,1987,  4, 10, 21.000, 11.000,  59.333,-147.750,    0.0,  170.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     380.478 m3,            13.,   ml/haul,         0.0342,ml/m3, 0, 0, 0,-1,           46.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 6524,  174, 1185,1BB87,,Zooplankton displacement volume,-[ ]-,
90RC-870409,1987,  4, 11,  0.833, 14.830,  59.013,-147.750,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     478.436 m3,            14.,   ml/haul,         0.0293,ml/m3, 0, 0, 0,-1,           49.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 6524,  174, 1185,1BB87,,Zooplankton displacement volume,-[ ]-,
90RC-870409,1987,  4, 11,  6.117, 20.117,  58.340,-148.417,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     447.577 m3,            95.,   ml/haul,         0.2123,ml/m3, 0, 0, 0,-1,          336.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 6524,  174, 1185,1BB87,,Zooplankton displacement volume,-[ ]-,
90RC-870409,1987,  4, 11, 11.167,  1.167,  58.662,-148.417,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     421.771 m3,            18.,   ml/haul,         0.0427,ml/m3, 0, 0, 0,-1,           63.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 6524,  174, 1185,1BB87,,Zooplankton displacement volume,-[ ]-,
90RC-870409,1987,  4, 11, 13.350,  3.350,  59.033,-148.300,    0.0,  160.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     348.775 m3,            75.,   ml/haul,         0.2150,ml/m3, 0, 0, 0,-1,          265.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 6524,  174, 1185,1BB87,,Zooplankton displacement volume,-[ ]-,
90RC-870409,1987,  4, 11, 16.250,  6.250,  59.350,-148.317,    0.0,  135.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     287.407 m3,            75.,   ml/haul,         0.2610,ml/m3, 0, 0, 0,-1,          265.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 6524,  174, 1185,1BB87,,Zooplankton displacement volume,-[ ]-,
90RC-870409,1987,  4, 11, 18.750,  8.750,  59.667,-148.333,    0.0,  175.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     318.821 m3,            75.,   ml/haul,         0.2352,ml/m3, 0, 0, 0,-1,          265.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 6524,  174, 1185,1BB87,,Zooplankton displacement volume,-[ ]-,
90RC-870409,1987,  4, 11, 22.500, 12.500,  59.667,-149.000,    0.0,  170.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     387.706 m3,            80.,   ml/haul,         0.2063,ml/m3, 0, 0, 0,-1,          283.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 6524,  174, 1185,1BB87,,Zooplankton displacement volume,-[ ]-,
90RC-870409,1987,  4, 12,  1.217, 15.217,  59.298,-149.000,    0.0,  185.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      339.49 m3,            12.,   ml/haul,         0.0353,ml/m3, 0, 0, 0,-1,           42.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0011_0001,EcoFOCI, 6524,  174, 1185,1BB87,,Zooplankton displacement volume,-[ ]-,
90RC-870409,1987,  4, 12,  4.583, 18.583,  59.000,-149.000,    0.0,  175.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     356.511 m3,            65.,   ml/haul,         0.1823,ml/m3, 0, 0, 0,-1,          230.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0012_0001,EcoFOCI, 6524,  174, 1185,1BB87,,Zooplankton displacement volume,-[ ]-,
90RC-870409,1987,  4, 12,  7.467, 21.467,  58.667,-149.033,    0.0,  108.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     195.153 m3,            11.,   ml/haul,         0.0564,ml/m3, 0, 0, 0,-1,           38.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0013_0001,EcoFOCI, 6524,  174, 1185,1BB87,,Zooplankton displacement volume,-[ ]-,
90RC-870409,1987,  4, 12, 10.717,  0.717,  58.333,-149.033,    0.0,  115.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     206.747 m3,            17.,   ml/haul,         0.0822,ml/m3, 0, 0, 0,-1,           60.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0014_0001,EcoFOCI, 6524,  174, 1185,1BB87,,Zooplankton displacement volume,-[ ]-,
90RC-870409,1987,  4, 12, 13.550,  3.550,  58.000,-149.617,    0.0,  120.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     210.158 m3,            19.,   ml/haul,         0.0904,ml/m3, 0, 0, 0,-1,           67.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0015_0001,EcoFOCI, 6524,  174, 1185,1BB87,,Zooplankton displacement volume,-[ ]-,
90RC-870409,1987,  4, 12, 16.333,  6.333,  57.967,-148.983,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     457.322 m3,            28.,   ml/haul,         0.0612,ml/m3, 0, 0, 0,-1,           99.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0016_0001,EcoFOCI, 6524,  174, 1185,1BB87,,Zooplankton displacement volume,-[ ]-,
90RC-870409,1987,  4, 12, 22.500, 12.500,  57.667,-149.667,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     417.537 m3,            32.,   ml/haul,         0.0766,ml/m3, 0, 0, 0,-1,          113.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0017_0001,EcoFOCI, 6524,  174, 1185,1BB87,,Zooplankton displacement volume,-[ ]-,
90RC-870409,1987,  4, 13,  3.900, 17.900,  58.333,-149.683,    0.0,  120.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     207.406 m3,            22.,   ml/haul,         0.1061,ml/m3, 0, 0, 0,-1,           77.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0018_0001,EcoFOCI, 6524,  174, 1185,1BB87,,Zooplankton displacement volume,-[ ]-,
90RC-870409,1987,  4, 13,  6.667, 20.667,  58.672,-149.700,    0.0,  150.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     270.087 m3,            19.,   ml/haul,         0.0703,ml/m3, 0, 0, 0,-1,           67.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0019_0001,EcoFOCI, 6524,  174, 1185,1BB87,,Zooplankton displacement volume,-[ ]-,
90RC-870409,1987,  4, 13,  9.250, 23.250,  59.000,-149.672,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     407.858 m3,            28.,   ml/haul,         0.0687,ml/m3, 0, 0, 0,-1,           99.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0020_0001,EcoFOCI, 6524,  174, 1185,1BB87,,Zooplankton displacement volume,-[ ]-,
90RC-870409,1987,  4, 13, 12.667,  2.667,  59.333,-149.667,    0.0,  140.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     304.262 m3,            96.,   ml/haul,         0.3155,ml/m3, 0, 0, 0,-1,          339.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0021_0001,EcoFOCI, 6524,  174, 1185,1BB87,,Zooplankton displacement volume,-[ ]-,
90RC-870409,1987,  4, 13, 15.967,  5.967,  58.983,-150.317,    0.0,  135.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      227.43 m3,            32.,   ml/haul,         0.1407,ml/m3, 0, 0, 0,-1,          113.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0022_0001,EcoFOCI, 6524,  174, 1185,1BB87,,Zooplankton displacement volume,-[ ]-,
