#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2 x)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
90TK-800420,1980,  4, 20, 18.733, 10.733,  48.000,-124.820,    0.0,   32.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      56.291 m3,            20.,   ml/haul,          0.355,ml/m3, 0, 0, 0,-1,           70.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 6567,  174, 1185,1TK80,,Zooplankton displacement volume,-[ ]-,
90TK-800420,1980,  4, 20, 21.250, 13.250,  48.000,-125.187,    0.0,  140.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     239.527 m3,            10.,   ml/haul,         0.0417,ml/m3, 0, 0, 0,-1,           35.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 6567,  174, 1185,1TK80,,Zooplankton displacement volume,-[ ]-,
90TK-800420,1980,  4, 21,  1.167, 17.167,  48.000,-125.567,    0.0,  160.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     278.683 m3,            10.,   ml/haul,         0.0359,ml/m3, 0, 0, 0,-1,           35.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 6567,  174, 1185,1TK80,,Zooplankton displacement volume,-[ ]-,
90TK-800420,1980,  4, 21,  6.917, 22.917,  48.008,-125.925,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     284.934 m3,            25.,   ml/haul,         0.0877,ml/m3, 0, 0, 0,-1,           88.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 6567,  174, 1185,1TK80,,Zooplankton displacement volume,-[ ]-,
90TK-800420,1980,  4, 21, 12.833,  4.833,  48.000,-126.292,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     298.851 m3,            20.,   ml/haul,         0.0669,ml/m3, 0, 0, 0,-1,           70.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 6567,  174, 1185,1TK80,,Zooplankton displacement volume,-[ ]-,
90TK-800420,1980,  4, 21, 22.833, 13.833,  47.333,-127.667,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     259.281 m3,            50.,   ml/haul,         0.1928,ml/m3, 0, 0, 0,-1,          176.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 6567,  174, 1185,1TK80,,Zooplankton displacement volume,-[ ]-,
90TK-800420,1980,  4, 22,  6.833, 21.833,  46.672,-128.767,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     277.504 m3,            50.,   ml/haul,         0.1802,ml/m3, 0, 0, 0,-1,          176.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 6567,  174, 1185,1TK80,,Zooplankton displacement volume,-[ ]-,
90TK-800420,1980,  4, 22, 12.267,  3.267,  46.667,-127.830,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     240.579 m3,            65.,   ml/haul,         0.2702,ml/m3, 0, 0, 0,-1,          230.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 6567,  174, 1185,1TK80,,Zooplankton displacement volume,-[ ]-,
90TK-800420,1980,  4, 22, 17.500,  9.500,  46.667,-126.983,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      258.45 m3,            50.,   ml/haul,         0.1935,ml/m3, 0, 0, 0,-1,          176.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 6567,  174, 1185,1TK80,,Zooplankton displacement volume,-[ ]-,
90TK-800420,1980,  4, 22, 22.917, 14.917,  46.667,-125.838,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     262.881 m3,            55.,   ml/haul,         0.2092,ml/m3, 0, 0, 0,-1,          194.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 6567,  174, 1185,1TK80,,Zooplankton displacement volume,-[ ]-,
