#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2 x)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
TO32-090604,2009,  6,  4, 20.667,  9.667,  57.336,-160.929,    0.0,   58.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,   153.26644 m3,            38.,   ml/haul,         0.2479,ml/m3, 0, 0, 0,-1,          134.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 9032,  174, 1185,1AR09,,Zooplankton displacement volume,-[ ]-,
TO32-090604,2009,  6,  4, 20.667,  9.667,  57.336,-160.929,    0.0,   58.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,   153.26644 m3,            38.,   ml/haul,         0.2479,ml/m3, 0, 0, 0,-1,          134.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 9032,  174, 1185,1AR09,,Zooplankton displacement volume,-[ ]-,
TO32-090604,2009,  6,  4, 20.667,  9.667,  57.336,-160.929,    0.0,   58.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,   153.26644 m3,            38.,   ml/haul,         0.2479,ml/m3, 0, 0, 0,-1,          134.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 9032,  174, 1185,1AR09,,Zooplankton displacement volume,-[ ]-,
TO32-090604,2009,  6,  4, 20.667,  9.667,  57.336,-160.929,    0.0,   58.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,   153.26644 m3,            38.,   ml/haul,         0.2479,ml/m3, 0, 0, 0,-1,          134.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 9032,  174, 1185,1AR09,,Zooplankton displacement volume,-[ ]-,
TO32-090604,2009,  6,  6, 21.550, 10.550,  56.345,-162.181,    0.0,   78.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,   132.74282 m3,           197.,   ml/haul,         1.4841,ml/m3, 0, 0, 2,-1,          697.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 9032,  174, 1185,1AR09,,Zooplankton displacement volume,-[ ]-,
TO32-090604,2009,  6,  6, 21.550, 10.550,  56.345,-162.181,    0.0,   78.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,   132.74282 m3,           197.,   ml/haul,         1.4841,ml/m3, 0, 0, 2,-1,          697.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 9032,  174, 1185,1AR09,,Zooplankton displacement volume,-[ ]-,
TO32-090604,2009,  6,  6, 21.550, 10.550,  56.345,-162.181,    0.0,   78.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,   132.74282 m3,           197.,   ml/haul,         1.4841,ml/m3, 0, 0, 2,-1,          697.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 9032,  174, 1185,1AR09,,Zooplankton displacement volume,-[ ]-,
TO32-090604,2009,  6,  6, 21.550, 10.550,  56.345,-162.181,    0.0,   78.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,   132.74282 m3,           197.,   ml/haul,         1.4841,ml/m3, 0, 0, 2,-1,          697.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 9032,  174, 1185,1AR09,,Zooplankton displacement volume,-[ ]-,
TO32-090604,2009,  6,  8, 20.333,  9.333,  57.086,-163.398,    0.0,   58.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,    37.04619 m3,           748.,   ml/haul,         20.191,ml/m3, 6, 4, 2,-1,         2646.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 9032,  174, 1185,1AR09,,Zooplankton displacement volume,-[ ]-,
TO32-090604,2009,  6, 11, 19.800,  8.800,  56.969,-164.708,    0.0,   66.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,    95.13462 m3,           476.,   ml/haul,          5.003,ml/m3, 3, 4, 2,-1,         1684.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 9032,  174, 1185,1AR09,,Zooplankton displacement volume,-[ ]-,
