#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
3100-110428,2011,  4, 28,  6.317, 20.317,  57.048,-152.889,    0.0,   89.0,O, 118, 500,    -401,    -401,  0,  0,  0,  0,b,   204.74746 m3,            28.,   ml/haul,         0.1368,ml/m3, 0, 0, 0,-1,           99.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 9061,  174, 1185,1TX11,,Zooplankton displacement volume,-[ ]-,
3100-110428,2011,  4, 28,  6.317, 20.317,  57.048,-152.889,    0.0,   89.0,O, 118, 500,    -401,    -401,  0,  0,  0,  0,b,   204.74746 m3,            28.,   ml/haul,         0.1368,ml/m3, 0, 0, 0,-1,           99.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 9061,  174, 1185,1TX11,,Zooplankton displacement volume,-[ ]-,
3100-110428,2011,  4, 28,  6.317, 20.317,  57.048,-152.889,    0.0,   89.0,O, 118, 500,    -401,    -401,  0,  0,  0,  0,b,   204.74746 m3,            28.,   ml/haul,         0.1368,ml/m3, 0, 0, 0,-1,           99.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 9061,  174, 1185,1TX11,,Zooplankton displacement volume,-[ ]-,
3100-110428,2011,  4, 28,  6.317, 20.317,  57.048,-152.889,    0.0,   89.0,O, 118, 500,    -401,    -401,  0,  0,  0,  0,b,   204.74746 m3,            28.,   ml/haul,         0.1368,ml/m3, 0, 0, 0,-1,           99.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 9061,  174, 1185,1TX11,,Zooplankton displacement volume,-[ ]-,
3100-110428,2011,  4, 29, 14.867,  4.867,  56.816,-152.463,    0.0,  174.0,O, 118, 500,    -401,    -401,  0,  0,  0,  0,b,   327.32212 m3,            90.,   ml/haul,         0.2750,ml/m3, 0, 0, 0,-1,          318.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 9061,  174, 1185,1TX11,,Zooplankton displacement volume,-[ ]-,
3100-110428,2011,  4, 29, 14.867,  4.867,  56.816,-152.463,    0.0,  174.0,O, 118, 500,    -401,    -401,  0,  0,  0,  0,b,   327.32212 m3,            90.,   ml/haul,         0.2750,ml/m3, 0, 0, 0,-1,          318.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 9061,  174, 1185,1TX11,,Zooplankton displacement volume,-[ ]-,
3100-110428,2011,  4, 29, 14.867,  4.867,  56.816,-152.463,    0.0,  174.0,O, 118, 500,    -401,    -401,  0,  0,  0,  0,b,   327.32212 m3,            90.,   ml/haul,         0.2750,ml/m3, 0, 0, 0,-1,          318.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 9061,  174, 1185,1TX11,,Zooplankton displacement volume,-[ ]-,
3100-110428,2011,  4, 29, 14.867,  4.867,  56.816,-152.463,    0.0,  174.0,O, 118, 500,    -401,    -401,  0,  0,  0,  0,b,   327.32212 m3,            90.,   ml/haul,         0.2750,ml/m3, 0, 0, 0,-1,          318.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 9061,  174, 1185,1TX11,,Zooplankton displacement volume,-[ ]-,
3100-110428,2011,  4, 29, 16.617,  6.617,  56.582,-152.040,    0.0,  124.0,O, 118, 500,    -401,    -401,  0,  0,  0,  0,b,   225.35768 m3,            29.,   ml/haul,         0.1287,ml/m3, 0, 0, 0,-1,          102.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 9061,  174, 1185,1TX11,,Zooplankton displacement volume,-[ ]-,
3100-110428,2011,  4, 29, 17.817,  7.817,  56.828,-151.614,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,   393.30376 m3,            45.,   ml/haul,         0.1144,ml/m3, 0, 0, 0,-1,          159.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 9061,  174, 1185,1TX11,,Zooplankton displacement volume,-[ ]-,
