#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
31DS-960426,1996,  4, 26, 15.800,  5.800,  59.903,-148.402,    0.0,  165.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     280.908 m3,           200.,   ml/haul,         0.7120,ml/m3, 0, 0, 0,-1,          707.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 1477,  174, 1185,1DI96,,Zooplankton displacement volume,-[ ]-,
31DS-960426,1996,  4, 26, 17.767,  7.767,  59.817,-148.348,    0.0,  125.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     152.353 m3,           100.,   ml/haul,         0.6564,ml/m3, 0, 0, 0,-1,          353.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 1477,  174, 1185,1DI96,,Zooplankton displacement volume,-[ ]-,
31DS-960426,1996,  4, 26, 18.983,  8.983,  59.766,-148.289,    0.0,  157.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     256.238 m3,           190.,   ml/haul,         0.7415,ml/m3, 0, 0, 0,-1,          672.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 1477,  174, 1185,1DI96,,Zooplankton displacement volume,-[ ]-,
31DS-960426,1996,  4, 26, 21.250, 11.250,  59.583,-148.161,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     314.841 m3,           290.,   ml/haul,         0.9211,ml/m3, 0, 0, 0,-1,         1026.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 1477,  174, 1185,1DI96,,Zooplankton displacement volume,-[ ]-,
31DS-960426,1996,  4, 26, 23.750, 13.750,  59.386,-148.069,    0.0,  159.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     262.573 m3,           260.,   ml/haul,         0.9902,ml/m3, 0, 0, 0,-1,          920.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 1477,  174, 1185,1DI96,,Zooplankton displacement volume,-[ ]-,
31DS-960426,1996,  4, 27,  1.917, 15.917,  59.203,-147.933,    0.0,  186.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      325.07 m3,           190.,   ml/haul,         0.5845,ml/m3, 0, 0, 0,-1,          672.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 1477,  174, 1185,1DI96,,Zooplankton displacement volume,-[ ]-,
31DS-960426,1996,  4, 27,  6.433, 20.433,  58.738,-148.843,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     234.891 m3,           120.,   ml/haul,         0.5109,ml/m3, 0, 0, 0,-1,          424.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 1477,  174, 1185,1DI96,,Zooplankton displacement volume,-[ ]-,
31DS-960426,1996,  4, 27,  8.767, 22.767,  58.897,-148.734,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     347.346 m3,           200.,   ml/haul,         0.5758,ml/m3, 0, 0, 0,-1,          707.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 1477,  174, 1185,1DI96,,Zooplankton displacement volume,-[ ]-,
31DS-960426,1996,  4, 27, 10.683,  0.683,  59.036,-148.626,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     295.933 m3,           270.,   ml/haul,         0.9124,ml/m3, 0, 0, 0,-1,          955.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 1477,  174, 1185,1DI96,,Zooplankton displacement volume,-[ ]-,
31DS-960426,1996,  4, 27, 12.817,  2.817,  59.180,-148.726,    0.0,  135.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     220.128 m3,           180.,   ml/haul,         0.8177,ml/m3, 0, 0, 0,-1,          636.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 1477,  174, 1185,1DI96,,Zooplankton displacement volume,-[ ]-,
31DS-960426,1996,  4, 27, 14.800,  4.800,  59.341,-148.811,    0.0,  134.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     280.694 m3,           170.,   ml/haul,         0.6056,ml/m3, 0, 0, 0,-1,          601.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0011_0001,EcoFOCI, 1477,  174, 1185,1DI96,,Zooplankton displacement volume,-[ ]-,
31DS-960426,1996,  4, 27, 16.883,  6.883,  59.489,-148.951,    0.0,  183.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     237.228 m3,           170.,   ml/haul,         0.7166,ml/m3, 0, 0, 0,-1,          601.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0012_0001,EcoFOCI, 1477,  174, 1185,1DI96,,Zooplankton displacement volume,-[ ]-,
31DS-960426,1996,  4, 27, 18.250,  8.250,  59.575,-149.034,    0.0,  179.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     300.502 m3,           165.,   ml/haul,         0.5491,ml/m3, 0, 0, 0,-1,          583.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0013_0001,EcoFOCI, 1477,  174, 1185,1DI96,,Zooplankton displacement volume,-[ ]-,
31DS-960426,1996,  4, 27, 19.750,  9.750,  59.660,-149.076,    0.0,  167.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      238.28 m3,           120.,   ml/haul,         0.5036,ml/m3, 0, 0, 0,-1,          424.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0014_0001,EcoFOCI, 1477,  174, 1185,1DI96,,Zooplankton displacement volume,-[ ]-,
31DS-960426,1996,  4, 27, 21.083, 11.083,  59.730,-149.158,    0.0,  173.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      323.89 m3,           150.,   ml/haul,         0.4631,ml/m3, 0, 0, 0,-1,          530.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0015_0001,EcoFOCI, 1477,  174, 1185,1DI96,,Zooplankton displacement volume,-[ ]-,
