#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
31FN-030214,2003,  2, 14,  2.133, 16.133,  57.655,-152.378,    0.0,   89.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     136.109 m3,             2.,   ml/haul,         0.0147,ml/m3, 0, 0, 0,-1,            7.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 1544,  174, 1185,1MF03,,Zooplankton displacement volume,-[ ]-,
31FN-030214,2003,  2, 14,  4.050, 18.050,  57.792,-152.050,    0.0,   98.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     149.428 m3,             3.,   ml/haul,         0.0201,ml/m3, 0, 0, 0,-1,           10.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 1544,  174, 1185,1MF03,,Zooplankton displacement volume,-[ ]-,
31FN-030214,2003,  2, 14,  6.017, 20.017,  57.635,-151.796,    0.0,  108.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      166.86 m3,             3.,   ml/haul,         0.0180,ml/m3, 0, 0, 0,-1,           10.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 1544,  174, 1185,1MF03,,Zooplankton displacement volume,-[ ]-,
31FN-030214,2003,  2, 14,  7.917, 21.917,  57.445,-151.544,    0.0,  130.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,       195.3 m3,             5.,   ml/haul,         0.0256,ml/m3, 0, 0, 0,-1,           17.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 1544,  174, 1185,1MF03,,Zooplankton displacement volume,-[ ]-,
31FN-030214,2003,  2, 14,  9.633, 23.633,  57.300,-151.296,    0.0,  151.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     211.544 m3,            40.,   ml/haul,         0.1891,ml/m3, 0, 0, 0,-1,          141.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 1544,  174, 1185,1MF03,,Zooplankton displacement volume,-[ ]-,
31FN-030214,2003,  2, 14, 11.550,  1.550,  57.108,-151.037,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     272.117 m3,            12.,   ml/haul,         0.0441,ml/m3, 0, 0, 0,-1,           42.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 1544,  174, 1185,1MF03,,Zooplankton displacement volume,-[ ]-,
31FN-030214,2003,  2, 14, 12.817,  2.817,  57.241,-150.847,    0.0,  186.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     253.097 m3,            35.,   ml/haul,         0.1383,ml/m3, 0, 0, 0,-1,          123.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 1544,  174, 1185,1MF03,,Zooplankton displacement volume,-[ ]-,
31FN-030214,2003,  2, 14, 14.167,  4.167,  57.138,-151.090,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     565.072 m3,            46.,   ml/haul,         0.0814,ml/m3, 0, 0, 0,-1,          162.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 1544,  174, 1185,1MF03,,Zooplankton displacement volume,-[ ]-,
31FN-030214,2003,  2, 14, 15.367,  5.367,  57.189,-150.972,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     677.663 m3,            48.,   ml/haul,         0.0708,ml/m3, 0, 0, 0,-1,          169.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 1544,  174, 1185,1MF03,,Zooplankton displacement volume,-[ ]-,
31FN-030214,2003,  2, 14, 17.650,  7.650,  56.940,-150.789,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     273.625 m3,            12.,   ml/haul,         0.0439,ml/m3, 0, 0, 0,-1,           42.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 1544,  174, 1185,1MF03,,Zooplankton displacement volume,-[ ]-,
