#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
31TT-050516,2005,  5, 16,  2.667, 15.667,  57.328,-169.922,    0.0,   58.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      90.413 m3,           114.,   ml/haul,          1.261,ml/m3, 0, 0, 0,-1,          403.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 2053,  174, 1185,3TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050516,2005,  5, 16,  5.783, 18.783,  57.557,-169.654,    0.0,   74.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      55.235 m3,            98.,   ml/haul,          1.774,ml/m3, 0, 3, 3,-1,          346.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 2053,  174, 1185,3TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050516,2005,  5, 16,  8.817, 21.817,  57.787,-169.377,    0.0,   68.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      44.237 m3,            94.,   ml/haul,          2.125,ml/m3, 3, 3, 3,-1,          332.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 2053,  174, 1185,3TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050516,2005,  5, 16, 11.867,  0.867,  58.018,-169.104,    0.0,   71.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      47.116 m3,            62.,   ml/haul,          1.316,ml/m3, 0, 0, 0,-1,          219.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 2053,  174, 1185,3TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050516,2005,  5, 16, 15.000,  4.000,  58.251,-168.835,    0.0,   69.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      43.036 m3,           373.,   ml/haul,          8.667,ml/m3, 3, 4, 4,-1,         1319.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 2053,  174, 1185,3TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050516,2005,  5, 16, 18.467,  7.467,  58.482,-168.567,    0.0,   63.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      56.868 m3,           227.,   ml/haul,          3.992,ml/m3, 3, 3, 3,-1,          803.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 2053,  174, 1185,3TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050516,2005,  5, 16, 21.667, 10.667,  58.722,-168.283,    0.0,   50.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      52.253 m3,           158.,   ml/haul,          3.024,ml/m3, 3, 3, 3,-1,          559.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 2053,  174, 1185,3TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050516,2005,  5, 17,  0.417, 13.420,  58.943,-168.021,    0.0,   53.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      74.579 m3,           106.,   ml/haul,          1.421,ml/m3, 0, 0, 0,-1,          375.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 2053,  174, 1185,3TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050516,2005,  5, 17,  3.200, 16.200,  59.174,-167.750,    0.0,   42.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      77.342 m3,            38.,   ml/haul,          0.491,ml/m3, 0, 0, 0,-1,          134.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 2053,  174, 1185,3TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050516,2005,  5, 17, 13.317,  2.317,  59.903,-169.149,    0.0,   47.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      50.405 m3,           208.,   ml/haul,          4.127,ml/m3, 3, 3, 3,-1,          736.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 2053,  174, 1185,3TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050516,2005,  5, 17, 17.033,  6.033,  59.901,-169.923,    0.0,   56.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      57.838 m3,           128.,   ml/haul,          2.213,ml/m3, 3, 3, 3,-1,          452.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0011_0001,EcoFOCI, 2053,  174, 1185,3TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050516,2005,  5, 17, 20.767,  9.767,  59.852,-170.708,    0.0,   68.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      54.503 m3,           311.,   ml/haul,          5.706,ml/m3, 3, 4, 4,-1,         1100.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0012_0001,EcoFOCI, 2053,  174, 1185,3TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050516,2005,  5, 18,  0.200, 13.200,  59.896,-171.451,    0.0,   73.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,       32.93 m3,           422.,   ml/haul,         12.815,ml/m3, 5, 4, 4,-1,         1493.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0013_0001,EcoFOCI, 2053,  174, 1185,3TT05,,Zooplankton displacement volume,-[ ]-,
31TT-050516,2005,  5, 18, 13.083,  2.083,  59.892,-172.221,    0.0,   76.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      31.586 m3,           143.,   ml/haul,          4.527,ml/m3, 3, 4, 4,-1,          506.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0014_0001,EcoFOCI, 2053,  174, 1185,3TT05,,Zooplankton displacement volume,-[ ]-,
