#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
32H1-070411,2007,  4, 11, 11.233,  0.233,  54.453,-165.303,    0.0,  154.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     261.363 m3,            10.,   ml/haul,         0.0383,ml/m3, 0, 0, 0,-1,           35.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 2923,  174, 1185,1HE07,,Zooplankton displacement volume,-[ ]-,
32H1-070411,2007,  4, 12,  2.100, 15.100,  56.174,-166.129,    0.0,  100.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,       311.9 m3,            76.,   ml/haul,         0.2437,ml/m3, 0, 0, 0,-1,          268.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 2923,  174, 1185,1HE07,,Zooplankton displacement volume,-[ ]-,
32H1-070411,2007,  4, 12, 11.733,  0.733,  56.975,-163.924,    0.0,   70.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     124.864 m3,            37.,   ml/haul,         0.2963,ml/m3, 0, 0, 0,-1,          130.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 2923,  174, 1185,1HE07,,Zooplankton displacement volume,-[ ]-,
32H1-070411,2007,  4, 12, 19.583,  8.583,  56.841,-164.111,    0.0,   73.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     110.724 m3,           152.,   ml/haul,         1.3728,ml/m3, 0, 0, 0,-1,          537.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 2923,  174, 1185,1HE07,,Zooplankton displacement volume,-[ ]-,
32H1-070411,2007,  4, 12, 20.783,  9.783,  56.834,-164.310,    0.0,   73.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     112.236 m3,           103.,   ml/haul,         0.9177,ml/m3, 0, 0, 0,-1,          364.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 2923,  174, 1185,1HE07,,Zooplankton displacement volume,-[ ]-,
32H1-070411,2007,  4, 13,  1.417, 14.417,  56.904,-164.846,    0.0,   72.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     117.017 m3,            12.,   ml/haul,         0.1025,ml/m3, 0, 0, 0,-1,           42.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 2923,  174, 1185,1HE07,,Zooplankton displacement volume,-[ ]-,
32H1-070411,2007,  4, 13,  4.683, 17.683,  56.995,-165.387,    0.0,   72.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      86.697 m3,            97.,   ml/haul,          1.119,ml/m3, 0, 0, 0,-1,          343.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 2923,  174, 1185,1HE07,,Zooplankton displacement volume,-[ ]-,
32H1-070411,2007,  4, 13,  8.117, 21.117,  57.262,-165.763,    0.0,   70.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      77.744 m3,           142.,   ml/haul,          1.827,ml/m3, 0, 3, 3,-1,          502.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 2923,  174, 1185,1HE07,,Zooplankton displacement volume,-[ ]-,
32H1-070411,2007,  4, 13, 11.350,  0.350,  57.333,-166.340,    0.0,   70.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     110.311 m3,            51.,   ml/haul,         0.4623,ml/m3, 0, 0, 0,-1,          180.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 2923,  174, 1185,1HE07,,Zooplankton displacement volume,-[ ]-,
32H1-070411,2007,  4, 13, 23.150, 12.150,  57.505,-167.990,    0.0,   71.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      215.96 m3,            55.,   ml/haul,         0.2547,ml/m3, 0, 0, 0,-1,          194.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 2923,  174, 1185,1HE07,,Zooplankton displacement volume,-[ ]-,
