#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
32WC-970702,1997,  7,  2, 17.683,  6.683,  55.111,-168.476,    0.0,  300.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     328.409 m3,           135.,   ml/haul,         0.4111,ml/m3, 0, 0, 0,-1,          477.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 3428,  174, 1185,4WE97,,Zooplankton displacement volume,-[ ]-,
32WC-970702,1997,  7,  2, 20.717,  9.717,  55.343,-168.252,    0.0,  300.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     327.182 m3,            43.,   ml/haul,         0.1314,ml/m3, 0, 0, 0,-1,          152.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 3428,  174, 1185,4WE97,,Zooplankton displacement volume,-[ ]-,
32WC-970702,1997,  7,  2, 22.400, 11.400,  55.370,-168.173,    0.0,  300.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     410.756 m3,            92.,   ml/haul,         0.2240,ml/m3, 0, 0, 0,-1,          325.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 3428,  174, 1185,4WE97,,Zooplankton displacement volume,-[ ]-,
32WC-970702,1997,  7,  3,  0.133, 13.130,  55.431,-168.074,    0.0,  210.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      318.65 m3,            75.,   ml/haul,         0.2354,ml/m3, 0, 0, 0,-1,          265.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 3428,  174, 1185,4WE97,,Zooplankton displacement volume,-[ ]-,
32WC-970702,1997,  7,  3,  7.467, 20.467,  55.986,-166.582,    0.0,  130.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     194.535 m3,           125.,   ml/haul,         0.6426,ml/m3, 0, 0, 0,-1,          442.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 3428,  174, 1185,4WE97,,Zooplankton displacement volume,-[ ]-,
32WC-970702,1997,  7,  3,  9.533, 22.533,  56.208,-166.503,    0.0,  110.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     195.642 m3,            82.,   ml/haul,         0.4191,ml/m3, 0, 0, 0,-1,          290.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 3428,  174, 1185,4WE97,,Zooplankton displacement volume,-[ ]-,
32WC-970702,1997,  7,  3, 12.033,  1.033,  56.051,-166.321,    0.0,   87.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     131.722 m3,           118.,   ml/haul,         0.8958,ml/m3, 0, 0, 0,-1,          417.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 3428,  174, 1185,4WE97,,Zooplankton displacement volume,-[ ]-,
32WC-970702,1997,  7,  3, 13.667,  2.667,  55.914,-166.161,    0.0,   80.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     105.887 m3,            52.,   ml/haul,         0.4911,ml/m3, 0, 0, 0,-1,          184.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 3428,  174, 1185,4WE97,,Zooplankton displacement volume,-[ ]-,
32WC-970702,1997,  7,  3, 15.767,  4.767,  56.166,-166.089,    0.0,  108.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     148.764 m3,            82.,   ml/haul,         0.5512,ml/m3, 0, 0, 0,-1,          290.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 3428,  174, 1185,4WE97,,Zooplankton displacement volume,-[ ]-,
32WC-970702,1997,  7,  3, 23.633, 12.633,  56.770,-164.340,    0.0,   77.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     116.491 m3,            37.,   ml/haul,         0.3176,ml/m3, 0, 0, 0,-1,          130.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 3428,  174, 1185,4WE97,,Zooplankton displacement volume,-[ ]-,
