#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
32YN-830521,1983,  5, 21, 11.467,  1.467,  56.750,-154.633,    0.0,   28.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      51.404 m3,            10.,   ml/haul,          0.195,ml/m3, 0, 0, 0,-1,           35.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 3508,  174, 1185,1CH83,,Zooplankton displacement volume,-[ ]-,
32YN-830521,1983,  5, 21, 11.467,  1.467,  56.750,-154.633,    0.0,   28.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      52.955 m3,            10.,   ml/haul,          0.189,ml/m3, 0, 0, 0,-1,           35.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 3508,  174, 1185,1CH83,,Zooplankton displacement volume,-[ ]-,
32YN-830521,1983,  5, 21, 13.733,  3.733,  57.005,-154.618,    0.0,   30.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      44.681 m3,            2.5,   ml/haul,          0.056,ml/m3, 0, 0, 0,-1,            8.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 3508,  174, 1185,1CH83,,Zooplankton displacement volume,-[ ]-,
32YN-830521,1983,  5, 21, 13.733,  3.733,  57.005,-154.618,    0.0,   30.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      45.271 m3,            2.5,   ml/haul,          0.055,ml/m3, 0, 0, 0,-1,            8.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 3508,  174, 1185,1CH83,,Zooplankton displacement volume,-[ ]-,
32YN-830521,1983,  5, 21, 15.583,  5.583,  57.242,-154.633,    0.0,   41.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,       71.39 m3,            2.5,   ml/haul,          0.035,ml/m3, 0, 0, 0,-1,            8.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 3508,  174, 1185,1CH83,,Zooplankton displacement volume,-[ ]-,
32YN-830521,1983,  5, 21, 17.483,  7.483,  57.257,-155.098,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     315.354 m3,            85.,   ml/haul,         0.2695,ml/m3, 0, 0, 0,-1,          300.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 3508,  174, 1185,1CH83,,Zooplankton displacement volume,-[ ]-,
32YN-830521,1983,  5, 21, 19.783,  9.783,  56.997,-155.077,    0.0,  183.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     274.888 m3,            90.,   ml/haul,         0.3274,ml/m3, 0, 0, 0,-1,          318.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 3508,  174, 1185,1CH83,,Zooplankton displacement volume,-[ ]-,
32YN-830521,1983,  5, 21, 21.850, 11.850,  56.768,-155.090,    0.0,   74.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     107.859 m3,            25.,   ml/haul,         0.2318,ml/m3, 0, 0, 0,-1,           88.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 3508,  174, 1185,1CH83,,Zooplankton displacement volume,-[ ]-,
32YN-830521,1983,  5, 21, 23.633, 13.633,  56.495,-155.088,    0.0,   29.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      56.216 m3,            10.,   ml/haul,          0.178,ml/m3, 0, 0, 0,-1,           35.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 3508,  174, 1185,1CH83,,Zooplankton displacement volume,-[ ]-,
32YN-830521,1983,  5, 22,  1.783, 15.783,  56.250,-155.100,    0.0,   24.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      43.902 m3,            10.,   ml/haul,          0.228,ml/m3, 0, 0, 0,-1,           35.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 3508,  174, 1185,1CH83,,Zooplankton displacement volume,-[ ]-,
32YN-830521,1983,  5, 22,  5.083, 19.083,  56.015,-155.550,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      43.667 m3,            10.,   ml/haul,          0.229,ml/m3, 0, 0, 0,-1,           35.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0011_0001,EcoFOCI, 3508,  174, 1185,1CH83,,Zooplankton displacement volume,-[ ]-,
32YN-830521,1983,  5, 22,  6.917, 20.917,  56.258,-155.548,    0.0,   58.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      95.168 m3,            25.,   ml/haul,          0.263,ml/m3, 0, 0, 0,-1,           88.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0012_0001,EcoFOCI, 3508,  174, 1185,1CH83,,Zooplankton displacement volume,-[ ]-,
32YN-830521,1983,  5, 22,  9.167, 23.167,  56.503,-155.543,    0.0,   77.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     150.705 m3,            40.,   ml/haul,         0.2654,ml/m3, 0, 0, 0,-1,          141.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0013_0001,EcoFOCI, 3508,  174, 1185,1CH83,,Zooplankton displacement volume,-[ ]-,
32YN-830521,1983,  5, 22, 11.083,  1.083,  56.748,-155.548,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     374.943 m3,           140.,   ml/haul,         0.3734,ml/m3, 0, 0, 0,-1,          495.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0014_0001,EcoFOCI, 3508,  174, 1185,1CH83,,Zooplankton displacement volume,-[ ]-,
32YN-830521,1983,  5, 22, 13.417,  3.417,  57.008,-155.547,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     324.464 m3,           120.,   ml/haul,         0.3698,ml/m3, 0, 0, 0,-1,          424.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0015_0001,EcoFOCI, 3508,  174, 1185,1CH83,,Zooplankton displacement volume,-[ ]-,
32YN-830521,1983,  5, 22, 15.733,  5.733,  57.257,-155.552,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     306.059 m3,           110.,   ml/haul,         0.3594,ml/m3, 0, 0, 0,-1,          389.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0016_0001,EcoFOCI, 3508,  174, 1185,1CH83,,Zooplankton displacement volume,-[ ]-,
32YN-830521,1983,  5, 22, 17.750,  7.750,  57.252,-156.002,    0.0,  196.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     303.418 m3,           120.,   ml/haul,         0.3955,ml/m3, 0, 0, 0,-1,          424.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0017_0001,EcoFOCI, 3508,  174, 1185,1CH83,,Zooplankton displacement volume,-[ ]-,
32YN-830521,1983,  5, 22, 19.800,  9.800,  57.000,-156.002,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     300.308 m3,            90.,   ml/haul,         0.2997,ml/m3, 0, 0, 0,-1,          318.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0018_0001,EcoFOCI, 3508,  174, 1185,1CH83,,Zooplankton displacement volume,-[ ]-,
32YN-830521,1983,  5, 22, 22.450, 12.450,  56.743,-155.988,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     324.959 m3,           110.,   ml/haul,         0.3385,ml/m3, 0, 0, 0,-1,          389.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0019_0001,EcoFOCI, 3508,  174, 1185,1CH83,,Zooplankton displacement volume,-[ ]-,
32YN-830521,1983,  5, 23,  0.450, 14.450,  56.502,-155.988,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     321.285 m3,           100.,   ml/haul,         0.3113,ml/m3, 0, 0, 0,-1,          353.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0020_0001,EcoFOCI, 3508,  174, 1185,1CH83,,Zooplankton displacement volume,-[ ]-,
32YN-830521,1983,  5, 23,  2.633, 16.633,  56.238,-155.990,    0.0,  200.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     323.742 m3,            90.,   ml/haul,         0.2780,ml/m3, 0, 0, 0,-1,          318.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0021_0001,EcoFOCI, 3508,  174, 1185,1CH83,,Zooplankton displacement volume,-[ ]-,
32YN-830521,1983,  5, 23,  4.750, 18.750,  55.985,-155.987,    0.0,   70.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     107.168 m3,            50.,   ml/haul,         0.4666,ml/m3, 0, 0, 0,-1,          176.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0022_0001,EcoFOCI, 3508,  174, 1185,1CH83,,Zooplankton displacement volume,-[ ]-,
32YN-830521,1983,  5, 23,  6.833, 20.833,  55.762,-155.988,    0.0,  130.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,     198.747 m3,            50.,   ml/haul,         0.2516,ml/m3, 0, 0, 0,-1,          176.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0023_0001,EcoFOCI, 3508,  174, 1185,1CH83,,Zooplankton displacement volume,-[ ]-,
