#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
90PN-850516,1985,  5, 16, 12.917,  2.917,  57.983,-150.950,    0.0,  100.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      87.984 m3,            50.,   ml/haul,          0.568,ml/m3, 0, 0, 0,-1,          176.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 6506,  174, 1185,2PO85,,Zooplankton displacement volume,-[ ]-,
90PN-850516,1985,  5, 16, 15.950,  5.950,  58.202,-150.450,    0.0,  117.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      111.44 m3,            60.,   ml/haul,         0.5384,ml/m3, 0, 0, 0,-1,          212.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 6506,  174, 1185,2PO85,,Zooplankton displacement volume,-[ ]-,
90PN-850516,1985,  5, 16, 21.267, 11.267,  57.950,-150.033,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     164.013 m3,            80.,   ml/haul,         0.4878,ml/m3, 0, 0, 0,-1,          283.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 6506,  174, 1185,2PO85,,Zooplankton displacement volume,-[ ]-,
90PN-850516,1985,  5, 17,  0.383, 14.380,  57.730,-150.500,    0.0,  105.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      62.842 m3,            40.,   ml/haul,          0.637,ml/m3, 0, 0, 0,-1,          141.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 6506,  174, 1185,2PO85,,Zooplankton displacement volume,-[ ]-,
90PN-850516,1985,  5, 17,  4.067, 18.067,  57.475,-150.083,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     141.875 m3,            65.,   ml/haul,         0.4581,ml/m3, 0, 0, 0,-1,          230.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 6506,  174, 1185,2PO85,,Zooplankton displacement volume,-[ ]-,
90PN-850516,1985,  5, 17,  8.083, 22.083,  57.697,-149.600,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     120.724 m3,            80.,   ml/haul,         0.6627,ml/m3, 0, 0, 0,-1,          283.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 6506,  174, 1185,2PO85,,Zooplankton displacement volume,-[ ]-,
90PN-850516,1985,  5, 17, 13.117,  3.117,  57.920,-149.100,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     143.555 m3,            20.,   ml/haul,         0.1393,ml/m3, 0, 0, 0,-1,           70.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 6506,  174, 1185,2PO85,,Zooplankton displacement volume,-[ ]-,
90PN-850516,1985,  5, 17, 16.383,  6.383,  58.180,-149.517,    0.0,  105.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,      41.023 m3,            20.,   ml/haul,          0.488,ml/m3, 0, 0, 0,-1,           70.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 6506,  174, 1185,2PO85,,Zooplankton displacement volume,-[ ]-,
90PN-850516,1985,  5, 17, 19.250,  9.250,  58.400,-149.067,    0.0,  120.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,     113.737 m3,            40.,   ml/haul,         0.3517,ml/m3, 0, 0, 0,-1,          141.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 6506,  174, 1185,2PO85,,Zooplankton displacement volume,-[ ]-,
90PN-850516,1985,  5, 17, 22.783, 12.783,  58.153,-148.650,    0.0,  200.0,O, 118, 333,    -401,    -401,  0,  0,  0,  0,b,       138.7 m3,            60.,   ml/haul,         0.4326,ml/m3, 0, 0, 0,-1,          212.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 6506,  174, 1185,2PO85,,Zooplankton displacement volume,-[ ]-,
