#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
T030-130503,2013,  5,  3,  0.217, 13.220,  54.364,-165.934,    0.0,  300.0,O, 118, 500,    -401,    -401,  0,  0,  0,  0,b,   532.01924 m3,            74.,   ml/haul,         0.1391,ml/m3, 0, 0, 0,-1,          261.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 9030,  174, 1185,DY13-05,,Zooplankton displacement volume,-[ ]-,
T030-130503,2013,  5,  3,  0.217, 13.220,  54.364,-165.934,    0.0,  300.0,O, 118, 500,    -401,    -401,  0,  0,  0,  0,b,   532.01924 m3,            74.,   ml/haul,         0.1391,ml/m3, 0, 0, 0,-1,          261.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 9030,  174, 1185,DY13-05,,Zooplankton displacement volume,-[ ]-,
T030-130503,2013,  5,  3,  1.550, 14.550,  54.442,-164.986,    0.0,   55.0,O, 118, 500,    -401,    -401,  0,  0,  0,  0,b,    166.2103 m3,            56.,   ml/haul,         0.3369,ml/m3, 0, 0, 0,-1,          198.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 9030,  174, 1185,DY13-05,,Zooplankton displacement volume,-[ ]-,
T030-130503,2013,  5,  3,  1.550, 14.550,  54.442,-164.986,    0.0,   55.0,O, 118, 500,    -401,    -401,  0,  0,  0,  0,b,    166.2103 m3,            56.,   ml/haul,         0.3369,ml/m3, 0, 0, 0,-1,          198.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 9030,  174, 1185,DY13-05,,Zooplankton displacement volume,-[ ]-,
T030-130503,2013,  5,  3,  1.550, 14.550,  54.442,-164.986,    0.0,   55.0,O, 118, 500,    -401,    -401,  0,  0,  0,  0,b,    166.2103 m3,            56.,   ml/haul,         0.3369,ml/m3, 0, 0, 0,-1,          198.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 9030,  174, 1185,DY13-05,,Zooplankton displacement volume,-[ ]-,
T030-130503,2013,  5,  3,  3.250, 16.250,  54.422,-165.148,    0.0,  138.0,O, 118, 500,    -401,    -401,  0,  0,  0,  0,b,   367.38152 m3,           175.,   ml/haul,         0.4763,ml/m3, 0, 0, 0,-1,          619.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 9030,  174, 1185,DY13-05,,Zooplankton displacement volume,-[ ]-,
T030-130503,2013,  5,  3,  3.250, 16.250,  54.422,-165.148,    0.0,  138.0,O, 118, 500,    -401,    -401,  0,  0,  0,  0,b,   367.38152 m3,           175.,   ml/haul,         0.4763,ml/m3, 0, 0, 0,-1,          619.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 9030,  174, 1185,DY13-05,,Zooplankton displacement volume,-[ ]-,
T030-130503,2013,  5,  3,  3.250, 16.250,  54.422,-165.148,    0.0,  138.0,O, 118, 500,    -401,    -401,  0,  0,  0,  0,b,   367.38152 m3,           175.,   ml/haul,         0.4763,ml/m3, 0, 0, 0,-1,          619.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 9030,  174, 1185,DY13-05,,Zooplankton displacement volume,-[ ]-,
T030-130503,2013,  5,  3,  5.017, 18.017,  54.374,-165.284,    0.0,  173.0,O, 118, 500,    -401,    -401,  0,  0,  0,  0,b,   300.41442 m3,           230.,   ml/haul,         0.7656,ml/m3, 0, 0, 0,-1,          813.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 9030,  174, 1185,DY13-05,,Zooplankton displacement volume,-[ ]-,
T030-130503,2013,  5,  3,  6.900, 19.900,  54.340,-165.438,    0.0,  162.0,O, 118, 500,    -401,    -401,  0,  0,  0,  0,b,   396.81572 m3,           100.,   ml/haul,         0.2520,ml/m3, 0, 0, 0,-1,          353.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 9030,  174, 1185,DY13-05,,Zooplankton displacement volume,-[ ]-,
