#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoFOCI:  Zooplankton biomass data sampled during ichthyoplankton surveys as part of the ECOsystems and Fisheries-Oceanography Cooperative Investigation (Eco-FOCI) program"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  15-Feb-2018  (Web v10.2)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05401/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
TO33-040814,2004,  8, 14, 17.633,  6.633,  55.005,-165.000,    0.0,  105.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      79.635 m3,            22.,   ml/haul,          0.276,ml/m3, 0, 0, 0,-1,           77.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,EcoFOCI, 9033,  174, 1185,1SS04,,Zooplankton displacement volume,-[ ]-,
TO33-040814,2004,  8, 15, 16.200,  5.200,  56.498,-160.999,    0.0,   65.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      77.379 m3,             4.,   ml/haul,          0.052,ml/m3, 0, 0, 0,-1,           14.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,EcoFOCI, 9033,  174, 1185,1SS04,,Zooplankton displacement volume,-[ ]-,
TO33-040814,2004,  8, 15, 21.083, 10.083,  56.666,-160.001,    0.0,   47.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      55.647 m3,             5.,   ml/haul,          0.090,ml/m3, 0, 0, 0,-1,           17.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,EcoFOCI, 9033,  174, 1185,1SS04,,Zooplankton displacement volume,-[ ]-,
TO33-040814,2004,  8, 16,  1.750, 14.750,  57.000,-159.169,    0.0,   33.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      38.321 m3,            1.5,   ml/haul,          0.039,ml/m3, 0, 0, 0,-1,            5.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,EcoFOCI, 9033,  174, 1185,1SS04,,Zooplankton displacement volume,-[ ]-,
TO33-040814,2004,  8, 16,  5.750, 18.750,  57.500,-159.001,    0.0,   45.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,       44.85 m3,            12.,   ml/haul,          0.268,ml/m3, 0, 0, 0,-1,           42.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,EcoFOCI, 9033,  174, 1185,1SS04,,Zooplankton displacement volume,-[ ]-,
TO33-040814,2004,  8, 16, 15.117,  4.117,  58.000,-159.001,    0.0,   42.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      47.969 m3,             7.,   ml/haul,          0.146,ml/m3, 0, 0, 0,-1,           24.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,EcoFOCI, 9033,  174, 1185,1SS04,,Zooplankton displacement volume,-[ ]-,
TO33-040814,2004,  8, 16, 19.417,  8.417,  58.000,-159.999,    0.0,   48.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      58.626 m3,             9.,   ml/haul,          0.154,ml/m3, 0, 0, 0,-1,           31.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,EcoFOCI, 9033,  174, 1185,1SS04,,Zooplankton displacement volume,-[ ]-,
TO33-040814,2004,  8, 16, 23.350, 12.350,  57.500,-160.001,    0.0,   55.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,       58.32 m3,             5.,   ml/haul,          0.086,ml/m3, 0, 0, 0,-1,           17.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,EcoFOCI, 9033,  174, 1185,1SS04,,Zooplankton displacement volume,-[ ]-,
TO33-040814,2004,  8, 17,  3.467, 16.467,  57.000,-159.999,    0.0,   60.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      61.299 m3,             3.,   ml/haul,          0.049,ml/m3, 0, 0, 0,-1,           10.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,EcoFOCI, 9033,  174, 1185,1SS04,,Zooplankton displacement volume,-[ ]-,
TO33-040814,2004,  8, 17, 15.083,  4.083,  56.999,-160.999,    0.0,   65.0,O, 118, 505,    -401,    -401,  0,  0,  0,  0,b,      66.332 m3,             3.,   ml/haul,          0.045,ml/m3, 0, 0, 0,-1,           10.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,EcoFOCI, 9033,  174, 1185,1SS04,,Zooplankton displacement volume,-[ ]-,
