"","Longitude","Latitude"
"50",-162.94769,55.42533
"74",-164.5027,54.949
"183",-167.9372,54.42967
"238",-167.21001,54.67
"265",-164.1283,55.72767
"415",-165.2208,56.72433
"426",-163.73151,55.18383
"465",-165.4782,54.9265
"472",-166.7468,56.2515
"567",-168.37,53.57
"607",-166.44,54.9
"670",-167.8772,55.88967
"756",-160.99001,56.73
"764",-161.99001,56.99
"780",-170.87,56.05
"787",-171.62,58.17
"792",-170.28149,61.74667
"807",-171.01,56.51
"812",-167.94,63.08
"837",-170.36,58.1
"1079",-169.58217,55.50183
"1412",-170.21083,56.686
"1602",-170.13651,57.3505
"1693",-169.47084,56.45733
"1914",-168.4707,57.77867
"1970",-165.1385,54.42883
"2137",-165.98331,58.00333
"2145",-165.98669,57.49167
"2156",-167.98,57.005
"2162",-165.97501,58.49
"2214",-169.3098,57.93133
"2433",-168.22479,55.363
"2455",-164.4037,56.40417
"2491",-165.9362,55.9255
"2584",-168.50571,58.58883
"2606",-164.9207,55.3865
"2793",-169.2583,57.10333
"2822",-167.6133,57.63167
"2869",-158.1255,58.02333
"2960",-166.9948,57.008
"3011",-162.29221,55.89
"3030",-158.29919,57.48367
"3127",-159.49719,56.698
"3197",-165.9767,57.015
"3205",-162.8588,56.28617
"3206",-160.32719,57.15833
"3245",-166.6617,54.04733
"3260",-159.1503,57.97167
"3267",-160.18829,56.44683
"3453",-165.16721,56.16167
"3652",-166.0275,54.46567
"3800",-163.8315,56.944
"3908",-163.59033,56.08233
"4056",-167.63333,56.46333
"4076",-166.95334,55.5
"4094",-165.98167,56.51
"4131",-170.04634,56.08733
