TRANSECT,STOP,LAT_WGS84,LONG_WGS84,SPECIES,PRES
452511619,5,45.34436,-116.40824,AMDI,0
452511619,6,45.34442,-116.41219,AMDI,0
452511619,9,45.34158,-116.41286,AMDI,0
452511625,1,45.418671,-116.418907,AMDI,0
452511625,4,45.41836,-116.41503,AMDI,0
452511625,6,45.41575,-116.41619,AMDI,0
452511625,8,45.4139,-116.41852,AMDI,0
452711607,1,45.45562,-116.12844,AMDI,0
452711607,2,45.45778,-116.12914,AMDI,0
452711607,3,45.46014,-116.12991,AMDI,0
452711607,4,45.46207,-116.13125,AMDI,0
452711607,5,45.46433,-116.13058,AMDI,0
452711607,6,45.46661,-116.12928,AMDI,0
452711607,7,45.46864,-116.13017,AMDI,0
453111557,2,45.52757,-115.96616,AMDI,0
453111557,3,45.52929,-115.96603,AMDI,0
453111557,4,45.53079,-115.965,AMDI,0
453111557,5,45.53266,-115.96421,AMDI,0
453111557,6,45.53357,-115.96142,AMDI,0
453111557,7,45.53503,-115.96023,AMDI,0
453111557,8,45.53712,-115.96009,AMDI,0
453111557,9,45.53833,-115.95821,AMDI,0
453111557,10,45.53633,-115.9573,AMDI,0
453211419,2,45.52158,-114.32411,AMDI,0
453211419,3,45.52084,-114.32761,AMDI,0
453211419,4,45.52102,-114.33132,AMDI,0
453211419,5,45.52142,-114.33499,AMDI,0
453611624,2,45.60711,-116.40203,AMDI,0
453611624,3,45.60545,-116.40374,AMDI,0
453611624,4,45.60365,-116.40572,AMDI,0
453611624,5,45.60244,-116.40804,AMDI,0
453711622,2,45.61656,-116.3635,AMDI,0
453711622,3,45.61716,-116.35984,AMDI,0
453711622,4,45.61928,-116.35943,AMDI,0
453711622,6,45.61963,-116.35619,AMDI,0
454211602,1,45.70787,-116.0458,AMDI,0
454211602,2,45.70554,-116.0465,AMDI,0
454211602,4,45.70182,-116.04845,AMDI,0
454211602,5,45.69992,-116.04983,AMDI,0
454211602,7,45.69683,-116.04909,AMDI,0
454211602,9,45.69469,-116.05297,AMDI,0
454311415,4,45.71343,-114.24418,AMDI,0
454311415,5,45.71366,-114.24151,AMDI,0
454311415,7,45.71333,-114.23524,AMDI,0
454311415,8,45.71468,-114.23209,AMDI,0
454611543,1,45.78026,-115.72631,AMDI,0
454611543,2,45.78188,-115.72364,AMDI,0
454611543,3,45.78344,-115.72028,AMDI,0
454611543,4,45.78277,-115.71739,AMDI,0
454611543,5,45.78429,-115.71355,AMDI,0
454611545,1,45.7691,-115.75959,AMDI,0
454611545,2,45.76693,-115.76238,AMDI,0
454611545,3,45.76708,-115.7653,AMDI,0
454611545,4,45.76546,-115.76897,AMDI,0
454611607,2,45.7755,-116.09098,AMDI,0
454611607,3,45.7773,-116.09215,AMDI,0
454611607,4,45.777137,-116.095491,AMDI,0
454611607,5,45.777043,-116.098291,AMDI,0
454811410,1,45.80943,-114.16805,AMDI,0
454811410,2,45.80956,-114.16416,AMDI,0
454811410,3,45.80915,-114.16035,AMDI,0
454811410,4,45.80801,-114.1569,AMDI,0
454911350,2,45.80914,-113.83555,AMDI,0
454911350,3,45.80767,-113.83771,AMDI,0
454911350,4,45.805482,-113.837786,AMDI,0
454911350,5,45.80345,-113.83944,AMDI,0
454911419,1,45.814336,-114.320557,AMDI,0
454911419,2,45.81487,-114.32368,AMDI,0
454911419,3,45.81517,-114.32592,AMDI,0
454911419,4,45.8157,-114.32868,AMDI,0
454911419,5,45.81659,-114.33102,AMDI,0
454911419,6,45.81749,-114.33303,AMDI,0
454911419,7,45.81674,-114.33619,AMDI,0
454911419,8,45.81602,-114.33941,AMDI,0
454911419,9,45.81605,-114.34238,AMDI,0
454911419,10,45.81587,-114.34547,AMDI,0
455011350,2,45.8449,-113.83392,AMDI,0
455011350,3,45.84721,-113.83467,AMDI,0
455011350,4,45.84961,-113.83323,AMDI,0
455111412,1,45.85476,-114.20238,AMDI,0
455111412,2,45.85283,-114.20495,AMDI,0
455111412,3,45.85049,-114.20708,AMDI,0
455111412,4,45.8483,-114.20575,AMDI,0
455111412,5,45.84605,-114.20402,AMDI,0
455111412,6,45.84468,-114.20159,AMDI,0
455111412,7,45.84186,-114.20255,AMDI,0
455111412,8,45.84301,-114.20508,AMDI,0
455111412,9,45.84209,-114.20914,AMDI,0
455111412,10,45.84422,-114.20861,AMDI,0
455511342,3,45.90648,-113.68566,AMDI,0
455511342,4,45.90607,-113.68198,AMDI,0
455511342,5,45.90565,-113.67847,AMDI,0
455511342,6,45.90544,-113.67485,AMDI,0
455511354,1,45.91705,-113.89507,AMDI,0
455511354,2,45.91957,-113.89466,AMDI,0
455511354,3,45.9211,-113.89149,AMDI,0
455511354,4,45.92269,-113.8946,AMDI,0
455511354,5,45.92536,-113.89503,AMDI,0
455511354,6,45.92727,-113.89292,AMDI,0
455511354,7,45.92951,-113.89154,AMDI,0
455511354,8,45.92759,-113.89534,AMDI,0
455511354,9,45.92677,-113.89821,AMDI,0
455511354,10,45.92451,-113.89928,AMDI,0
