siteID,x,y,z,area,phorophyte,primary_period,secondary_period,survey_number,date,N
1,59.6,-81,19.4,233,Rock,y2000,1,1,2/1/2000,2
1,59.6,-81,19.4,233,Rock,y2000,2,2,8/1/2000,2
1,59.6,-81,19.4,233,Rock,y2001,1,3,1/1/2001,0
1,59.6,-81,19.4,233,Rock,y2001,2,4,6/1/2001,6
1,59.6,-81,19.4,233,Rock,y2002,1,5,1/1/2002,0
1,59.6,-81,19.4,233,Rock,y2002,2,6,6/1/2002,4
1,59.6,-81,19.4,233,Rock,y2003,1,7,12/2/2002,3
1,59.6,-81,19.4,233,Rock,y2003,2,8,6/10/2003,4
1,59.6,-81,19.4,233,Rock,y2004,1,9,1/24/2004,0
1,59.6,-81,19.4,233,Rock,y2004,2,10,7/17/2004,3
2,57.4,-81.1,19.4,140,Rock,y2000,1,1,2/1/2000,0
2,57.4,-81.1,19.4,140,Rock,y2000,2,2,8/1/2000,0
2,57.4,-81.1,19.4,140,Rock,y2001,1,3,1/1/2001,0
2,57.4,-81.1,19.4,140,Rock,y2001,2,4,6/1/2001,5
2,57.4,-81.1,19.4,140,Rock,y2002,1,5,1/1/2002,4
2,57.4,-81.1,19.4,140,Rock,y2002,2,6,6/1/2002,0
2,57.4,-81.1,19.4,140,Rock,y2003,1,7,12/2/2002,20
2,57.4,-81.1,19.4,140,Rock,y2003,2,8,6/10/2003,4
2,57.4,-81.1,19.4,140,Rock,y2004,1,9,1/24/2004,13
2,57.4,-81.1,19.4,140,Rock,y2004,2,10,7/17/2004,0
3,55.1,-80.9,19.3,97,Rock,y2000,1,1,2/1/2000,0
3,55.1,-80.9,19.3,97,Rock,y2000,2,2,8/1/2000,0
3,55.1,-80.9,19.3,97,Rock,y2001,1,3,1/1/2001,0
3,55.1,-80.9,19.3,97,Rock,y2001,2,4,6/1/2001,0
3,55.1,-80.9,19.3,97,Rock,y2002,1,5,1/1/2002,0
3,55.1,-80.9,19.3,97,Rock,y2002,2,6,6/1/2002,0
3,55.1,-80.9,19.3,97,Rock,y2003,1,7,12/2/2002,0
3,55.1,-80.9,19.3,97,Rock,y2003,2,8,6/10/2003,0
3,55.1,-80.9,19.3,97,Rock,y2004,1,9,1/24/2004,0
3,55.1,-80.9,19.3,97,Rock,y2004,2,10,7/17/2004,0
4,54.1,-79.4,18.9,86,Rock,y2000,1,1,2/1/2000,0
4,54.1,-79.4,18.9,86,Rock,y2000,2,2,8/1/2000,0
4,54.1,-79.4,18.9,86,Rock,y2001,1,3,1/1/2001,0
4,54.1,-79.4,18.9,86,Rock,y2001,2,4,6/1/2001,0
4,54.1,-79.4,18.9,86,Rock,y2002,1,5,1/1/2002,0
4,54.1,-79.4,18.9,86,Rock,y2002,2,6,6/1/2002,0
4,54.1,-79.4,18.9,86,Rock,y2003,1,7,12/2/2002,0
4,54.1,-79.4,18.9,86,Rock,y2003,2,8,6/10/2003,0
4,54.1,-79.4,18.9,86,Rock,y2004,1,9,1/24/2004,0
4,54.1,-79.4,18.9,86,Rock,y2004,2,10,7/17/2004,0
6,1,-1.3,0.1,30,Tree,y2000,1,1,2/1/2000,0
6,1,-1.3,0.1,30,Tree,y2000,2,2,8/1/2000,0
6,1,-1.3,0.1,30,Tree,y2001,1,3,1/1/2001,0
