SURVEYID,Elev,Mesic
1,0.763000011,0
2,0.866999984,0
3,0.949000001,0
4,1.139999986,0
5,1.174000025,1
6,1.208999991,1
7,1.263000011,1
8,1.25999999,1
9,1.799999952,0
10,1.835000038,1
11,1.856999993,1
12,1.842000008,1
13,1.799999952,1
14,1.866999984,1
15,1.851999998,0
16,1.855000019,0
17,1.855000019,0
18,1.899999976,0
19,1.927999973,0
20,1.965000033,0
21,2.032999992,0
22,2.032999992,0
23,2.052999973,0
24,2.101999998,0
25,2.132999897,0
26,1.746000051,0
27,1.79400003,0
28,1.781000018,0
29,1.761000037,0
30,1.50999999,0
31,1.483999968,1
32,1.475999951,1
33,1.478000045,0
34,1.350999951,1
35,1.383999944,1
36,1.353000045,1
37,1.340999961,1
38,1.682000041,0
39,1.664999962,0
40,1.646000028,0
41,1.643000007,0
42,1.675999999,1
43,1.659000039,1
44,1.878999949,0
45,1.860000014,0
46,1.944000006,0
47,1.981999993,0
48,1.496999979,1
49,1.503000021,1
50,1.552000046,1
51,1.570000052,1
52,1.570000052,1
53,1.297999978,1
54,1.327999949,1
55,1.356999993,1
56,1.40199995,1
57,1.541000009,1
58,1.565999985,1
59,1.554999948,1
60,1.549000025,1
61,2.019000053,0
62,2.063999891,0
63,2.059000015,0
64,2.046000004,0
65,1.529000044,0
66,1.562999964,0
67,1.593000054,0
68,1.618000031,0
69,1.940000057,0
70,1.940000057,0
71,1.921000004,0
72,1.957000017,0
73,1.978999972,0
74,2.028000116,0
75,2.08100009,0
76,2.11500001,0
77,2.210999966,0
78,2.210999966,0
79,2.204999924,0
80,2.224999905,0
81,2.289000034,0
82,2.335999966,0
83,1.95599997,0
84,1.95599997,0
85,1.968999982,0
86,1.985999942,0
87,1.524999976,0
88,1.503999949,0
89,1.422999978,0
90,1.43900001,0
91,1.478000045,0
92,1.493000031,0
93,1.457000017,0
94,1.476999998,0
95,1.465999961,0
96,1.491000056,0
97,1.649000049,0
98,1.667999983,0
99,1.672999978,0
100,1.662999988,0
101,1.774000049,0
102,1.741999984,0
103,1.75,0
104,1.763000011,0
105,1.766000032,0
106,1.769000053,0
107,1.75,0
108,1.741000056,0
109,1.782999992,0
110,1.782999992,0
111,1.090000033,1
112,1.110000014,1
113,1.131000042,1
114,1.14199996,1
115,1.649999976,0
116,1.623000026,0
117,1.700000048,0
118,1.705000043,0
119,1.291000009,1
120,1.27699995,1
121,1.271999955,1
122,1.24000001,1
123,1.210000038,1
124,1.157999992,1
125,1.172999978,1
126,1.156999946,1
127,0.689999998,1
128,0.786000013,1
129,0.788999975,1
130,0.77700001,1
131,1.381999969,0
132,1.389999986,0
133,1.398000002,0
134,1.389000058,0
135,1.825000048,0
136,1.840999961,0
137,1.858999968,0
138,1.906000018,0
139,0.552999973,1
140,0.688000023,1
141,0.648000002,0
142,0.750999987,0
143,0.989000022,1
144,0.996999979,0
145,0.975000024,0
146,0.981000006,1
147,2.017999887,0
148,2.055000067,0
149,2.036000013,0
150,2.055000067,0
151,1.671000004,0
152,1.639000058,0
153,1.656999946,0
154,1.733999968,0
155,2.171000004,0
156,2.209000111,0
157,2.221999884,0
158,2.226000071,0
159,0.584999979,1
160,0.689999998,1
161,0.717999995,1
162,0.717999995,1
163,0.716000021,0
164,0.727999985,0
165,1.717000008,0
166,1.725000024,0
167,1.73300004,0
168,1.751000047,0
169,0.703000009,0
170,0.773000002,1
171,0.782999992,0
172,0.848999977,1
173,1.113999963,1
174,1.18599999,1
175,1.136000037,1
176,1.101999998,1
177,1.225000024,1
178,1.213999987,1
179,1.14199996,1
180,1.148000002,1
181,1.633999944,0
182,1.672000051,0
183,1.722000003,0
184,1.710000038,0
185,1.917999983,0
186,1.858999968,0
187,1.863999963,0
188,1.899999976,0
189,1.453999996,0
190,1.460000038,0
191,1.486999989,0
192,1.506000042,0
193,1.034000039,1
194,1.032999992,1
195,1.042000055,1
196,1.054999948,1
197,1.735000014,0
198,1.748999953,0
199,1.741000056,0
200,1.74000001,0
201,1.003999949,0
202,1,0
203,1.031999946,0
204,1.031000018,1
205,0.662,0
206,0.5,1
207,0.58099997,1
208,0.465000004,1
209,0.463,1
210,0.521000028,0
211,0.961000025,1
212,0.95599997,1
213,0.938000023,1
214,0.93900001,1
215,1.468999982,0
216,1.475999951,0
217,1.506000042,0
218,1.508999944,0
219,1.532999992,0
220,1.552999973,0
